age_CE,SMT031AA_raw,SMT041AA_raw,SMT042AA_raw,SMT048AA_raw,SMT051AA_raw,SMT052AA_raw,SMT081AA_raw,SMT082AA_raw,SMT088AA_raw,SMT091AA_raw,SMT092AA_raw,SMT098AA_raw,SMT101AA_raw,SMT111AA_raw,SMT141AA_raw,SMT144AA_raw,SMT145AA_raw,SMT146AA_raw,SMT148AA_raw,SMT031AA_raw_outlier_flag,SMT041AA_raw_outlier_flag,SMT042AA_raw_outlier_flag,SMT048AA_raw_outlier_flag,SMT051AA_raw_outlier_flag,SMT052AA_raw_outlier_flag,SMT081AA_raw_outlier_flag,SMT082AA_raw_outlier_flag,SMT088AA_raw_outlier_flag,SMT091AA_raw_outlier_flag,SMT092AA_raw_outlier_flag,SMT098AA_raw_outlier_flag,SMT101AA_raw_outlier_flag,SMT111AA_raw_outlier_flag,SMT141AA_raw_outlier_flag,SMT144AA_raw_outlier_flag,SMT145AA_raw_outlier_flag,SMT146AA_raw_outlier_flag,SMT148AA_raw_outlier_flag
302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
