Ring_pair,L01_da,D01_da,L02_da,D02_da,L03_da,D03_da,L04_da,D04_da,L05_da,D05_da,L06_da,D06_da,L07_da,D07_da,L08_da,D08_da,L10_da,D10_da,L11_da,D11_da,L12_da,D12_da,L13_da,D13_da,L14_da,D14_da,L15_da,D15_da,L16_da,D16_da,L17_da,D17_da,L18_da,D18_da,L19_da,D19_da,L20_da,D20_da,L21_da,D21_da,L22_da,D22_da,L23_da,D23_da,L24_da,D24_da,L25_da,D25_da,L26_da,D26_da,L27_da,D27_da,L28_da,D28_da,L29_da,D29_da,L30_da,L31_da,D31_da,L32_da,D32_da,L33_da,D33_da,L34_da,D34_da,L35_da,D35_da,L36_da,D36_da,L37_da,D37_da,L38_da,D38_da,L39_da,D39_da,L40_da,D40_da
1,0.033,0.023,0.011,0.043,0.01,0.006,0.041,0.063,0.043,0.005,0.027,0.011,0.022,0.1,0.058,0,0.041,0.032,0.086,0.078,0.046,0.012,0.009,0,0.052,0.002,0.032,0.014,0.01,0.033,0.023,0.06,0.041,0.073,0.02,0.011,0.02,0.058,0.097,0.025,0.031,0.021,0.049,0,0.03,0.038,0.014,0.003,0.007,0.021,0.055,0.041,0.015,0,0.011,0,0.046,0.048,0.027,0.064,0.049,0.049,0.014,0,0,0.006,0.028,0,0.008,0.01,0.01,0.135,0.011,0.027,0.009,0.004,0.026
2,0,0,0.05,0.005,0,0,0,0,0.005,0,0.082,0.008,0.132,0.007,0.003,0.084,0.058,0,0.084,0,0,0,0.045,0,0,0,0.054,0.049,0.022,0.015,0.013,0.029,0.048,0.042,0.009,0.02,0,0.029,0,0,0,0.033,0.008,0.014,0.013,0.015,0.012,0.003,0,0.055,0.055,0.004,0,0,0,0.042,0,0.016,0,0,0,0.106,0.009,0.009,0.011,0.005,0.014,0,0.004,0.003,0.005,0,0.007,0.051,0.009,0.036,0.008
3,0.014,0.02,0.024,0.009,0.025,0.016,0.054,0.105,0.006,0.023,0.021,0.015,0.029,0.006,0,0.019,0.025,0.013,0,0.037,0.037,0.003,0.076,0.018,0.026,0,0.023,0.017,0,0,0,0.097,0.066,0.013,0,0,0.027,0.018,0.012,0.017,0,0,0.012,0.043,0,0,0.014,0.014,0.017,0,0.025,0.025,0.051,0.036,0.03,0.02,0.04,0.033,0.039,0.027,0.013,0,0.022,0.004,0.018,0.023,0,0.008,0.01,0.008,0.029,0.06,0,0.014,0.004,0.02,0.021
4,0.02,0.028,0.014,0.027,0,0.012,0,0,0.047,0.041,0.019,0.007,0.012,0.092,0,0,0.014,0.031,0.07,0.061,0.037,0,0.015,0.023,0,0,0,0,0.042,0.028,0.033,0.018,0,0,0.064,0.019,0.023,0.075,0.065,0.013,0.085,0.042,0.011,0.053,0.041,0.032,0.008,0.017,0,0.011,0.02,0,0.03,0.007,0.028,0.026,0.075,0.087,0.022,0.051,0.064,0.067,0.017,0.013,0.018,0.046,0.032,0.011,0,0.081,0.007,0.064,0.028,0.001,0,0.016,0
5,0.007,0.009,0.025,0.047,0.014,0.02,0.018,0.001,0.007,0.049,0,0,0.077,0.084,0.035,0.038,0,0,0.076,0.03,0.02,0.003,0.018,0.006,0.061,0.028,0.023,0.044,0,0,0.02,0.026,0.043,0.043,0.006,0,0.037,0.044,0.048,0.013,0,0,0.051,0.014,0,0,0,0,0,0.004,0.085,0.016,0.042,0.01,0.005,0.006,0.047,0.036,0.018,0,0.06,0.042,0.006,0.002,0.009,0.024,0.022,0.002,0,0.029,0,0.052,0.008,0.073,0.046,0.048,0.005
6,0,0.032,0.008,0,0,0,0.051,0,0.054,0.01,0.114,0.016,0.019,0.038,0,0,0.036,0.039,0.013,0.043,0.018,0.041,0,0,0.028,0.04,0,0,0.048,0.006,0.059,0.024,0.014,0.024,0.017,0.01,0,0.005,0.012,0,0.027,0.047,0.022,0.015,0.007,0.019,0.056,0.02,0.044,0.006,0,0,0,0,0,0,0.011,0.041,0.019,0,0,0,0,0,0,0,0.042,0.021,0.014,0.038,0.035,0.027,0.028,0,0,0,0
7,0,0,0.062,0.051,0.01,0.027,0.034,0,0,0,0,0,0,0,0.036,0.022,0,0,0.018,0.003,0,0.011,0,0.049,0.007,0.06,0,0.006,0.021,0.012,0,0,0.04,0.059,0.022,0.003,0,0,0,0,0.037,0.008,0,0,0.036,0.041,0,0,0,0.004,0.025,0.017,0.033,0.024,0.065,0.046,0,0.004,0,0,0,0.075,0.043,0.04,0.01,0,0,0,0,0,0,0.027,0,0,0.028,0.017,0.01
8,0.034,0.047,0,0,0.005,0.017,0,0,0.027,0.097,0.014,0.017,0.025,0.107,0.013,0.016,0.005,0.056,0.095,0.069,0.036,0.032,0,0,0,0,0.028,0.006,0.01,0.009,0,0.074,0.059,0.062,0.034,0.014,0.013,0.08,0.04,0.044,0.025,0.045,0.016,0.062,0.049,0.017,0,0.01,0.014,0.096,0.018,0.019,0,0,0,0,0.099,0.038,0.028,0.114,0.078,0,0,0,0,0.06,0.029,0.028,0.013,0.066,0.027,0.072,0.003,0.055,0.009,0.007,0.002
9,0,0,0,0.027,0.009,0.019,0.045,0,0,0,0.036,0.019,0,0,0.061,0.051,0.03,0.012,0.075,0,0,0,0.017,0.066,0.071,0.049,0.036,0.039,0,0,0,0.048,0.063,0.02,0.004,0.003,0,0,0,0,0,0,0,0,0,0,0.026,0.033,0,0,0.049,0.014,0.053,0.017,0,0.021,0,0,0,0,0,0.017,0,0.008,0,0,0,0.03,0.012,0,0.003,0.028,0,0.025,0.03,0.05,0.025
10,0.02,0,0.033,0.044,0,0.039,0,0,0.005,0,0.045,0.01,0.057,0.022,0,0,0.003,0.034,0.049,0.037,0.026,0,0.059,0.04,0,0,0,0.01,0.06,0.047,0.021,0,0.023,0,0.077,0.028,0.042,0.018,0,0.008,0.051,0.081,0,0.01,0.027,0.041,0.035,0.03,0.004,0.004,0,0,0.005,0.018,0.02,0.011,0,0.02,0.026,0.003,0.002,0.03,0.012,0.003,0.018,0.008,0.023,0.021,0,0.019,0,0.036,0.02,0.011,0,0,0
