tree,date,reach,random,species,center year,dbh,height,vigor,status
BOC01,7/17/2017,boysen,r,PODE,2003,24,11.5,95,L
BOC12,7/17/2017,boysen,r,POAN,2001,29,8.3,100,L
BOC14,8/1/2017,boysen,r,POAN,1995,24,10.3,95,L
BOC19,8/1/2017,boysen,r,Hybrid,1849,87,8.9,10,L
BOC24,7/18/2017,boysen,r,PODE,1864,85,18.5,30,L
BOC25,7/29/2017,boysen,r,PODE,1933,75,13.9,65,L
BOC44,7/17/2017,boysen,r,PODE,1913,81,20.9,65,L
BOC45,7/31/2017,boysen,r,PODE,1988,35,19.4,85,L
BOC47,8/1/2017,boysen,r,POAN,1911,62,13.5,20,L
BOC49,7/31/2017,boysen,r,POAN,1863,62,14.1,35,L
BOC52,7/29/2017,boysen,r,PODE,1864,90,19.7,20,L
BOC55,8/2/2017,boysen,r,PODE,1862,66,11.7,75,L
BOC56,8/1/2017,boysen,r,PODE,1941,61,15.9,15,L
BOC57,8/1/2017,boysen,r,PODE,1848,81,16.9,30,L
BOC63,8/1/2017,boysen,r,PODE,1885,97,19.9,75,L
BOC70,7/17/2017,boysen,r,POAN,1989,21,8.9,70,L
BOC71,8/1/2017,boysen,r,POAN,1974,40,12.3,90,L
BOC78,7/18/2017,boysen,r,PODE,1933,48,14.5,35,L
BOC81,7/18/2017,boysen,r,PODE,2003,18,5.9,95,L
BOC86,8/1/2017,boysen,r,PODE,1936,54,18.7,85,L
BOC89,7/18/2017,boysen,r,PODE,1871,103,15.9,15,L
BOC90,7/29/2017,boysen,r,PODE,1933,59,10.5,40,L
BOC92,7/18/2017,boysen,r,PODE,1864,73,15.5,30,L
BOC109,7/29/2017,boysen,r,PODE,1874,115,15.3,45,L
BOC110,8/2/2017,boysen,r,PODE,1832,83,16.5,75,L
BOC112,7/31/2017,boysen,r,PODE,1871,78,18.1,20,L
BOC116,7/31/2017,boysen,r,Hybrid,1888,77,18.7,70,L
BOC124,7/29/2017,boysen,r,PODE,1939,41,10.7,75,L
