age_CE,BC2901B_raw,BC2902A_raw,BC2903B_raw,BC2904B_raw,BC2905A_raw,BC2906B_raw,BC2907B_raw,BC2908B_raw,BC2909A_raw,BC2910B_raw,BC2911A_raw,BC2912B_raw,BC2913B_raw,BC2914B_raw,BC2915A_raw,BC2916B_raw,BC2917A_raw,BC2918B_raw,BC2919B_raw,BC2920A_raw,BC2901B_raw_outlier_flag,BC2902A_raw_outlier_flag,BC2903B_raw_outlier_flag,BC2904B_raw_outlier_flag,BC2905A_raw_outlier_flag,BC2906B_raw_outlier_flag,BC2907B_raw_outlier_flag,BC2908B_raw_outlier_flag,BC2909A_raw_outlier_flag,BC2910B_raw_outlier_flag,BC2911A_raw_outlier_flag,BC2912B_raw_outlier_flag,BC2913B_raw_outlier_flag,BC2914B_raw_outlier_flag,BC2915A_raw_outlier_flag,BC2916B_raw_outlier_flag,BC2917A_raw_outlier_flag,BC2918B_raw_outlier_flag,BC2919B_raw_outlier_flag,BC2920A_raw_outlier_flag
1885,NA,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1886,NA,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1887,NA,NA,NA,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1888,NA,NA,NA,1.19,NA,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1889,NA,NA,NA,1.19,NA,1.38,NA,NA,NA,NA,NA,NA,NA,1.93,NA,NA,NA,NA,NA,1.21,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1890,NA,NA,NA,1.64,NA,1.33,NA,NA,NA,NA,NA,NA,1.66,2.44,NA,NA,NA,NA,NA,1.72,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1891,NA,NA,NA,1.96,NA,0.95,NA,NA,NA,NA,NA,NA,1.84,2.77,NA,NA,2.66,NA,NA,1.95,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE
1892,NA,NA,NA,2.12,NA,1.59,NA,NA,NA,NA,NA,NA,1.58,2.54,2.97,NA,2.65,NA,NA,1.81,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1893,NA,NA,NA,1.54,NA,0.79,NA,NA,NA,NA,NA,NA,1.3,2.22,2.49,NA,2.27,NA,NA,1.5,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1894,NA,NA,NA,1.11,NA,0.86,NA,NA,NA,NA,NA,NA,1.19,1.59,1.61,NA,1.38,NA,NA,0.85,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1895,NA,NA,NA,0.9,NA,1.04,NA,NA,NA,NA,NA,NA,1.04,1.65,2.65,NA,1.72,NA,NA,1.43,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1896,NA,NA,NA,0.38,NA,0.49,NA,NA,NA,NA,NA,NA,0.71,1.08,0.99,NA,0.93,NA,NA,0.7,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1897,NA,NA,NA,1.03,NA,0.53,NA,NA,NA,NA,NA,NA,1.28,1.75,2.83,NA,1.58,NA,NA,1.53,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1898,NA,NA,NA,1.73,NA,1.12,NA,NA,NA,NA,NA,NA,1.3,2.64,2.67,NA,2.2,NA,NA,1.32,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1899,NA,NA,NA,1.03,NA,0.43,NA,NA,NA,NA,NA,NA,0.47,1.07,1,NA,0.92,NA,NA,0.5,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1900,NA,NA,NA,1.26,NA,0.85,NA,NA,NA,NA,NA,NA,0.92,1.81,1.93,NA,1.66,NA,NA,1,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1901,NA,NA,NA,1.47,NA,0.92,NA,NA,NA,NA,NA,NA,1.58,2.17,2.42,NA,1.98,2.16,NA,1.03,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1902,NA,NA,NA,1.54,NA,0.95,NA,NA,NA,NA,NA,NA,1.59,2.19,2.27,NA,1.86,1.43,NA,1.2,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1903,NA,NA,NA,1.71,1.71,1.31,NA,NA,NA,NA,NA,NA,1.72,2.49,2.22,NA,1.68,2.2,NA,1.58,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1904,0.91,NA,1.16,1.5,1.49,1.02,NA,NA,NA,NA,NA,NA,1.37,2.28,1.99,NA,1.43,1.36,NA,1.25,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1905,1.42,NA,1.81,1.6,2.22,1.74,NA,NA,NA,NA,NA,NA,2.06,2.89,2.66,NA,2.17,2.2,NA,1.76,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1906,2.5,NA,2.12,2.04,2.55,1.86,NA,NA,NA,NA,NA,NA,2.45,3.2,3.59,NA,2.53,2.71,1.7,2.16,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1907,2.42,2.33,2.04,1.95,2.15,1.64,NA,NA,NA,NA,NA,NA,2.42,3.23,3.5,NA,2.55,2.43,1.71,1.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1908,2.29,2.35,2.51,2.46,3.13,2.72,NA,NA,NA,NA,NA,4.78,3.31,3.92,2.95,NA,3.19,2.89,2.69,2.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1909,1.11,1.69,2.22,2.42,2.79,2.51,NA,NA,NA,1.41,NA,4.42,3.13,3.29,2.66,NA,2.7,3.01,2.38,2.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1910,1.46,1.79,1.74,2.3,2.75,1.83,NA,NA,1.39,1.53,NA,4.14,2.88,2.36,2.27,3.46,2.74,2.14,2.93,2.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,2.1,1.91,1.99,2.34,2.34,2.36,NA,NA,1.36,1.72,NA,3.53,2.37,2.81,2.53,2.79,3.42,2.31,1.66,2.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,2.46,2.21,2.03,2.11,2.31,2.1,NA,NA,1.79,1.83,NA,3.21,2.66,2.59,2.44,2.68,2.46,1.6,2.67,2.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,2.66,1.98,1.75,2.02,2.41,2.07,4.07,NA,1.52,1.61,NA,4.08,2.67,2.64,2.61,3.11,2.06,1.12,1.83,2.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,3.39,1.88,1.81,2.06,3.23,2.57,3.16,NA,2.21,2.27,NA,3.9,2.91,3.25,2.87,3.06,2.68,1.99,2.26,2.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,3.15,2.05,1.48,2.09,2.64,2.6,2.39,NA,1.76,2.35,NA,4.15,2.97,3.12,2.78,3.1,2.89,3.03,2.47,2.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,2.52,1.44,1.37,2.36,2,2.96,1.76,NA,1.54,1.53,NA,4.31,3.06,3.38,2.79,2.9,2.69,2.37,2.33,2.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,3.15,1.82,2.2,2.78,2.55,3.08,2.62,1.54,1.75,3,NA,4.46,2.83,3.86,3.18,3.74,2.71,2.57,2.25,2.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,2.61,1.51,1.66,2.27,2.19,2.47,2.18,1.14,1.78,2.5,2.26,3.88,3.01,3.02,2.63,3.05,2.47,1.85,2.67,2.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,2.49,1.8,1.79,1.99,1.89,2.44,2.35,0.99,1.76,1.98,3.19,3.55,2.62,2.58,2.1,2.54,1.49,1.43,2.48,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,3.48,2.33,2.06,2.5,2.43,3.36,2.54,1.1,2.07,2.42,3.66,4.27,3.04,3.76,3.41,3.23,2.39,2.73,2.85,3.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,4.17,1.98,2.04,3,2.93,2.92,2.84,1.35,2.31,1.8,4,4.63,3.12,3.58,2.44,3.39,2.31,2.93,2.79,3.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,3,2.03,1.88,2.25,2.81,2.86,2.65,0.96,2.17,2.37,3.24,3.5,2.47,3.2,3.79,3.41,1.99,2.55,2.66,3.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,3.21,2.13,1.72,2.81,2.8,3.07,2.62,1.61,2.56,2.7,3.4,3.79,2.56,3.32,2.98,3.21,1.98,2.51,2.61,3.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,2.37,1.67,1.34,1.71,1.62,1.69,1.68,1.21,1.69,1.86,2.45,2.41,1.56,2.31,1.72,2.16,1.34,1.64,2.14,2.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
