age_CE,HBO01A_raw,HBO01B_raw,HBO02A_raw,HBO02B_raw,HBO03A_raw,HBO03B_raw,HBO04A_raw,HBO05A_raw,HBO06B_raw,HBO07A_raw,HBO07B_raw,HBO08A_raw,HBO08B_raw,HBO08C_raw,HBO09A_raw,HBO09B_raw,HBO10A_raw,HBO10B_raw,HBO11B_raw,HBO12A_raw,HBO12B_raw,HBO13A_raw,HBO13B_raw,HBO14A_raw,HBO14B_raw,HBO15A_raw,HBO15B_raw,HBO16A_raw,HBO17A_raw,HBO17B_raw,HBO18A_raw,HBO19A_raw,HBO19B_raw,HBO20A_raw,HBO20B_raw,HBO01A_raw_outlier_flag,HBO01B_raw_outlier_flag,HBO02A_raw_outlier_flag,HBO02B_raw_outlier_flag,HBO03A_raw_outlier_flag,HBO03B_raw_outlier_flag,HBO04A_raw_outlier_flag,HBO05A_raw_outlier_flag,HBO06B_raw_outlier_flag,HBO07A_raw_outlier_flag,HBO07B_raw_outlier_flag,HBO08A_raw_outlier_flag,HBO08B_raw_outlier_flag,HBO08C_raw_outlier_flag,HBO09A_raw_outlier_flag,HBO09B_raw_outlier_flag,HBO10A_raw_outlier_flag,HBO10B_raw_outlier_flag,HBO11B_raw_outlier_flag,HBO12A_raw_outlier_flag,HBO12B_raw_outlier_flag,HBO13A_raw_outlier_flag,HBO13B_raw_outlier_flag,HBO14A_raw_outlier_flag,HBO14B_raw_outlier_flag,HBO15A_raw_outlier_flag,HBO15B_raw_outlier_flag,HBO16A_raw_outlier_flag,HBO17A_raw_outlier_flag,HBO17B_raw_outlier_flag,HBO18A_raw_outlier_flag,HBO19A_raw_outlier_flag,HBO19B_raw_outlier_flag,HBO20A_raw_outlier_flag,HBO20B_raw_outlier_flag
1880,0.7,0.92,0.67,0.59,NA,1.24,NA,NA,NA,2.61,1.2,0.99,1.85,2.68,NA,1.37,1.44,2.17,1.42,NA,2.24,NA,1.91,1.34,2.13,1.37,1.69,NA,1.28,NA,0.69,2.03,NA,1.21,0.74,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1881,0.72,0.87,0.5,0.46,NA,1.23,NA,NA,NA,2.32,1.21,1.79,2.03,3.32,NA,1.9,1.74,2.61,1.11,NA,2.84,NA,2.46,1.5,3.12,1.2,2.08,NA,1.18,NA,0.71,2.26,NA,1.65,0.69,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1882,0.78,0.92,0.52,0.57,NA,1.2,NA,NA,NA,3.15,1.43,1.75,2.14,2.82,NA,1.76,1.99,3.31,1.59,NA,3.06,NA,2.34,1.97,3.41,2.27,2.12,NA,1.19,NA,0.93,2.91,NA,1.71,0.82,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,TRUE,NA,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1883,0.7,1.03,0.63,0.53,NA,0.74,NA,NA,NA,3.12,1.13,1.23,2.14,3.12,NA,1.79,2.05,2.92,1.54,1.18,2.92,NA,2.31,1.73,2.48,1.87,1.66,NA,1.18,NA,0.99,2.62,NA,1.93,0.71,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,TRUE,FALSE
1884,0.77,0.95,0.59,0.54,NA,1,NA,NA,NA,2.52,1.03,1.11,1.97,2.74,NA,1.66,1.94,3.18,1.27,1.39,3.03,NA,2.25,1.74,2.55,1.52,1.45,NA,1.16,NA,0.98,2.72,NA,1.92,0.69,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,TRUE,FALSE
1885,0.43,0.73,0.37,0.47,NA,0.51,NA,1.23,NA,1.06,0.53,0.52,1.7,2.49,NA,1.31,1.58,2.2,0.6,0.84,1.64,1.27,2.03,1.29,1.63,1.31,1.13,NA,0.93,NA,0.83,2.37,NA,1.32,0.59,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1886,0.73,0.96,0.46,0.51,NA,0.48,NA,1.58,NA,1.64,0.72,1.06,2.05,2.69,NA,1.38,2.06,2.56,0.98,1.33,2.66,1.15,1.85,1.61,2.18,2.12,1.74,NA,1.29,NA,1.01,2.37,NA,1.2,0.71,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1887,0.54,0.8,0.49,0.39,NA,0.46,NA,1.45,NA,2.38,1.01,0.96,1.61,2.25,NA,1.15,1.7,2.15,0.95,1.35,2.38,1.3,1.8,1.51,2.06,1.53,1.23,NA,1.27,NA,0.72,2.05,NA,1.1,0.55,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1888,0.79,0.9,0.47,0.51,NA,0.72,NA,1.62,NA,1.81,0.84,0.98,1.54,2.27,NA,0.88,1.81,2.54,1.13,1.21,2.58,1.52,2.03,1.85,2.75,1.63,1.53,NA,1.75,NA,1.14,2.13,NA,1.15,0.83,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1889,0.6,0.7,0.27,0.41,NA,1.01,NA,1.17,NA,1.36,0.65,0.96,1.35,1.93,NA,1.02,1.34,1.73,0.97,1.37,2.12,1.05,1.51,1.24,2.23,1.82,1.68,NA,1.3,NA,0.89,2.09,NA,1.06,0.54,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
