YEAR  ,Month  ,Precip_mm,Temp_cel,TSNW_cm
1909,1,303.784,-2.072222222,NA
1909,2,352.552,0.761111111,NA
1909,3,87.884,2.822222222,NA
1909,4,73.66,4.711111111,NA
1909,5,50.8,9.605555556,NA
1909,6,19.05,11.87777778,NA
1909,7,15.24,13.9,NA
1909,8,12.7,14.61666667,NA
1909,9,58.42,12.81666667,NA
1909,10,129.032,7.116666667,NA
1909,11,259.588,1.144444444,NA
1909,12,149.86,-0.211111111,NA
1910,1,370.078,-3.127777778,NA
1910,2,320.04,-2.627777778,NA
1910,3,220.98,3.033333333,NA
1910,4,117.094,5.055555556,NA
1910,5,72.136,10.21111111,NA
1910,6,52.832,11.58333333,NA
1910,7,6.604,15.91111111,NA
1910,8,14.732,14.02222222,NA
1910,9,60.198,11.31111111,NA
1910,10,77.978,7.933333333,NA
1910,11,316.23,1.7,NA
1910,12,318.77,0.311111111,NA
1911,1,360.68,-3.177777778,NA
1911,2,352.552,-1.955555556,NA
1911,3,144.272,1.811111111,NA
1911,4,103.886,3.461111111,NA
1911,5,134.366,6.3,NA
1911,6,48.514,11.7,NA
1911,7,7.62,16.66666667,NA
1911,8,27.686,15.22777778,NA
1911,9,108.458,9.455555556,NA
1911,10,104.14,6.255555556,NA
1911,11,208.026,1.344444444,NA
1911,12,320.802,-0.322222222,NA
1912,1,424.18,-0.688888889,NA
1912,2,238.252,0.472222222,NA
1912,3,154.686,0.438888889,NA
1912,4,97.536,3.883333333,NA
1912,5,60.706,8.883333333,NA
1912,6,36.83,12.88888889,NA
1912,7,12.7,15.09444444,NA
1912,8,137.16,14.2,NA
1912,9,34.544,10.81111111,NA
1912,10,107.95,5.227777778,NA
1912,11,226.314,2.65,NA
1912,12,398.018,-0.355555556,NA
1913,1,405.384,-3.294444444,NA
1913,2,176.53,-1.855555556,NA
1913,3,150.368,-0.605555556,NA
1913,4,94.742,4.644444444,NA
1913,5,70.104,7.661111111,NA
1913,6,65.532,12.54444444,NA
1913,7,10.922,16.02777778,NA
1913,8,19.05,16.91666667,NA
1913,9,97.282,11.5,NA
1913,10,199.39,5.838888889,NA
1913,11,227.33,2.283333333,NA
1913,12,284.734,0.4,NA
1914,1,459.486,-0.072222222,NA
1914,2,241.554,0.038888889,NA
1914,3,140.716,2.95,NA
1914,4,139.7,5.6,NA
1914,5,68.072,10.93888889,NA
1914,6,101.092,11.87222222,NA
1914,7,11.176,16.83333333,NA
1914,8,5.08,16.5,NA
1914,9,85.344,9.916666667,NA
1914,10,192.532,8.338888889,NA
1914,11,229.616,2.394444444,NA
1914,12,70.866,-1.933333333,NA
1915,1,162.052,-0.627777778,NA
1915,2,151.384,1.65,NA
1915,3,99.822,4.988888889,NA
1915,4,129.286,7.933333333,NA
1915,5,182.88,7.994444444,NA
1915,6,66.548,12.31666667,NA
1915,7,66.802,15.33333333,NA
1915,8,2.032,18.05555556,NA
1915,9,65.278,11.19444444,NA
1915,10,242.57,6.95,NA
1915,11,327.66,0.227777778,NA
1915,12,472.948,-0.544444444,NA
1916,1,227.584,-6.35,NA
1916,2,316.992,0.038888889,NA
1916,3,448.31,0.488888889,NA
1916,4,152.4,3.877777778,NA
1916,5,115.57,4.883333333,NA
1916,6,94.996,11.59444444,NA
1916,7,109.982,13.55555556,NA
1916,8,16.256,16.27777778,NA
1916,9,78.994,11.91666667,NA
1916,10,72.39,7.227777778,NA
1916,11,239.268,0.45,NA
1916,12,225.806,-1.988888889,NA
1917,1,370.84,-2.905555556,NA
1917,2,178.562,-1.683333333,NA
1917,3,268.478,-1.344444444,NA
1917,4,229.362,1.488888889,NA
1917,5,45.974,4.105555556,NA
1917,6,173.99,9.538888889,NA
1917,7,8.636,16.5,NA
1917,8,0.254,17.27777778,NA
1917,9,63.5,11.91666667,NA
1917,10,23.368,8.616666667,NA
1917,11,120.904,5.172222222,NA
1917,12,1108.202,1.511111111,NA
1918,1,540.258,-0.016666667,NA
1918,2,302.768,-2.072222222,NA
1918,3,131.826,0.6,NA
1918,4,74.422,4.822222222,NA
1918,5,116.84,6.938888889,NA
1918,6,6.604,14.92777778,NA
1918,7,46.99,15.61111111,NA
1918,8,92.202,14.22222222,NA
1918,9,16.256,15.75,NA
1918,10,258.826,7.783333333,NA
1918,11,187.96,1.505555556,NA
1918,12,381.254,-1.322222222,NA
1919,1,514.604,-0.738888889,38.1
1919,2,233.426,-0.516666667,129.54
1919,3,224.282,1.211111111,168.91
1919,4,166.624,3.488888889,25.4
1919,5,113.03,7.883333333,10.16
1919,6,48.006,11.53888889,0
1919,7,12.954,16.16666667,0
1919,8,14.224,16,0
1919,9,76.2,12.13888889,0
1919,10,156.21,5.283333333,17.78
1919,11,233.172,1.894444444,45.72
1919,12,254.762,-2.488888889,25.4
1920,1,419.862,-0.238888889,22.86
1920,2,43.434,1.761111111,21.59
1920,3,273.812,1.488888889,119.38
1920,4,267.716,1.988888889,125.73
1920,5,101.854,6.661111111,5.08
1920,6,91.948,11.26111111,0
1920,7,25.146,17,0
1920,8,67.818,16.83333333,0
1920,9,244.348,10.75,0
1920,10,235.712,5.894444444,12.7
1920,11,182.118,2.45,19.05
1920,12,549.91,-0.044444444,193.04
1921,1,591.312,-1.683333333,213.36
1921,2,465.582,-0.683333333,101.6
1921,3,266.446,1.322222222,77.47
1921,4,251.714,2.877777778,82.55
1921,5,70.358,7.494444444,7.62
1921,6,94.488,13.03888889,0
1921,7,21.082,14.88888889,0
1921,8,48.26,15.11111111,0
1921,9,93.726,9.305555556,0
1921,10,130.556,9.227777778,0
1921,11,383.794,3.172222222,113.03
1921,12,280.67,-1.655555556,44.45
1922,1,195.326,-3.738888889,123.19
1922,2,192.532,-2.405555556,92.71
1922,3,168.91,-0.788888889,158.75
1922,4,180.594,2.1,121.92
1922,5,108.966,6.994444444,15.24
1922,6,8.382,15.03888889,0
1922,7,0,17.11111111,0
1922,8,85.852,16.11111111,0
1922,9,97.536,13.13888889,0
1922,10,155.702,8.061111111,0
1922,11,77.47,1.116666667,19.05
1922,12,452.374,-2.933333333,218.44
1923,1,542.798,-1.405555556,199.39
1923,2,113.284,-2.072222222,105.41
1923,3,222.504,-0.011111111,157.48
1923,4,112.522,4.377777778,30.48
1923,5,121.412,7.605555556,7.62
1923,6,60.198,12.31666667,0
1923,7,49.53,16.44444444,0
1923,8,55.88,17.22222222,0
1923,9,27.94,13.86111111,0
1923,10,174.244,8.394444444,0
1923,11,189.23,4.283333333,5.08
1923,12,443.992,-1.044444444,139.7
1924,1,343.408,-2.016666667,68.58
1924,2,327.914,1.205555556,10.16
1924,3,109.22,1.433333333,86.36
1924,4,79.248,5.1,20.32
1924,5,24.13,11.16111111,0
1924,6,76.962,13.03888889,0
1924,7,24.384,15.5,0
1924,8,26.162,14.94444444,0
1924,9,67.564,12.24444444,0
1924,10,232.664,6.172222222,7.62
1924,11,247.904,0.283333333,104.14
1924,12,388.366,-3.488888889,53.34
1925,1,509.524,-1.072222222,157.48
1925,2,327.66,0.65,50.8
1925,3,147.828,1.6,22.86
1925,4,92.964,5.655555556,0
1925,5,74.168,10.60555556,0
1925,6,44.958,12.87222222,0
1925,7,1.27,17.05555556,0
1925,8,38.862,15.11111111,0
1925,9,46.736,11.69444444,0
1925,10,55.372,7.838888889,0
1925,11,185.42,1.95,1.016
1925,12,371.602,1.9,30.48
1926,1,236.728,0.316666667,58.42
1926,2,319.024,1.094444444,63.5
1926,3,88.646,5.822222222,0
1926,4,60.198,9.488888889,0
1926,5,153.162,9.161111111,0
1926,6,13.716,15.31666667,0
1926,7,0,16.88888889,0
1926,8,105.918,14.55555556,0
1926,9,134.874,9.305555556,0
1926,10,207.264,6.727777778,0
1926,11,263.144,3.894444444,12.7
1926,12,307.594,-0.988888889,99.06
1927,1,356.362,-1.35,111.76
1927,2,300.736,-0.905555556,71.12
1927,3,131.318,0.433333333,81.28
1927,4,127.254,2.266666667,40.64
1927,5,169.418,4.994444444,2.54
1927,6,19.304,12.92777778,0
1927,7,6.096,16.22222222,0
1927,8,104.14,15.61111111,0
1927,9,209.042,11.19444444,0
1927,10,220.472,7.283333333,0
1927,11,451.358,2.227777778,25.4
1927,12,293.878,-2.822222222,121.92
1928,1,344.424,-1.127777778,45.72
1928,2,54.61,0.261111111,22.86
1928,3,362.712,2.155555556,71.12
1928,4,200.66,3.877777778,30.48
1928,5,34.036,11.99444444,5.08
1928,6,44.958,11.87222222,0
1928,7,45.212,17.5,0
1928,8,4.318,15.83333333,0
1928,9,35.56,12.97222222,0
1928,10,203.2,6.672222222,0
1928,11,117.856,3.005555556,0
1928,12,246.126,-1.322222222,96.52
1929,1,228.346,-4.127777778,165.1
1929,2,126.492,-2.905555556,68.58
1929,3,89.916,0.766666667,43.18
1929,4,91.44,1.822222222,55.88
1929,5,124.968,6.827777778,5.08
1929,6,123.698,11.65,0
1929,7,5.842,15.72222222,0
1929,8,7.874,16.16666667,0
1929,9,27.686,12.47222222,0
1929,10,90.17,9.227777778,0
1929,11,51.562,2.672222222,5.08
1929,12,272.034,0.622222222,104.14
1930,1,123.952,-6.572222222,78.74
1930,2,172.466,-0.294444444,43.18
1930,3,76.2,1.988888889,40.64
1930,4,56.134,6.266666667,0
1930,5,139.7,7.216666667,5.08
1930,6,65.786,11.42777778,0
1930,7,2.54,15.38888889,0
1930,8,1.778,16.61111111,0
1930,9,47.498,11.69444444,0
1930,10,165.862,7.561111111,0
1930,11,122.428,2.394444444,83.82
1930,12,135.382,-0.488888889,40.64
1931,1,245.872,0.038888889,20.32
1931,2,152.654,0.15,33.528
1931,3,298.45,0.766666667,17.78
1931,4,106.68,4.766666667,22.86
1931,5,81.534,10.60555556,5.08
1931,6,184.404,12.03888889,0
1931,7,0,16.94444444,0
1931,8,11.176,16.16666667,0
1931,9,87.63,10.63888889,0
1931,10,230.378,7.283333333,5.08
1931,11,219.456,0.783333333,83.82
1931,12,274.066,-0.933333333,104.14
1932,1,310.642,-2.016666667,114.3
1932,2,346.456,-1.016666667,160.02
1932,3,429.514,1.1,83.82
