year,TO04,TO11,TB13,AV14,AX15,AG05,AV06,AM16,AR07,AE10,PARA,PP17,TA01,AV02/AO03,AB08
1914,2865.559996,2808.211663,2771.179997,2266.439997,2493.12333,2646.940552,2305.510552,2150.032219,1881.718886,1831.554441,1665.422219,2158.747219,3016.436663,2604.526108,2349.787219
1915,2806.147778,2739.54,2697.672778,2207.383334,2420.680556,2566.921667,2257.202778,2104.315,1780.99,1716.365556,1553.933334,2113.355,2958.318889,2526.551111,2299.069445
1916,2262.607776,2204.939443,2196.508332,1751.664443,1954.093332,2080.083332,1796.46111,1702.683887,1448.734999,1405.958888,1291.123332,1713.692221,2411.810554,2056.153887,1843.320554
1917,2417.296666,2349.332221,2338.526666,1945.949444,2110.690555,2229.784999,1932.42611,1824.217777,1602.595555,1569.85611,1443.961666,1846.930555,2585.10611,2207.184999,1983.713332
1918,2667.746667,2576.251112,2538.67,2091.241112,2288.865556,2423.875556,2127.102223,2041.002223,1799.916667,1770.074445,1635.837223,2037.590556,2783.927223,2407.232223,2179.507223
1919,2428.222222,2361.889444,2326.031666,1898.13,2095.718333,2215.042778,1935.573889,1833.565,1624.801666,1586.458889,1467.822778,1858.56,2576.885,2193.878333,1991.581111
1920,2394.985,2330.463889,2298.806667,1831.053889,2037.136111,2161.705,1892.498889,1784.111111,1509.107778,1467.665556,1331.378334,1809.593334,2533.371667,2132.847223,1927.42
1921,2479.482778,2424.933889,2395.311111,1948.304445,2136.298889,2291.422778,1976.414445,1886.532222,1655.573889,1599.4,1453.594445,1908.662222,2615.002222,2246.825556,2025.561667
1922,2577.608889,2512.286667,2509.486667,2151.577778,2316.776111,2414.994445,2168.431111,2082.453889,1847.480556,1816.512223,1672.923334,2104.253889,2711.383334,2400.051111,2220.991111
1923,2749.396667,2693.032778,2669.620556,2202.215,2413.229445,2571.012223,2231.928334,2122.567778,1827.638889,1787.59,1620.199445,2140.279445,2888.348334,2518.856111,2293.122778
1924,2569.091663,2521.545552,2509.402219,2079.916108,2278.102774,2408.33833,2133.794997,2007.099442,1761.271109,1727.034442,1597.28722,2027.69333,2703.697774,2387.705552,2183.754441
1925,2764.346111,2699.875556,2660.707222,2204.237222,2389.715,2536.788334,2240.820556,2107.915,1810.787778,1760.502222,1599.116667,2115.672222,2895.183334,2504.648889,2289.645
1926,2980.607224,2912.441113,2842.011113,2306.235002,2519.290002,2699.394446,2336.373891,2203.57778,1896.597224,1861.415557,1659.585002,2209.569446,3119.260002,2623.420557,2379.805557
1927,2362.941667,2282.900001,2268.216112,1857.696112,2045.108334,2146.042778,1899.520556,1777.103334,1579.822778,1556.817778,1445.437223,1790.106667,2505.282223,2132.954445,1937.102223
1928,2747.596111,2675.659445,2639.630556,2174.445,2386.823334,2534.072223,2216.321667,2093.187222,1848.440556,1818.723334,1659.46,2118.716667,2868.017222,2483.988889,2252.932778
1929,2476.471112,2401.238889,2395.281112,2022.731112,2187.800556,2312.776667,2038.437223,1931.044445,1671.582778,1627.720556,1506.501667,1963.780556,2623.775,2275.720001,2086.349445
1930,2633.852778,2558.228333,2519.082778,2032.073333,2234.031111,2405.307778,2072.644444,1950.107778,1680.43,1641.181111,1469.633889,1968.366667,2768.980556,2344.51,2123.016667
1931,2627.30889,2575.874446,2553.651113,2163.475557,2349.450557,2465.723335,2203.366113,2102.48889,1836.279445,1800.275001,1634.348334,2121.480557,2767.272224,2452.581668,2254.005557
1932,2591.745556,2534.717778,2517.276667,2051.576667,2240.232223,2382.948889,2085.793334,1969.485556,1720.512223,1675.275,1525.876667,1993.112778,2730.517223,2335.412778,2135.920556
1933,2476.718334,2423.229445,2396.022778,1898.838889,2118.053889,2245.755,1944.121667,1804.281667,1550.864445,1513.405556,1386.251111,1814.94,2611.768889,2215.738334,1987.228334
1934,3369.241111,3296.941667,3221.501667,2621.42,2855.213889,3051.861667,2644.880556,2488.982222,2155.498889,2112.878889,1878.545556,2513.227222,3510.451111,2980.486667,2694.89
1935,2820.898889,2773.128334,2724.718889,2230.972223,2444.489445,2587.072778,2246.935,2113.203889,1864.269445,1823.809445,1661.928889,2128.162223,2951.788334,2547.468889,2298.347223
1936,3045.382223,2999.661667,2970.007223,2522.829445,2725.302778,2857.003889,2551.542223,2421.253334,2139.006111,2110.706111,1937.291667,2439.027223,3194.669445,2827.928334,2598.171667
1937,2889.456111,2823.250556,2774.017223,2260.57,2470.95,2624.027223,2300.484445,2165.300556,1871.655,1835.539445,1695.508334,2183.577223,3033.255,2563.945,2346.001111
1938,2994.272223,2921.252223,2900.009445,2399.173334,2606.51,2752.357778,2431.501667,2320.992223,2026.96,1990.663334,1823.247778,2339.096111,3144.501667,2707.815556,2481.281111
1939,3181.577778,3103.052778,3052.43,2511.787778,2742.057778,2907.530556,2525.35,2386.162223,2070.233889,2028.073889,1809.128889,2408.654445,3307.838334,2858.372223,2589.327223
