Year,TO04,TO11,TB13,AV14,AX15,AG05,AV06,AM16,AR07,AE10,PARA,PP17,TA01,AV02/AO03,AB08
1914,65,71,90,139,135,126,169,182,195,198,214,170,74,128,138
1915,68,73,106,137,135,127,152,163,177,179,197,155,83,132,137
1916,148,157,174,217,209,198,247,261,279,283,297,242,154,199,212
1917,147,153,181,212,206,196,222,233,245,248,263,220,155,197,205
1918,124,129,144,175,171,151,206,220,239,242,259,208,130,152,177
1919,107,119,153,206,202,177,226,248,262,266,278,227,121,185,203
1920,74,79,109,184,170,141,199,222,243,245,264,204,74,155,177
1921,130,133,171,206,204,194,224,240,256,261,279,219,137,195,202
1922,156,163,176,202,198,187,211,228,239,240,249,214,161,190,199
1923,128,134,155,175,176,164,194,214,233,237,248,194,138,164,173
1924,98,102,142,196,191,177,206,219,235,238,254,205,105,182,194
1925,89,97,116,171,163,139,192,218,233,235,247,193,97,146,173
1926,43,48,64,116,114,91,134,156,178,181,204,138,50,96,118
1927,142,145,166,208,201,185,220,235,250,253,266,219,145,190,204
1928,119,130,148,168,166,158,177,188,211,215,244,177,130,160,166
1929,132,137,156,174,169,163,186,203,220,223,239,183,139,163,170
1930,102,112,136,163,159,152,179,191,208,210,222,175,115,155,159
1931,109,114,155,188,181,172,195,209,222,224,239,194,118,173,183
1932,120,129,149,187,180,162,203,221,250,255,279,205,129,165,183
1933,131,136,165,199,195,183,213,228,241,246,263,210,140,184,192
1934,28,28,47,113,106,75,143,171,190,195,221,153,31,86,116
1935,104,109,130,170,165,144,193,217,239,243,258,196,111,153,170
1936,97,98,114,148,150,131,165,177,194,196,213,160,103,138,147
1937,85,90,105,138,134,125,156,182,210,220,236,161,87,125,137
1938,66,72,101,158,146,124,181,198,206,207,221,184,79,129,159
1939,75,76,91,119,118,108,142,163,185,187,206,146,79,110,120
1940,25,27,42,87,83,67,107,138,168,172,207,125,26,78,89
1941,21,22,34,66,65,54,80,114,125,128,159,100,25,58,68
1942,105,106,136,179,172,160,189,208,222,224,244,193,109,162,175
1943,105,110,127,179,171,149,195,216,242,248,269,197,114,151,173
1944,77,81,100,139,134,120,169,183,199,201,216,171,83,124,139
1945,81,94,128,184,181,170,197,213,232,234,249,199,90,175,183
1946,107,109,136,197,187,164,212,230,250,254,267,210,111,174,196
1947,65,67,97,147,141,122,172,197,211,213,239,181,79,129,150
1948,146,153,175,212,204,197,221,230,247,250,263,218,150,198,209
1949,127,128,144,163,162,156,179,193,215,221,234,179,133,156,162
1950,135,138,158,192,185,169,216,240,257,259,275,220,143,170,185
1951,122,123,139,179,172,155,193,205,230,235,253,190,124,161,174
1952,99,109,130,149,148,141,171,182,196,199,226,171,113,143,151
1953,64,72,97,161,157,141,186,210,231,233,241,191,70,145,163
1954,124,127,152,184,183,168,208,222,237,242,258,202,131,168,177
1955,167,172,200,227,222,214,237,256,271,273,284,236,170,213,223
1956,127,128,151,198,189,172,225,244,264,267,275,219,132,176,194
1957,95,97,115,160,153,137,174,194,207,209,231,177,102,142,161
1958,34,40,67,134,120,91,169,191,201,202,220,181,39,102,136
1959,51,62,94,154,147,128,176,197,225,227,244,181,59,137,152
1960,68,75,107,169,162,145,185,203,218,220,244,186,73,153,162
1961,65,74,95,182,165,127,204,225,242,243,258,210,72,136,181
1962,50,51,77,133,126,112,169,195,216,220,243,176,55,119,132
1963,41,46,63,132,112,85,150,187,200,202,227,167,44,96,130
1964,123,128,164,199,196,182,220,237,252,255,270,216,128,187,197
1965,88,90,111,150,147,134,177,196,212,215,230,178,94,136,148
1966,96,100,111,155,149,128,165,187,213,218,236,168,100,132,150
1967,99,103,144,177,177,169,196,208,216,218,227,194,107,171,178
1968,73,74,94,141,136,117,172,194,218,223,244,182,78,122,137
1969,98,101,120,159,155,138,177,191,202,204,216,180,104,142,162
1970,98,101,129,188,185,165,202,216,236,238,251,206,101,171,186
1971,146,149,163,219,201,184,242,273,284,286,296,248,152,185,213
