Year,TO04,TO11,TB13,AV14,AX15,AG05,AV06,AM16,AR07,AE10,PARA,PP17,TA01,AV02AO03,AB08
1914,175.2976482,156.0371538,233.4884495,290.386858,344.3139598,305.209636,535.0274098,742.7662901,783.2733554,799.9263643,958.4196904,457.0301431,201.3548328,268.4017226,276.7403696
1915,60.44373622,55.74551266,158.0955755,409.9526942,365.2316683,288.3907326,593.7123643,781.042429,854.5553425,899.5765019,1018.044241,555.2019699,73.69442295,300.8671634,351.0770668
1916,503.6762763,468.9508146,730.8921658,1178.373346,1249.720378,1051.653891,1807.078267,2219.22008,2499.346984,2621.166071,2858.456131,1513.997932,563.5678236,1018.680778,1092.090032
1917,477.2099943,473.1068422,720.2241188,992.9073096,1082.02338,910.6646374,1548.736099,1912.310658,2110.172826,2197.801293,2410.440772,1262.720645,536.9066872,846.0616569,896.7033735
1918,248.4035586,239.3572596,408.3135322,646.2085848,707.535988,577.112607,1214.930157,1712.921408,1875.692916,1943.237173,2244.665644,1030.187378,296.1656894,552.9974414,622.9439898
1919,186.6837012,204.7794718,438.4166986,783.4396134,887.6098643,710.6898369,1310.139939,1782.17101,1996.816925,2073.72852,2371.376548,1147.26156,209.347779,700.3126825,764.2867554
1920,131.3952393,152.3537312,167.6575009,507.6946039,439.236355,250.7752053,908.2003642,1377.494382,1586.018616,1655.312767,1966.761413,842.9733153,119.6239522,260.244293,432.7307659
1921,388.6065279,377.6348651,739.741164,1185.4187,1341.166151,1091.023316,1943.092591,2504.036735,2835.350952,2952.9735,3218.595292,1584.094098,465.3695788,1069.309372,1132.568429
1922,330.0089309,324.360293,473.1948448,688.4381852,718.7669213,601.4596944,1097.308771,1394.002711,1628.489477,1698.396565,1862.413115,906.2608096,362.6636659,557.9572006,607.387402
1923,290.5347446,303.6336246,573.3326895,838.6385563,977.4247085,806.9482216,1346.120446,1695.839119,1854.086631,1947.773288,2190.94063,1111.866657,378.4706778,785.9952388,801.0483053
1924,149.7754759,141.2717662,322.4299539,624.4852772,682.0951098,538.2789488,1073.878232,1427.33258,1539.700721,1607.569813,1894.363163,948.4871729,192.8755909,536.1825234,615.0105528
1925,205.5111163,192.648884,385.0011316,801.4732274,862.4756632,631.7506178,1381.397554,1817.985883,1992.125355,2074.765882,2276.552995,1189.060768,257.5805721,655.2119729,766.7727346
1926,75.6974232,73.9690919,120.2237754,279.5579175,316.2980361,203.5069038,564.3829751,873.2222964,983.6385455,1031.348074,1267.86548,515.4120749,106.0942694,214.8177185,283.999501
1927,227.1918771,251.3305331,478.2250795,750.6698556,843.260331,687.8327658,1220.429077,1492.521517,1635.528326,1708.052944,1886.382474,958.8471281,300.158823,662.0284939,684.8302836
1928,235.5498875,212.4441126,312.032163,632.4044462,662.9235732,467.624901,1064.762882,1415.636376,1666.71136,1754.257283,2008.80954,934.8744821,284.6542436,501.3095404,574.2590268
1929,255.3863627,240.6657827,425.1619781,557.6894838,644.0586774,572.454866,871.1374992,1019.80002,1108.335948,1155.678777,1258.725038,664.5850723,310.6549372,523.2938952,499.8579098
1930,99.22917585,93.6633968,205.0075567,406.4605974,456.4929377,349.4512773,662.569747,813.6691654,847.8350818,882.4712249,929.5352958,541.5189747,123.0683831,359.7069456,387.5341252
1931,151.2024231,143.48016,227.2507366,595.8416312,597.3013896,421.1082368,982.965351,1264.959411,1400.938358,1458.874952,1579.127064,847.2992162,147.3817208,433.0817172,547.1723215
1932,252.6195868,243.5903545,469.3880724,1001.323323,1038.709854,776.4281066,1590.153908,2022.178674,2291.921738,2399.996482,2628.309026,1387.55195,298.1718566,824.7519258,943.5501625
1933,425.1069012,408.501343,695.4915601,954.7862716,1108.19834,947.4983728,1524.19737,1874.57252,1961.69499,2037.867109,2271.005933,1234.161724,505.1636858,900.5048107,891.5672137
1934,66.76412723,62.00619812,118.6034134,375.1178337,394.7554019,198.2733347,744.9919629,1173.469142,1273.536682,1340.447512,1839.729128,710.3141934,85.75961657,236.1086839,373.8349902
1935,312.5444871,279.5094025,411.1084835,604.7927042,683.4230156,526.4555631,1036.677993,1369.689472,1508.265552,1590.6355,1861.246099,895.2538292,367.5671651,518.7075545,577.3115672
1936,206.9031257,177.7393317,334.9891141,607.7031082,713.6270226,535.8452478,1069.964205,1366.38164,1450.53212,1497.610564,1735.004701,860.9420529,248.3949974,532.7515568,581.2877186
1937,298.2623211,261.8276455,353.8577205,396.1341759,466.7161545,423.9545917,714.4443002,1076.567335,1372.117348,1436.243169,1759.949663,592.7970929,332.6100526,366.7450134,366.5600147
1938,67.91333289,69.7908522,119.2731568,313.9154266,358.1462797,250.155633,559.7612741,827.0909415,950.8786734,1005.494887,1356.534462,520.8078013,80.19879705,270.4777553,310.1029566
1939,227.5358855,234.050124,370.4373005,545.9074017,660.4306452,536.4481227,990.5194467,1350.806926,1482.462401,1541.009933,1763.100587,855.833789,261.3225238,510.7247228,518.5555601
1940,27.03158733,25.24384528,54.23745575,109.5625063,117.3017021,80.61204727,237.1759325,429.8164884,497.608747,527.2718261,827.6162986,248.3865198,33.00709842,86.19785197,121.4627178
1941,22.32445705,19.6324,23.51924813,93.18596515,106.9294592,99.56003875,157.1788843,225.1097486,236.3696946,249.5491313,348.5551542,140.1592908,27.1426,95.01253904,86.91173432
1942,97.02499672,90.89969063,174.1863631,355.0201223,352.2693149,281.4353889,548.4838359,758.1331777,824.3514575,878.6583566,1034.434938,486.5822199,131.9737828,291.4694068,327.7814079
1943,246.0318076,228.3646827,442.1694921,742.8441827,811.0630342,657.187022,1228.190386,1539.517589,1754.712525,1848.507704,2146.503445,1026.514385,335.7725933,641.4904889,699.0072139
1944,64.75383525,66.82631738,126.4031588,342.1951148,375.7477496,244.0351222,613.4345811,818.658913,881.3574308,914.2260467,1118.080379,528.1258491,75.56552379,268.5534503,334.8830797
1945,60.87664376,57.36320228,112.9388064,431.1568062,402.9222905,185.4818433,765.909144,1180.910603,1334.167604,1390.121803,1712.11804,749.3431539,67.06493899,250.5942513,393.4512264
1946,225.0854625,206.6033191,356.1355686,700.1757161,676.0268522,499.0596144,1236.808995,1688.783264,1882.702408,1972.351586,2253.991791,1109.099006,268.4140024,494.4775224,642.2644258
1947,214.8833232,185.8693897,303.9095222,447.7476305,495.9392467,395.2500144,906.857846,1329.647421,1481.81356,1552.963115,1923.323379,848.054755,257.6673902,375.3474063,441.896797
1948,251.8775224,246.6013231,389.9771019,679.7736244,755.4423702,596.0658707,1149.865743,1516.767101,1836.031237,1918.991632,2214.492322,948.1979457,335.9140741,587.0285535,648.46602
1949,652.243939,588.258379,845.1547768,933.1497329,1049.500254,998.1062209,1463.286864,1823.075973,2032.419392,2129.430741,2291.793059,1223.98595,778.2517623,899.0525242,845.0570852
1950,596.0713614,524.1742265,782.4242865,1119.869685,1257.364485,1048.657054,1792.977257,2193.065904,2441.253571,2546.560646,2722.278593,1480.694978,711.7382858,1021.62331,1046.902102
1951,278.8898791,265.9627616,465.6310665,618.7194498,738.5515418,632.3534242,1059.063995,1338.991851,1476.366531,1555.222339,1806.389444,852.9321882,328.4844922,593.3652846,587.0673085
1952,233.3361233,222.0130104,350.0167825,547.5864929,600.8831747,469.2435193,950.7429907,1214.589808,1341.952351,1420.801363,1617.632495,825.6125268,300.1527512,484.5080606,542.7210583
1953,162.8521731,166.4306305,259.9121093,429.4672599,446.2096065,344.8229692,894.5334474,1407.603019,1538.648171,1591.761084,1915.502251,868.6572271,229.5189364,345.8010515,447.1173576
