tree,n_missing_total,n_missing_1980_on,n_outliers_total
MUR01A_raw,388,20,1
MUR03A_raw,383,45,2
MUR04A_raw,370,20,0
MUR05A_raw,424,20,0
MUR06A_raw,345,20,3
MUR07A_raw,426,20,1
MUR08A_raw,373,20,0
MUR09A_raw,355,20,1
MUR10A_raw,338,20,4
MUR11A_raw,350,20,2
MUR12A_raw,388,20,2
MUR13A_raw,358,20,0
MUR14A_raw,411,20,0
MUR15A_raw,416,20,0
MUR16A_raw,368,20,1
MUR17A_raw,335,20,3
MUR19A_raw,409,20,1
MUR20A_raw,358,20,0
MUR21A_raw,337,20,0
MUR22A_raw,343,20,2
MUR24A_raw,348,20,1
MUR24B_raw,308,20,1
MUR25A_raw,420,20,1
MUR26A_raw,405,20,0
MUR27A_raw,368,20,0
MUR28A_raw,372,20,2
MUR31A_raw,403,20,0
MUR32A_raw,371,45,2
MUR34A_raw,407,20,0
MUR35A_raw,398,20,1
MUR36A_raw,394,20,1
MUR37A_raw,338,20,5
MUR38A_raw,382,20,1
MUR40A_raw,365,20,4
MUR41A_raw,327,20,2
MUR42A_raw,367,22,1
MUR43A_raw,363,20,3
MUR43B_raw,367,20,1
MUR44A_raw,283,20,5
MUR45A_raw,393,45,2
NUR46A_raw,328,20,2
MUR47A_raw,185,20,4
MUR47B_raw,238,20,2
MUR48A_raw,398,45,1
MUR48B_raw,378,20,2
MUR49A_raw,364,20,1
MUR50A_raw,338,20,3
MUR52A_raw,421,20,0
MUR52B_raw,422,20,1
MUR53A_raw,403,20,1
MUR53B_raw,428,24,0
MUR54A_raw,394,20,1
MUR54B_raw,408,20,1
MUR55A_raw,408,20,1
MUR71A_raw,350,45,1
MUR72A_raw,372,45,3
MUR73A_raw,318,45,2
MUR73B_raw,309,45,1
MUR75A_raw,367,45,2
MUR76A_raw,346,45,2
MUR77A_raw,347,45,2
MUR79A_raw,389,45,2
MUR79B_raw,404,45,0
MUR79C_raw,352,45,4
MUR82A_raw,342,45,2
MUR82B_raw,318,45,4
MUR83A_raw,365,45,2
MUR84A_raw,392,45,0
