"","id1","year","DD5"
"1","longmire",1901,1565
"3","longmire",1902,1453
"5","longmire",1903,1444
"7","longmire",1904,1657
"9","longmire",1905,1539
"11","longmire",1906,1699
"13","longmire",1907,1621
"15","longmire",1908,1538
"17","longmire",1909,1434
"19","longmire",1910,1579
"21","longmire",1911,1378
"23","longmire",1912,1421
"25","longmire",1913,1466
"27","longmire",1914,1684
"29","longmire",1915,1692
"31","longmire",1916,1390
"33","longmire",1917,1570
"35","longmire",1918,1663
"37","longmire",1919,1471
"39","longmire",1920,1417
"41","longmire",1921,1405
"43","longmire",1922,1590
"45","longmire",1923,1607
"47","longmire",1924,1565
"49","longmire",1925,1650
"51","longmire",1926,1725
"53","longmire",1927,1472
"55","longmire",1928,1615
"57","longmire",1929,1530
"59","longmire",1930,1540
"61","longmire",1931,1591
"63","longmire",1932,1504
"65","longmire",1933,1415
"67","longmire",1934,1846
"69","longmire",1935,1491
"71","longmire",1936,1683
"73","longmire",1937,1617
"75","longmire",1938,1663
"77","longmire",1939,1665
"79","longmire",1940,1821
"81","longmire",1941,1663
"83","longmire",1942,1626
"85","longmire",1943,1542
"87","longmire",1944,1613
"89","longmire",1945,1523
"91","longmire",1946,1486
"93","longmire",1947,1609
"95","longmire",1948,1372
"97","longmire",1949,1541
"99","longmire",1950,1473
"101","longmire",1951,1577
"103","longmire",1952,1670
"105","longmire",1953,1492
"107","longmire",1954,1309
"109","longmire",1955,1227
"111","longmire",1956,1516
"113","longmire",1957,1548
"115","longmire",1958,1936
"117","longmire",1959,1443
"119","longmire",1960,1531
"121","longmire",1961,1665
"123","longmire",1962,1463
"125","longmire",1963,1558
"127","longmire",1964,1310
"129","longmire",1965,1570
"131","longmire",1966,1515
"133","longmire",1967,1762
"135","longmire",1968,1496
"137","longmire",1969,1583
"139","longmire",1970,1501
"141","longmire",1971,1407
"143","longmire",1972,1458
"145","longmire",1973,1467
"147","longmire",1974,1554
"149","longmire",1975,1369
"151","longmire",1976,1402
"153","longmire",1977,1486
"155","longmire",1978,1494
"157","longmire",1979,1627
"159","longmire",1980,1419
"161","longmire",1981,1518
"163","longmire",1982,1382
"165","longmire",1983,1392
"167","longmire",1984,1293
"169","longmire",1985,1422
"171","longmire",1986,1582
"173","longmire",1987,1768
"175","longmire",1988,1547
"177","longmire",1989,1486
"179","longmire",1990,1619
"181","longmire",1991,1532
"183","longmire",1992,1783
"185","longmire",1993,1462
"187","longmire",1994,1636
"189","longmire",1995,1565
"191","longmire",1996,1455
"193","longmire",1997,1550
"195","longmire",1998,1684
"197","longmire",1999,1422
"199","longmire",2000,1435
"201","longmire",2001,1507
"203","longmire",2002,1556
"205","longmire",2003,1758
"207","longmire",2004,1764
"209","longmire",2005,1641
"211","longmire",2006,1708
"213","longmire",2007,1569
"215","longmire",2008,1540
"217","longmire",2009,1689
"219","longmire",2010,1486
"221","longmire",2011,1401
"223","longmire",2012,1615
"225","longmire",2013,1718
"227","longmire",2014,1864
"229","longmire",2015,2039
"231","longmire",2016,1770
"233","longmire",2017,1798
"235","longmire",2018,1814
"237","longmire",2019,1657
"239","longmire",2020,1752
"241","longmire",2021,1803
"243","longmire",2022,1894
"245","longmire",2023,1854
"247","longmire",2024,1743
