,station,year,month,TMAX,TMIN,PPT
13,paradise,1901,1,-0.7,-6.5,715
14,paradise,1901,2,-0.1,-6.3,664
15,paradise,1901,3,2.9,-4.8,246
16,paradise,1901,4,5.7,-3.8,285
17,paradise,1901,5,11.1,0.9,184
18,paradise,1901,6,10.5,1.3,140
19,paradise,1901,7,17.2,4.7,18
20,paradise,1901,8,21.1,6.9,26
21,paradise,1901,9,12.1,3.5,150
22,paradise,1901,10,12.1,2.7,161
23,paradise,1901,11,5.5,-1.2,573
24,paradise,1901,12,1.3,-4.4,388
37,paradise,1902,1,-0.7,-7,326
38,paradise,1902,2,2.1,-3.8,858
39,paradise,1902,3,1.6,-5.6,496
40,paradise,1902,4,5.6,-3.3,355
41,paradise,1902,5,9.5,0.7,189
42,paradise,1902,6,14,1.7,52
43,paradise,1902,7,16.7,3.6,78
44,paradise,1902,8,19,5.3,19
45,paradise,1902,9,14.6,3,94
46,paradise,1902,10,10.5,0.7,141
47,paradise,1902,11,1.6,-3.7,601
48,paradise,1902,12,-1.1,-6.7,724
61,paradise,1903,1,0.5,-4.8,545
62,paradise,1903,2,-1.2,-10.2,157
63,paradise,1903,3,2,-7.3,283
64,paradise,1903,4,4.3,-4.5,254
65,paradise,1903,5,10.1,-1,112
66,paradise,1903,6,15.5,4.2,147
67,paradise,1903,7,15.9,4.7,33
68,paradise,1903,8,16.6,6.3,47
69,paradise,1903,9,12.7,4.1,230
70,paradise,1903,10,9.6,1.1,166
71,paradise,1903,11,3.1,-3.2,846
72,paradise,1903,12,0.4,-5.8,239
85,paradise,1904,1,1,-4.8,392
86,paradise,1904,2,-1,-6.7,788
87,paradise,1904,3,0.3,-6.5,571
88,paradise,1904,4,8.3,-2.5,194
89,paradise,1904,5,10.9,-0.9,77
90,paradise,1904,6,14.2,1.6,96
91,paradise,1904,7,18.5,5.9,47
92,paradise,1904,8,19.7,5.9,28
93,paradise,1904,9,16.7,4.5,26
94,paradise,1904,10,10.2,0.9,160
95,paradise,1904,11,6,-0.7,442
96,paradise,1904,12,1,-4.6,391
109,paradise,1905,1,-0.3,-5.9,363
110,paradise,1905,2,1.6,-6.9,129
111,paradise,1905,3,5.3,-2.5,278
112,paradise,1905,4,8.4,-2.9,103
113,paradise,1905,5,9.4,-1,210
114,paradise,1905,6,13.5,2.8,190
115,paradise,1905,7,20.1,5.8,17
116,paradise,1905,8,17.6,6.1,34
117,paradise,1905,9,14.3,5.7,225
118,paradise,1905,10,6,-2.2,320
119,paradise,1905,11,4.7,-4.9,281
120,paradise,1905,12,-0.3,-6.9,347
133,paradise,1906,1,0.5,-5.5,458
134,paradise,1906,2,2.3,-4.2,393
135,paradise,1906,3,3.9,-6.6,170
136,paradise,1906,4,9.9,-2.1,75
137,paradise,1906,5,10.1,-0.1,202
138,paradise,1906,6,11.9,1.8,151
139,paradise,1906,7,22.7,7.6,10
140,paradise,1906,8,19.1,5.7,13
141,paradise,1906,9,14.8,5,178
142,paradise,1906,10,9.7,1.3,263
143,paradise,1906,11,2.1,-3.5,891
144,paradise,1906,12,0.9,-4.3,513
157,paradise,1907,1,-4,-12.6,571
158,paradise,1907,2,2.2,-4.2,419
159,paradise,1907,3,2.1,-6.1,294
160,paradise,1907,4,6.8,-3.9,243
161,paradise,1907,5,13,0,109
162,paradise,1907,6,13.3,2.4,111
163,paradise,1907,7,19.4,5.4,52
164,paradise,1907,8,15.3,5.3,82
165,paradise,1907,9,14.5,4.8,202
166,paradise,1907,10,11.6,2.4,75
167,paradise,1907,11,5,-2.7,448
168,paradise,1907,12,1.1,-4.8,570
181,paradise,1908,1,0.4,-6.6,280
182,paradise,1908,2,0.8,-6.6,331
183,paradise,1908,3,2.8,-5.4,438
184,paradise,1908,4,7.8,-3.5,200
185,paradise,1908,5,7.6,-1.6,228
186,paradise,1908,6,13.3,1.7,55
187,paradise,1908,7,21.2,6.4,56
188,paradise,1908,8,18.5,5.5,73
189,paradise,1908,9,16.2,3.2,20
190,paradise,1908,10,8.6,-0.1,315
191,paradise,1908,11,5.7,-2.8,193
192,paradise,1908,12,-0.9,-7.1,443
205,paradise,1909,1,-3.9,-10.5,648
206,paradise,1909,2,-0.3,-5.2,490
207,paradise,1909,3,3.5,-5.5,182
208,paradise,1909,4,5.1,-4.1,116
209,paradise,1909,5,9,-1.5,97
210,paradise,1909,6,15.5,2.1,33
211,paradise,1909,7,16.6,4.3,57
212,paradise,1909,8,17.8,4.3,19
213,paradise,1909,9,15.8,4.8,130
214,paradise,1909,10,9.4,0.4,188
215,paradise,1909,11,2.1,-3.3,817
216,paradise,1909,12,-2.5,-10.4,241
229,paradise,1910,1,-1.6,-8.5,456
230,paradise,1910,2,-2.3,-8.7,537
231,paradise,1910,3,6.9,-3.4,248
232,paradise,1910,4,8.7,-2.4,187
233,paradise,1910,5,13.1,0.2,151
234,paradise,1910,6,14,2,85
235,paradise,1910,7,19.6,4.7,6
236,paradise,1910,8,16.3,4.8,16
237,paradise,1910,9,13.7,4,72
238,paradise,1910,10,8.7,1.5,339
239,paradise,1910,11,2.7,-3.4,613
240,paradise,1910,12,1.4,-4.5,380
253,paradise,1911,1,-1.4,-7,518
254,paradise,1911,2,-1.2,-8.4,172
255,paradise,1911,3,6.1,-5.3,137
256,paradise,1911,4,6.8,-5.5,98
257,paradise,1911,5,8.3,-1.4,263
258,paradise,1911,6,12.5,2,29
259,paradise,1911,7,20,5.7,19
260,paradise,1911,8,17,5.2,10
261,paradise,1911,9,10.9,4,348
262,paradise,1911,10,10,-1.3,47
263,paradise,1911,11,2.6,-5,480
264,paradise,1911,12,0.8,-6,289
277,paradise,1912,1,0.2,-6.5,520
278,paradise,1912,2,2,-4.8,348
279,paradise,1912,3,3.7,-7.1,132
280,paradise,1912,4,5.2,-3.8,153
281,paradise,1912,5,11.2,-0.3,88
282,paradise,1912,6,15.3,3.2,112
283,paradise,1912,7,17.1,5.3,37
284,paradise,1912,8,15.5,6,168
285,paradise,1912,9,14,3.5,70
286,paradise,1912,10,6.6,-2,207
287,paradise,1912,11,3.9,-2.5,433
288,paradise,1912,12,0.3,-5.8,476
301,paradise,1913,1,-3.3,-9.4,595
302,paradise,1913,2,-0.5,-9.3,136
303,paradise,1913,3,0.8,-7.2,193
304,paradise,1913,4,6.5,-3.4,118
305,paradise,1913,5,10,-0.5,109
306,paradise,1913,6,13.4,3.1,151
307,paradise,1913,7,17.9,5.2,36
308,paradise,1913,8,18.6,6.4,32
309,paradise,1913,9,14.6,4.1,150
310,paradise,1913,10,6.9,-0.6,259
311,paradise,1913,11,3.3,-3.2,339
312,paradise,1913,12,0.3,-6.5,83
325,paradise,1914,1,1,-4.5,912
326,paradise,1914,2,0.8,-5.5,255
327,paradise,1914,3,5.9,-3.5,151
328,paradise,1914,4,7.8,-2.5,244
329,paradise,1914,5,13.7,0.3,71
330,paradise,1914,6,13.1,2.3,119
331,paradise,1914,7,20.3,5.6,19
332,paradise,1914,8,19.3,5.4,0
333,paradise,1914,9,12.5,4.1,223
334,paradise,1914,10,10.1,1.7,307
335,paradise,1914,11,4,-2.2,416
336,paradise,1914,12,-1.8,-10.5,63
349,paradise,1915,1,-0.9,-8.5,273
350,paradise,1915,2,2.1,-5.1,156
351,paradise,1915,3,7.2,-3.5,127
352,paradise,1915,4,10.4,-1.8,174
353,paradise,1915,5,9.3,0.1,237
354,paradise,1915,6,14,2.4,37
355,paradise,1915,7,17.3,6.2,95
356,paradise,1915,8,21.1,7.8,3
357,paradise,1915,9,13.8,4.3,73
358,paradise,1915,10,9.6,1.7,308
359,paradise,1915,11,1,-4.6,714
360,paradise,1915,12,0.1,-6.4,625
373,paradise,1916,1,-6.1,-13.8,307
374,paradise,1916,2,0.6,-6.6,475
375,paradise,1916,3,2.5,-4.4,684
376,paradise,1916,4,7.1,-3.3,171
377,paradise,1916,5,7.7,-2.4,144
378,paradise,1916,6,13.5,1.4,123
379,paradise,1916,7,15.4,4.7,153
380,paradise,1916,8,18.6,6.3,21
381,paradise,1916,9,15.2,4.2,62
382,paradise,1916,10,10.6,-2.4,90
383,paradise,1916,11,1.7,-5.7,361
384,paradise,1916,12,-1.9,-7.4,340
397,paradise,1917,1,-1,-7.6,259
398,paradise,1917,2,-0.7,-6.7,203
399,paradise,1917,3,-0.8,-8.1,412
400,paradise,1917,4,2.8,-4.4,361
401,paradise,1917,5,7.5,-0.8,76
402,paradise,1917,6,12.6,0.7,151
403,paradise,1917,7,20,5.1,12
404,paradise,1917,8,20.8,5.8,5
405,paradise,1917,9,14.8,5.3,108
406,paradise,1917,10,11.7,0.5,37
407,paradise,1917,11,7.1,-0.9,226
408,paradise,1917,12,3.6,-1.4,1171
421,paradise,1918,1,2.1,-3.6,453
422,paradise,1918,2,-0.3,-7.6,498
423,paradise,1918,3,3.3,-5.5,249
424,paradise,1918,4,9,-4.3,81
425,paradise,1918,5,8.7,-1.5,147
426,paradise,1918,6,17.6,2.8,14
427,paradise,1918,7,18.4,6,67
428,paradise,1918,8,16.4,6,85
429,paradise,1918,9,18.7,6.1,63
430,paradise,1918,10,9.4,1.7,393
431,paradise,1918,11,3.4,-3.7,290
432,paradise,1918,12,0.4,-6.3,419
445,paradise,1919,1,1,-6.9,696
446,paradise,1919,2,-0.1,-7.3,412
447,paradise,1919,3,3,-5.6,286
448,paradise,1919,4,7.4,-2.7,219
449,paradise,1919,5,10.8,-1.1,139
450,paradise,1919,6,13.3,0.9,48
451,paradise,1919,7,20,4.8,17
452,paradise,1919,8,19.2,5.8,10
453,paradise,1919,9,14.6,4,135
454,paradise,1919,10,7.1,-1.9,183
455,paradise,1919,11,2.6,-3.5,370
456,paradise,1919,12,-1.3,-10,334
469,paradise,1920,1,1,-5.9,371
470,paradise,1920,2,2.7,-7.3,50
471,paradise,1920,3,2.6,-5.6,350
472,paradise,1920,4,3.5,-5.2,339
473,paradise,1920,5,9.2,-2.6,107
474,paradise,1920,6,12.7,1.5,103
475,paradise,1920,7,19.5,6.2,46
476,paradise,1920,8,19.6,6.2,82
477,paradise,1920,9,12.8,4.4,346
478,paradise,1920,10,6.3,0.4,313
479,paradise,1920,11,3.6,-4.2,396
480,paradise,1920,12,0.2,-5,641
493,paradise,1921,1,0,-7,590
494,paradise,1921,2,1.3,-5.5,515
495,paradise,1921,3,3,-4.8,444
496,paradise,1921,4,4.9,-4.5,255
497,paradise,1921,5,10.7,-1.2,96
498,paradise,1921,6,13.4,3,91
499,paradise,1921,7,17.1,4.3,23
500,paradise,1921,8,17.6,6,50
501,paradise,1921,9,11.4,2.6,183
502,paradise,1921,10,10.9,0.5,263
503,paradise,1921,11,4,-2.8,696
504,paradise,1921,12,0.2,-7.1,402
517,paradise,1922,1,-3.1,-11.7,187
518,paradise,1922,2,-1.5,-9.3,253
519,paradise,1922,3,0.9,-7.7,311
520,paradise,1922,4,4.6,-5.2,177
521,paradise,1922,5,10.1,-1.5,109
522,paradise,1922,6,17.1,3.4,0
523,paradise,1922,7,19.5,5.7,1
524,paradise,1922,8,18,6.7,104
525,paradise,1922,9,16.1,5.4,109
526,paradise,1922,10,9.7,1.1,246
527,paradise,1922,11,2.1,-5.4,123
528,paradise,1922,12,-2.2,-9.4,646
541,paradise,1923,1,0.1,-6.3,822
542,paradise,1923,2,-0.6,-9.7,182
543,paradise,1923,3,2.7,-7.2,246
544,paradise,1923,4,7,-3,166
545,paradise,1923,5,9.5,-0.3,187
546,paradise,1923,6,13.3,2.5,68
547,paradise,1923,7,18.6,6.8,110
548,paradise,1923,8,19,7,80
549,paradise,1923,9,16.1,4.6,67
550,paradise,1923,10,9.5,-0.1,212
551,paradise,1923,11,5.5,-2.6,256
552,paradise,1923,12,0.6,-6.5,535
565,paradise,1924,1,-0.3,-7.5,372
566,paradise,1924,2,3.6,-3.3,447
567,paradise,1924,3,1.8,-6.3,163
568,paradise,1924,4,6.8,-3.7,100
569,paradise,1924,5,14.6,0.2,25
570,paradise,1924,6,14.8,2.2,64
571,paradise,1924,7,17.7,5.6,30
572,paradise,1924,8,16.6,6.1,47
573,paradise,1924,9,16,3.9,192
574,paradise,1924,10,7.7,0.7,329
575,paradise,1924,11,1.4,-4.6,585
576,paradise,1924,12,-1.6,-10.4,277
589,paradise,1925,1,1,-4.8,701
590,paradise,1925,2,2,-3.8,509
591,paradise,1925,3,3.1,-4.9,183
592,paradise,1925,4,7.5,-2.5,222
593,paradise,1925,5,12.7,0.9,121
594,paradise,1925,6,14.4,2.6,54
595,paradise,1925,7,19.9,6.6,7
596,paradise,1925,8,17.1,5.6,38
597,paradise,1925,9,14,4.8,130
598,paradise,1925,10,10.5,-1.2,164
599,paradise,1925,11,2.8,-4.4,326
600,paradise,1925,12,3.1,-3.1,426
613,paradise,1926,1,0.3,-5.5,298
614,paradise,1926,2,3.1,-4.1,522
615,paradise,1926,3,8,-3.8,84
616,paradise,1926,4,11.7,-1.4,165
617,paradise,1926,5,10.2,0.1,180
618,paradise,1926,6,16.5,3.6,62
619,paradise,1926,7,20.1,5.9,5
620,paradise,1926,8,17.6,6.3,90
621,paradise,1926,9,12.2,2.7,220
622,paradise,1926,10,9.3,1.2,329
623,paradise,1926,11,4.4,-2.3,612
624,paradise,1926,12,0.3,-7.1,347
637,paradise,1927,1,-1.3,-7.7,494
638,paradise,1927,2,1.2,-6.6,602
639,paradise,1927,3,2.9,-6.2,220
640,paradise,1927,4,6,-4.6,197
641,paradise,1927,5,7.1,-1.3,241
642,paradise,1927,6,14.2,3.6,43
643,paradise,1927,7,18.4,6.2,14
644,paradise,1927,8,17.9,6.5,70
645,paradise,1927,9,12.2,5.1,276
646,paradise,1927,10,8.5,1,342
647,paradise,1927,11,3.1,-2,677
648,paradise,1927,12,-1.7,-8.4,255
661,paradise,1928,1,0,-6.3,463
662,paradise,1928,2,2.1,-7,151
663,paradise,1928,3,4.1,-3.8,666
664,paradise,1928,4,5,-3.8,435
665,paradise,1928,5,14.4,0.6,99
666,paradise,1928,6,12.2,3.2,116
667,paradise,1928,7,19.1,6.5,55
668,paradise,1928,8,17.7,5.5,15
669,paradise,1928,9,15.9,4.7,84
670,paradise,1928,10,8.3,0.8,385
671,paradise,1928,11,3.4,-3.3,352
672,paradise,1928,12,0,-7.3,383
685,paradise,1929,1,-2.9,-11.2,316
686,paradise,1929,2,-1.5,-11.3,180
687,paradise,1929,3,3.1,-5.4,357
688,paradise,1929,4,3.9,-5.1,300
689,paradise,1929,5,10.4,-1.2,188
690,paradise,1929,6,12.4,2.7,146
691,paradise,1929,7,18.5,4.7,11
692,paradise,1929,8,19.5,6.1,63
693,paradise,1929,9,15.6,3.6,103
694,paradise,1929,10,11.6,0.4,142
695,paradise,1929,11,5,-4.9,132
696,paradise,1929,12,2.4,-4,547
709,paradise,1930,1,-5.9,-14.6,234
710,paradise,1930,2,2.2,-4.8,546
711,paradise,1930,3,5,-5.2,293
712,paradise,1930,4,9.4,-1.9,221
713,paradise,1930,5,8.8,-1.1,210
714,paradise,1930,6,13,1.8,79
715,paradise,1930,7,18.2,5.1,4
716,paradise,1930,8,19.4,6.4,32
717,paradise,1930,9,14.1,5.1,103
718,paradise,1930,10,8,-0.9,300
719,paradise,1930,11,2.9,-4.3,337
720,paradise,1930,12,0.3,-6.2,171
733,paradise,1931,1,1.8,-5.2,484
734,paradise,1931,2,1.8,-6.2,226
735,paradise,1931,3,3.6,-5,496
736,paradise,1931,4,8.2,-3,175
737,paradise,1931,5,13.7,0.4,136
738,paradise,1931,6,13.4,3.1,268
739,paradise,1931,7,19.7,5.6,12
740,paradise,1931,8,18.8,5.4,13
741,paradise,1931,9,12.5,5,176
742,paradise,1931,10,9,-0.6,277
743,paradise,1931,11,0.5,-6.2,326
744,paradise,1931,12,-1.3,-7.9,412
757,paradise,1932,1,-1.3,-8.1,464
