,year,GDD_yearly_st,GDD_yearly_climateNA
1,1909,1591.029499,1314.3
2,1910,1291.711402,1461.7
3,1912,1201.180867,1273.5
4,1913,1345.750046,1346.15
5,1914,1491.403761,1529.5
6,1915,1456.9,1585.5
7,1916,1154.35491,1256.35
8,1917,1282.167551,1443.8
9,1918,1461.55,1535.8
10,1919,1283.428704,1342
11,1920,1241.3,1282
12,1921,1258.4,1282.45
13,1922,1488.7,1509.3
14,1923,1484.85,1475.25
15,1924,1449.79827,1452.25
16,1925,1470.4,1512.25
17,1926,1470.8,1592.15
18,1927,1248.35,1337.4
19,1928,1499.45,1476.6
20,1929,1352.55,1407.6
21,1930,1335.4,1391.05
22,1931,1438.75,1485.15
23,1932,1358.25,1381.35
24,1933,1236,1239.5
25,1934,1729.15,1693.75
26,1935,1515.9,1377.2
27,1936,1692.65,1568.95
28,1937,1512.2,1463
29,1938,1667.1,1567.7
30,1939,1638.05,1527.55
31,1940,1726.05,1703.8
32,1941,1561.501376,1504.3
33,1942,1486.108001,1526.3
34,1943,1330.499537,1427
35,1944,1648.616446,1521.45
36,1945,1624.776882,1423.2
37,1946,1399.373049,1356.3
38,1947,1569.95,1470.45
39,1948,1293.45,1289.55
40,1949,1584.9,1414.05
41,1950,1412.002727,1315.35
42,1951,1636.630093,1489.6
43,1952,1803.1,1589.55
44,1953,1449.15,1320.4
45,1954,1262.8,1188.65
46,1955,1155.7,1161.9
47,1956,1480.2,1393.3
48,1957,1526.762264,1423.3
49,1958,1909.05,1761.2
50,1959,1393.95,1309.95
51,1960,1501.3,1408.95
52,1961,1637.455,1494.35
53,1962,1494.295413,1336.45
54,1963,1540.75,1397.85
55,1964,1240.903241,1214.5
56,1965,1647.365,1427.6
57,1966,1488.462264,1385.75
58,1967,1732.363063,1636.4
59,1968,1466.05,1319
60,1969,1515.6,1431.75
61,1970,1382.498029,1360.65
62,1971,1295.818765,1278.4
63,1972,1341.938983,1327.7
64,1973,1371.807127,1348.05
65,1974,1449.653992,1410.25
66,1975,1271.757273,1271
67,1976,1262.771287,1277.8
68,1977,1361.819991,1360.55
69,1978,1346.654128,1342
70,1979,1521.75,1484.4
71,1980,1321.85,1285.25
72,1981,1371.536058,1311.75
73,1982,1331.893674,1292.95
74,1983,1238.95,1208.8
75,1984,1182.784638,1109.65
76,1985,1346.439602,1305.25
77,1986,1405.196364,1417.05
78,1987,1780.426768,1658.3
79,1988,1547.85,1433.6
80,1989,1458.324775,1354.15
81,1990,1506.003541,1467.8
82,1991,1484.6,1362.6
83,1992,1774.85,1631.95
84,1993,1417.3,1349.6
85,1994,1519.275909,1501.9
86,1995,1470.2,1383.5
87,1996,1402.3,1309.3
88,1997,1405.893743,1393.45
89,1998,1531.591204,1547.9
90,1999,1267.713573,1251.95
91,2000,1228.06071,1340.25
92,2001,1475.5,1349
93,2002,1432.987145,1412.85
94,2003,1620.615167,1608.35
95,2004,1664.02638,1606.9
96,2005,1508.622534,1476.15
97,2006,1595.03634,1580.2
98,2007,1401.039508,1395.15
99,2008,1233.544484,1417.2
100,2009,1369.730977,1537.75
101,2010,1240.767311,1300.4
102,2011,1195.781035,1276.1
103,2012,1490.672009,1484.95
104,2013,1463.46757,1564.7
105,2014,1599.626591,1699.05
106,2015,1800.708915,1864.75
107,2016,1536.146902,1610.7
108,2017,1522.155323,1646.25
109,2018,1625.607621,1659.05
110,2019,1315.488005,1464.6
111,2020,1440.698839,1622.65
112,2021,1561.35802,1655.1
113,2022,1664.336625,1736
114,2023,1633.333189,1694
115,2024,1581.59195,1577.55
