"","year","PRCP_yearly_station","PPT"
"1",1917,2881.95363828681,3021
"2",1918,2766.2696292598,2759
"3",1919,2840.33204077129,2849
"4",1920,3051.72962916547,3144
"5",1921,3647.99178658273,3608
"6",1922,2491.99779781539,2266
"7",1923,2307.17295477692,2931
"8",1924,2983.10097951405,2631
"9",1925,3008.59243955472,2881
"10",1926,3556.53084517934,2914
"11",1927,3557.35972043575,3431
"12",1928,3476.80533725212,3204
"13",1929,2324.43515643795,2485
"14",1930,3217.1002992111,2530
"15",1931,3008.36370276792,3001
"16",1932,3949.38440079248,3510
"17",1933,2734.62148010872,3894
"18",1934,2369.73764705882,3261
"19",1935,2028.41943328883,2269
"20",1936,2556.1571123762,2984
"21",1937,2901.38442954142,3630
"22",1938,2987.15290126863,3041
"23",1939,2708.21087203777,2893
"24",1940,2658.63308889665,3003
"25",1941,2388.78110854233,2542
"26",1942,2774.86416435474,2759
"27",1943,2572.34997391126,2344
"28",1944,3018.30241655389,1876
"29",1945,3072.39495713422,3386
"30",1946,2840.92643445793,3390
"31",1947,2883.69141802667,2887
"32",1948,3502.63957003298,3697
"33",1949,2733.81325917823,2598
"34",1950,3041.08599797735,3770
"35",1951,3255.6466041201,3196
"36",1952,2035.24408307286,1630
"37",1953,2763.7078858294,3474
"38",1954,2779.71152981191,3098
"39",1955,2817.51006964416,3523
"40",1956,2969.38941176712,2776
"41",1957,2785.2790801383,2638
"42",1958,3256.43388074022,2997
"43",1959,3717.4,3007
"44",1960,3143.2,2772
"45",1961,3518.96880378657,3208
"46",1962,2760,2639
"47",1963,2452.1,2604
"48",1964,3285.88372093023,3320
"49",1965,2401.9,2407
"50",1966,2478.76864301629,2656
"51",1967,2982.2,2854
"52",1968,3066.39733146067,3297
"53",1969,1782.303625171,2562
"54",1970,2162.8,2943
"55",1971,3254.7,3415
"56",1972,3834.3,3451
"57",1973,2598.3,2588
"58",1974,3818.4,3403
"59",1975,3859.1,3493
"60",1976,2600.21341463415,2269
"61",1977,3443.36136363636,2869
"62",1978,2470.1,2194
"63",1979,2810.9,2535
"64",1980,3168.6,2956
"65",1981,3127.9,2902
"66",1982,2973.9583819821,3399
"67",1983,3293.8,3217
"68",1984,3129.70913412564,3125
"69",1985,2114.1,2186
"70",1986,2883.2,2970
"71",1987,2172.94725508192,2395
"72",1988,3056.31855742297,3055
"73",1989,2559.63337342956,2547
"74",1990,3781.38637171094,3849
"75",1991,3227.66404494382,2959
"76",1992,2535.00574712644,2453
"77",1993,2029.1,2119
"78",1994,3298.23410329541,3125
"79",1995,3539.8217583885,3409
"80",1996,3567.30222659501,4163
"81",1997,3341.85060867851,3750
"82",1998,3055.57424489175,3124
"83",1999,3142.49221069718,3463
"84",2000,2447.50612040406,2321
"85",2001,3068.79581934243,2709
"86",2002,2692.70881284003,2543
"87",2003,3218.01399928694,3007
"88",2004,2761.3605576245,2517
"89",2005,2718.66646356963,2513
"90",2006,3488.19295926463,3505
"91",2007,2740.69057866283,2847
"92",2008,2836.26724684714,2989
"93",2009,2347.68146075027,2840
"94",2010,2669.8648037252,3161
"95",2011,3340.62713775691,3274
"96",2012,3310.26377879404,3632
"97",2013,2875.12060464045,2667
"98",2014,3272.1996188607,3519
"99",2015,3108.79089611925,3128
"100",2016,3625.3962526178,3162
"101",2017,2974.22218684296,3491
"102",2018,3349.83133557899,2749
"103",2019,2693.15962435603,2266
"104",2020,3589.37521283391,3246
"105",2021,3170.58557247994,3044
"106",2022,2358.99208328584,3144
"107",2023,2740.39036735485,2567
"108",2024,3579.93697043087,2845
"109",2025,2813.31582467728,NA
