"","year","PRCP_yearly_station","PPT"
"1",1909,1799.66267783003,1927
"2",1910,1977.63598557986,1987
"3",1912,1826.16204416363,1799
"4",1913,1981.00471453431,1468
"5",1914,1861.02395931914,1813
"6",1915,1976,1843
"7",1916,2065.38349514563,1890
"8",1917,2499.58181818182,1874
"9",1918,2072.7,1779
"10",1919,1994.4,1809
"11",1920,2484.5,2061
"12",1921,2757.27821436321,2308
"13",1922,1678.73962264151,1438
"14",1923,2046.72909090909,1864
"15",1924,2003.19597922493,1720
"16",1925,1860.19761137011,1810
"17",1926,2219.34830102223,1926
"18",1927,2429.63510703364,2244
"19",1928,1828.82767280075,2020
"20",1929,1419.07729064723,1587
"21",1930,1220.22666958358,1638
"22",1931,1908.89023516182,1974
"23",1932,2669.1,2220
"24",1933,2885.4,2483
"25",1934,2399,2082
"26",1935,1453.3,1443
"27",1936,1928.6,1923
"28",1937,2389.4,2368
"29",1938,1619.7,1957
"30",1939,1675.7,1879
"31",1940,1634.7,1968
"32",1941,1796.53287518695,1694
"33",1942,1986.86360535074,1813
"34",1943,1734.75968888836,1514
"35",1944,1617.90318833909,1224
"36",1945,2460.98715235409,2156
"37",1946,2355.19979969579,2199
"38",1947,2210.5,1904
"39",1948,2480.7,2410
"40",1949,1988.16170733841,1679
"41",1950,2546.41813084112,2408
"42",1951,2106.27248603232,2049
"43",1952,1098.4,1041
"44",1953,2486.69523669882,2220
"45",1954,2087.7,2027
"46",1955,2640,2260
"47",1956,2150.5,1777
"48",1957,1952.7,1683
"49",1958,2204.4,1927
"50",1959,2618.16987983979,1956
"51",1960,2210.2,1820
"52",1961,2389.51363636364,2025
"53",1962,1976.8,1721
"54",1963,1748.8,1701
"55",1964,2462.98362433862,2119
"56",1965,1733.9,1537
"57",1966,1865.8,1706
"58",1967,2145.6,1813
"59",1968,2424.12722578191,2166
"60",1969,1642.1329812708,1646
"61",1970,2100.73498316498,1854
"62",1971,2445.47796995108,2165
"63",1972,2668.19932078812,2177
"64",1973,1716.76986681465,1693
"65",1974,2353.16384771755,2143
"66",1975,2386.0159010487,2225
"67",1976,1687.73636363636,1475
"68",1977,2231.1,1874
"69",1978,1708.96737491295,1451
"70",1979,1728.24013655116,1635
"71",1980,2042.71836530442,1863
"72",1981,2135,1923
"73",1982,2235.02679812542,2158
"74",1983,2154.49753490099,2100
"75",1984,2251.20377490382,2043
"76",1985,1512.35409980603,1459
"77",1986,2014.59189189189,1925
"78",1987,1543.92528538659,1502
"79",1988,2106.98597605225,1980
"80",1989,1679.34421079958,1613
"81",1990,2914.8,2500
"82",1991,1967.1,1903
"83",1992,1645.6,1592
"84",1993,1391.6,1385
"85",1994,2021.6,2030
"86",1995,2501.4,2224
"87",1996,2761.9,2657
"88",1997,2607.71061291675,2457
"89",1998,1947.53546016238,1990
"90",1999,2180.73230670621,2229
"91",2000,1547.4764425719,1528
"92",2001,1942,1779
"93",2002,1685.4,1595
"94",2003,2033.8155898786,1878
"95",2004,1938.891700232,1669
"96",2005,1741.67806287664,1649
"97",2006,2267.94656066994,2238
"98",2007,2001.94611068386,1807
"99",2008,2001.07115073911,1901
"100",2009,2018.95185808506,1835
"101",2010,1941.34687102141,2117
"102",2011,2118.30057168391,2091
"103",2012,2161.4802864656,2324
"104",2013,1962.7454898929,1773
"105",2014,2029.66871090006,2274
"106",2015,2063.60903347819,2004
"107",2016,2189.52482038533,2075
"108",2017,2273.86396117766,2260
"109",2018,2075.27011589222,1756
"110",2019,1732.28049025522,1490
"111",2020,2411.11748214061,2092
"112",2021,2259.29007183971,1985
"113",2022,2070.85137640829,2022
"114",2023,1778.21615582335,1649
"115",2024,2037.22263220818,1877
"116",2025,1950.75828044454,NA
