"","id1","year","DD5"
"2","paradise",1901,804
"4","paradise",1902,722
"6","paradise",1903,729
"8","paradise",1904,890
"10","paradise",1905,813
"12","paradise",1906,917
"14","paradise",1907,827
"16","paradise",1908,824
"18","paradise",1909,735
"20","paradise",1910,785
"22","paradise",1911,684
"24","paradise",1912,711
"26","paradise",1913,770
"28","paradise",1914,869
"30","paradise",1915,896
"32","paradise",1916,708
"34","paradise",1917,864
"36","paradise",1918,911
"38","paradise",1919,775
"40","paradise",1920,752
"42","paradise",1921,689
"44","paradise",1922,904
"46","paradise",1923,873
"48","paradise",1924,817
"50","paradise",1925,855
"52","paradise",1926,882
"54","paradise",1927,780
"56","paradise",1928,858
"58","paradise",1929,808
"60","paradise",1930,797
"62","paradise",1931,831
"64","paradise",1932,769
"66","paradise",1933,722
"68","paradise",1934,930
"70","paradise",1935,798
"72","paradise",1936,896
"74","paradise",1937,845
"76","paradise",1938,917
"78","paradise",1939,868
"80","paradise",1940,1008
"82","paradise",1941,839
"84","paradise",1942,901
"86","paradise",1943,808
"88","paradise",1944,876
"90","paradise",1945,811
"92","paradise",1946,774
"94","paradise",1947,796
"96","paradise",1948,703
"98","paradise",1949,778
"100","paradise",1950,791
"102","paradise",1951,859
"104","paradise",1952,923
"106","paradise",1953,758
"108","paradise",1954,597
"110","paradise",1955,610
"112","paradise",1956,794
"114","paradise",1957,781
"116","paradise",1958,1101
"118","paradise",1959,718
"120","paradise",1960,816
"122","paradise",1961,925
"124","paradise",1962,734
"126","paradise",1963,795
"128","paradise",1964,634
"130","paradise",1965,819
"132","paradise",1966,765
"134","paradise",1967,1035
"136","paradise",1968,752
"138","paradise",1969,833
"140","paradise",1970,795
"142","paradise",1971,750
"144","paradise",1972,741
"146","paradise",1973,741
"148","paradise",1974,840
"150","paradise",1975,713
"152","paradise",1976,698
"154","paradise",1977,780
"156","paradise",1978,756
"158","paradise",1979,863
"160","paradise",1980,672
"162","paradise",1981,773
"164","paradise",1982,727
"166","paradise",1983,637
"168","paradise",1984,630
"170","paradise",1985,745
"172","paradise",1986,793
"174","paradise",1987,949
"176","paradise",1988,788
"178","paradise",1989,743
"180","paradise",1990,894
"182","paradise",1991,825
"184","paradise",1992,937
"186","paradise",1993,712
"188","paradise",1994,885
"190","paradise",1995,781
"192","paradise",1996,774
"194","paradise",1997,811
"196","paradise",1998,946
"198","paradise",1999,717
"200","paradise",2000,711
"202","paradise",2001,781
"204","paradise",2002,829
"206","paradise",2003,994
"208","paradise",2004,953
"210","paradise",2005,825
"212","paradise",2006,934
"214","paradise",2007,807
"216","paradise",2008,807
"218","paradise",2009,952
"220","paradise",2010,748
"222","paradise",2011,740
"224","paradise",2012,883
"226","paradise",2013,943
"228","paradise",2014,1032
"230","paradise",2015,1138
"232","paradise",2016,899
"234","paradise",2017,1038
"236","paradise",2018,1004
"238","paradise",2019,864
"240","paradise",2020,951
"242","paradise",2021,1031
"244","paradise",2022,1127
"246","paradise",2023,1061
"248","paradise",2024,966
