Year,AM_Spring-6b,AM_Spring-7a,AM_Creek-1b,AM_Creek-8a,AM_Creek-9a,AVG_Spring,AVG_Creek,AVG_ALL
1994,-11.3,-16.2,-17.9,-17.8,-17.7,-13.7,-17.8,-16.2
1995,-11.6,-10.5,-14.8,-15.9,-15.4,-11.1,-15.4,-13.7
1996,-16.4,-16.1,-16.9,-17,-14.5,-16.3,-16.1,-16.2
1997,-13.8,-11.8,-12.6,-15.1,-12.5,-12.8,-13.4,-13.1
1998,-10.9,-14.7,-14.9,-17.3,-12.6,-12.8,-14.9,-14.1
1999,-13.7,-12.5,-11.3,-15.9,-16.1,-13.1,-14.4,-13.9
2000,-14.4,-14.1,-15.4,-17.4,-15.5,-14.3,-16.1,-15.4
2001,-14.5,-13.1,-14.2,-17.3,-14.5,-13.8,-15.3,-14.7
2002,-10.9,-14.4,-13.4,-14.7,-17.7,-12.6,-15.3,-14.2
2003,-12.5,-15.1,-14.3,-16.6,-15.3,-13.8,-15.4,-14.7
2004,-12.1,-10.9,-11.9,-15.2,-14.6,-11.5,-13.9,-12.9
2005,-13.3,-13.4,-15.4,-14.1,-16,-13.4,-15.2,-14.4
2006,-14,-14.1,-15.3,-14.5,-17,-14,-15.6,-15
2007,-12.7,-15.2,-17.6,-17.7,-17.1,-13.9,-17.5,-16.1
2008,-16.6,-18.9,-14,-17,-16.8,-17.7,-16,-16.7
2009,-14,-18,-15.6,-19,-16.6,-16,-17.1,-16.6
2010,-12.9,-17.8,-13.6,-17.8,-16.8,-15.4,-16.1,-15.8
2011,-10.7,-13.2,-15.3,-14.9,-14.2,-11.9,-14.8,-13.7
2012,-12.2,-8.9,-14.9,-14.6,-15.9,-10.5,-15.1,-13.3
2013,-12.8,-13.7,-14.4,-18,-15.3,-13.2,-15.9,-14.8
2014,-17.7,-17.3,-15.1,-14.2,-16.1,-17.5,-15.1,-16.1
2015,-16.9,-17,-17,-18.8,-17.2,-16.9,-17.7,-17.4
2016,-14.7,-16.4,-15.3,-18.9,-16.9,-15.5,-17,-16.4
