Year,Loch_Vale_Precipitation_cm,Loch_Vale_Andrews_Temp,Loch_Vale_Andrews_Relative_Humidity,Loch_Vale_Main_Temp,Loch_Vale_Main_Relative_Humidity,Bear_Lake_SensorUncorrected_Temp,Bear_Lake_SensorCorrected_Temp,Andrews_Creek_discharge_7daymax,Andrews_Creek_Discharge_Annual
1992,93.91,0.73,63.51,1.33,59.9,2.5,2.5,7.42,1.57
1993,121.05,-0.41,70.63,0.35,65.21,1,1,9.72,1.96
1994,117.03,0.97,63.28,1.75,59.53,3,3,8.85,1.74
1995,142.84,0.55,68.32,1.06,69.23,1.94,1.94,13.09,2.29
1996,138.28,0.72,63.83,1.25,63.47,2.17,2.17,11.2,2.25
1997,125.68,0.29,66.3,0.95,64.32,1.89,1.89,10.32,2.26
1998,99.01,0.99,68.5,1.35,65.43,2.39,2.39,10.57,2.07
1999,97.51,1.12,60.78,1.63,59,2.5,2.5,11.14,1.83
2000,97.44,1.37,58.81,1.96,56.36,2.83,2.83,8.73,1.77
2001,86.83,1.48,59.75,1.83,59.1,2.11,2.11,7.22,1.83
2002,70.87,1.69,54.76,1.31,54.6,NA,NA,4.35,1.11
2003,86.72,1.49,61.35,NA,61.36,2.94,2.94,10.29,2.22
2004,99.34,0.5,61.89,0.87,61.73,2.22,2.22,8.66,1.76
2005,99.3,1.22,59.59,1.53,59.06,3.22,3.22,11.54,2.03
2006,85.11,0.93,58.93,1.31,58.35,4,2.71,8.94,1.75
2007,86.71,1.6,57.97,1.88,57.44,4.33,3.07,7.44,1.73
2008,103.49,1.18,58.2,0.5,58.02,3.22,1.88,9.27,1.69
2009,125.03,0.51,58.53,0.8,58.18,3.39,2.06,12.34,1.85
2010,130.82,NA,59.06,1.43,57.81,3.94,2.65,13.44,1.82
2011,133.85,-0.05,61.52,0.52,58.94,3.39,2.06,14.21,2.43
2012,91.44,1.88,54.55,2.52,52.25,5.11,3.9,5.16,1.31
2013,140.79,0.26,61.84,0.92,59.55,3.5,2.18,9.64,1.79
2014,145.26,0.62,62.48,1.6,61.31,3.78,2.47,8.94,2.13
2015,112.09,1.7,61.12,NA,61.78,4.78,3.54,11.04,1.77
2016,117.02,1.44,59.48,1.83,57.74,4.61,3.36,10.62,1.67
2017,121.51,1.66,60.07,2,59.22,4.78,3.54,11.6,2
2018,83.21,1.35,58.33,1.77,57.13,4.56,3.3,6.68,1.44
2019,113.73,2.2,60.8,2.31,60.36,3.78,2.47,11.68,1.87
