"","Tag","Species(neighbor)","ba_sum","Stand","radius","Species","2008","avg_3","avg_5"
"1","D1","Psme",5.25655209789461,"AX15",3.32,"Tshe",0.526,0.7865,1.02
"2","D1","Thpl",0.824526699897909,"AX15",3.32,"Tshe",0.526,0.7865,1.02
"3","D1","Tshe",15.0712723928092,"AX15",3.32,"Tshe",0.526,0.7865,1.02
"4","D10","Abam",0.369836141162224,"AX15",3.87,"Tshe",0.5105,0.8455,0.8445
"5","D10","Psme",11.4406358648167,"AX15",3.87,"Tshe",0.5105,0.8455,0.8445
"6","D10","Thpl",2.54281294779721,"AX15",3.87,"Tshe",0.5105,0.8455,0.8445
"7","D10","Tshe",6.27331285226568,"AX15",3.87,"Tshe",0.5105,0.8455,0.8445
"8","D13","Psme",3.06619442990364,"AX15",3.22,"Tshe",0.9525,1.2985,1.3837
"9","D13","Thpl",1.80758601907759,"AX15",3.22,"Tshe",0.9525,1.2985,1.3837
"10","D13","Tshe",8.4376974029931,"AX15",3.22,"Tshe",0.9525,1.2985,1.3837
"11","D15","Psme",6.02113720996203,"AX15",2.695,"Tshe",0.574,0.525666666666667,0.4886
"12","D15","Thpl",0.551192431072329,"AX15",2.695,"Tshe",0.574,0.525666666666667,0.4886
"13","D15","Tshe",11.6027813156501,"AX15",2.695,"Tshe",0.574,0.525666666666667,0.4886
"14","D17","Psme",7.07435614707801,"AX15",2.905,"Tshe",1.376,1.71516666666667,1.8803
"15","D17","Thpl",0.147411381288067,"AX15",2.905,"Tshe",1.376,1.71516666666667,1.8803
"16","D17","Tshe",8.00424401059568,"AX15",2.905,"Tshe",1.376,1.71516666666667,1.8803
"17","D18","Psme",6.48829203755083,"AX15",2.865,"Tshe",0.661,0.901333333333333,1.043
"18","D18","Thpl",0.817520948280404,"AX15",2.865,"Tshe",0.661,0.901333333333333,1.043
"19","D18","Tshe",7.79081991367406,"AX15",2.865,"Tshe",0.661,0.901333333333333,1.043
"20","D2","Psme",4.02709766689388,"AX15",2.46,"Tshe",1.1035,1.13,1.2521
"21","D2","Thpl",1.13182943929043,"AX15",2.46,"Tshe",1.1035,1.13,1.2521
"22","D2","Tshe",8.31680106370133,"AX15",2.46,"Tshe",1.1035,1.13,1.2521
"23","D20","Psme",4.48467063688923,"AX15",2.825,"Tshe",1.083,1.49433333333333,1.6118
"24","D20","Tshe",7.87407997297582,"AX15",2.825,"Tshe",1.083,1.49433333333333,1.6118
"25","D4","Psme",11.5991292141903,"AX15",3.1,"Tshe",0.833,0.986333333333333,1.0664
"26","D4","Thpl",1.41185530046816,"AX15",3.1,"Tshe",0.833,0.986333333333333,1.0664
"27","D4","Tshe",12.6937936123888,"AX15",3.1,"Tshe",0.833,0.986333333333333,1.0664
"28","D6","Psme",21.8246520184699,"AX15",3.3,"Tshe",0.5265,0.583333333333333,0.5439
"29","D6","Thpl",3.03857983047858,"AX15",3.3,"Tshe",0.5265,0.583333333333333,0.5439
"30","D6","Tshe",9.99130921797286,"AX15",3.3,"Tshe",0.5265,0.583333333333333,0.5439
