"radius","Species","Tag","2008","avg_3","avg_5"
3.58,"Abam","F12",0.3805,0.41,0.4138
3.76,"Abam","F8",0.343,0.359833333333333,0.3769
3.83,"Abam","F4",0.536,0.5385,0.609
4.1,"Abam","F10",0.424,0.576166666666667,0.6136
4.125,"Abam","F1",0.365,0.451666666666667,0.4508
4.325,"Abam","F27",0.1985,0.257333333333333,0.2913
4.38,"Abam","F17",0.362,0.385833333333333,0.363
4.405,"Abam","F5",0.8225,0.811,0.8073
4.45,"Abam","F19",0.737,0.902,0.9536
6.09,"Abam","F15",0.281,0.387833333333333,0.4023
3.03,"Tsme","F29",0.7285,0.687333333333333,0.7487
3.395,"Tsme","F18",0.453,0.6385,0.6673
3.435,"Tsme","F14",0.5645,0.7895,0.864
3.505,"Tsme","F30",0.585,0.619666666666667,0.7808
3.815,"Tsme","F23",0.411,0.4815,0.5039
4.39,"Tsme","F2",0.217,0.282833333333333,0.2843
4.77,"Tsme","F21",0.665,0.867166666666667,1.0546
5.31,"Tsme","F20",0.4855,0.658666666666667,0.7018
5.41,"Tsme","F6",0.4545,0.592,0.6678
5.825,"Tsme","F11",0.127,0.1865,0.2048
2.545,"Xano","F28",0.784,0.836166666666667,0.9141
2.555,"Xano","F22",0.8775,0.989833333333333,1.1252
2.785,"Xano","F9",0.6095,0.729,0.7956
3.01,"Xano","F24",0.371,0.472166666666667,0.5742
3.355,"Xano","F7",0.531,0.524,0.4957
3.845,"Xano","F16",0.1335,0.146833333333333,0.1419
3.975,"Xano","F3",0.157,0.213333333333333,0.2374
4.11,"Xano","F13",0.5305,0.474666666666667,0.5694
NA,"Xano","F25",0.4085,0.421166666666667,0.5026
NA,"Xano","F26",0.6425,0.762166666666667,0.8663
2.365,"Abam","C2",0.4565,1.04433333333333,1.2056
2.405,"Abam","C19",0.743,0.879166666666667,0.9097
2.605,"Abam","C1",1.365,2.73716666666667,2.9198
2.845,"Abam","C8",0.495,0.5945,0.5453
2.85,"Abam","C17",0.19,0.2345,0.3674
2.95,"Abam","C12",0.433,0.671166666666667,0.6978
3.435,"Abam","C5",0.8195,0.669,0.6582
3.475,"Abam","C9",0.769,1.0655,0.9995
3.495,"Abam","C14",0.343,0.477166666666667,0.508
3.56,"Abam","C20",0.6375,1.146,1.1499
3.695,"Psme","C18",0.4485,0.778,0.8394
5.97,"Psme","C15",0.6235,0.81,0.8156
6.155,"Psme","C13",0.6275,1.102,1.2174
6.275,"Psme","C33",0.5515,1.00616666666667,1.0077
6.62,"Psme","C32",0.655,0.8315,0.8424
6.9,"Psme","C27",0.425,0.642833333333333,0.6056
7.025,"Psme","C25",0.443,0.521166666666667,0.5496
7.145,"Psme","C40",0.375,0.543833333333333,0.5989
7.425,"Psme","C6",0.466,0.476666666666667,0.4751
NA,"Psme","C29",0.325,1.06583333333333,1.1895
2.425,"Thpl","C30",0.61,0.975666666666667,1.1623
2.73,"Thpl","C36",0.6575,1.13016666666667,1.2134
3.01,"Thpl","C7",0.663,0.977,1.0242
3.055,"Thpl","C16",0.7555,1.30566666666667,1.4708
3.06,"Thpl","C34",0.523,0.811833333333333,0.9147
3.425,"Thpl","C38",0.626,1.04166666666667,1.183
3.655,"Thpl","C26",0.82,1.05116666666667,1.2682
3.785,"Thpl","C21",0.2325,0.297833333333333,0.3304
4.54,"Thpl","C10",0.2895,0.483833333333333,0.5607
5.61,"Thpl","C11",0.2795,0.429166666666667,0.5289
2.29,"Tshe","C37",0.166,0.186,0.2176
2.61,"Tshe","C22",0.9485,1.25116666666667,1.2861
2.69,"Tshe","C31",0.431,0.757833333333333,0.9599
3.01,"Tshe","C39",1.6505,1.82516666666667,1.9343
3.015,"Tshe","C28",1.251,1.075,1.231
3.09,"Tshe","C35",1.1475,1.443,1.4886
3.275,"Tshe","C23",0.411,0.522166666666667,0.4843
4.02,"Tshe","C3",0.197,0.203166666666667,0.2049
4.56,"Tshe","C24",0.2435,0.212166666666667,0.2537
4.805,"Tshe","C4",1.054,1.77266666666667,1.6674
2.51,"Abam","H17",0.972,1.21566666666667,1.2681
2.78,"Abam","H25",0.556,0.608,0.6039
2.785,"Abam","H9",0.124,0.138333333333333,0.1524
2.855,"Abam","H19",1.132,1.31833333333333,1.4047
2.99,"Abam","H21",0.7235,0.761,0.8381
3.02,"Abam","H27",0.3055,0.3015,0.2983
3.365,"Abam","H5",0.496,0.609166666666667,0.6391
3.455,"Abam","H12",0.366,0.393166666666667,0.4334
3.555,"Abam","H1",0.9405,1.098,1.3912
4.01,"Abam","H30",0.8935,1.01583333333333,0.9836
3.125,"Tshe","H36",1.1505,1.1535,1.1073
3.3,"Tshe","H16",1.609,1.49933333333333,1.2781
3.465,"Tshe","H39",1.3775,1.27466666666667,1.1449
3.555,"Tshe","H20",0.993,0.969166666666667,0.9317
3.675,"Tshe","H41",1.2185,1.67416666666667,1.5751
5.515,"Tshe","H11",0.3435,0.3865,0.3825
5.575,"Tshe","H34",0.7105,0.924166666666667,0.8655
5.885,"Tshe","H23",0.349,0.4395,0.3775
6.02,"Tshe","H14",0.2825,0.528166666666667,0.5916
6.345,"Tshe","H24",0.552,0.652166666666667,0.5894
2.615,"Tsme","H29",0.728,0.938333333333333,1.0155
3.38,"Tsme","H33",0.4485,0.417,0.3664
3.395,"Tsme","H7",0.4975,0.524833333333333,0.4874
3.69,"Tsme","H6",0.3435,0.4475,0.4292
3.81,"Tsme","H37",0.556,0.694166666666667,0.7398
3.925,"Tsme","H3",0.189,0.115333333333333,0.1085
4.535,"Tsme","H4",0.1025,0.118333333333333,0.1305
5.095,"Tsme","H40",0.2895,0.356833333333333,0.3606
5.23,"Tsme","H26",1.2735,1.231,1.0711
5.375,"Tsme","H15",0.1315,0.146666666666667,0.1263
3.035,"Xano","H18",0.165,0.183166666666667,0.2001
3.045,"Xano","H38",0.372,0.367166666666667,0.3487
3.115,"Xano","H2",0.8705,0.9685,1.4176
3.24,"Xano","H31",1.2845,1.17383333333333,1.2583
3.45,"Xano","H8",0.783,1.42033333333333,1.7207
3.455,"Xano","H28",0.849,0.927166666666667,1.0925
3.83,"Xano","H22",0.135,0.132333333333333,0.131
4.315,"Xano","H10",0.157,0.1865,0.1981
4.38,"Xano","H35",1.016,1.065,1.4698
6.48,"Xano","H13",0.6025,0.71,0.7339
2.65,"Abam","G15",0.61,0.680833333333333,0.7226
2.875,"Abam","G6",0.4255,0.381,0.383
2.91,"Abam","G2",0.174,0.1765,0.1877
3.125,"Abam","G22",1.117,1.04916666666667,1.1003
3.19,"Abam","G18",0.075,0.0735,0.0838
3.59,"Abam","G25",0.1665,0.147,0.1643
3.645,"Abam","G21",0.524,0.540333333333333,0.5426
4.065,"Abam","G4",0.1465,0.166,0.1829
4.41,"Abam","G9",0.38,0.367333333333333,0.3648
4.75,"Abam","G28",0.3965,0.3965,0.4045
2.085,"Tsme","G32",1.3555,1.38266666666667,1.3866
2.55,"Tsme","G12",0.115,0.1385,0.1344
2.665,"Tsme","G5",0.666,0.713333333333333,0.6946
