"radius","Species","Tag","2009"
2.055,"Abam","F48",0.158
2.125,"Abam","F44",0.115
2.57,"Abam","F53",0.0675
2.615,"Abam","F31",0.071
2.885,"Abam","F38",0.115
2.955,"Abam","F45",0.115
3.655,"Abam","F47",0.145
3.69,"Abam","F50",0.1255
4.29,"Abam","F39",0.7215
5.95,"Abam","F34",0.132
2.235,"Tsme","F32",0.071
2.905,"Tsme","F40",0.2685
3.1,"Tsme","F58",0.196
3.145,"Tsme","F56",0.1085
3.275,"Tsme","F51",0.3715
3.28,"Tsme","F42",0.2445
3.605,"Tsme","F57",0.184
3.665,"Tsme","F59",0.1415
3.685,"Tsme","F36",0.1415
4.255,"Tsme","F60",0.5575
2.04,"Xano","F46",0.071
2.195,"Xano","F54",0.1185
2.275,"Xano","F35",0.1705
2.405,"Xano","F49",0.1405
2.45,"Xano","F52",0.167
2.51,"Xano","F55",0.1075
2.57,"Xano","F43",0.131
3.5,"Xano","F37",0.1365
3.5,"Xano","F41",0.07
3.71,"Xano","F33",0.2075
1.945,"Abam","C65",0.343
2.01,"Abam","C77",0.407
2.1,"Abam","C70",0.146
2.11,"Abam","C66",0.12
2.29,"Abam","C63",0.2615
2.45,"Abam","C61",0.4935
2.62,"Abam","C71",0.2535
3.03,"Abam","C69",0.2455
3.065,"Abam","C68",0.1195
3.635,"Abam","C74",0.87
1.99,"Abam","H74",0.4075
2,"Abam","H72",0.171
2.05,"Abam","H77",0.43
2.12,"Abam","H48",0.272
2.185,"Abam","H47",0.2325
2.215,"Abam","H44",0.2555
2.225,"Abam","H76",0.331
2.31,"Abam","H49",0.27
2.795,"Abam","H45",0.23
2.825,"Abam","H42",0.1755
3.345,"Tsme","H65",0.155
3.55,"Tsme","H64",0.0855
3.55,"Tsme","H67",0.186
3.93,"Tsme","H61",0.195
4.2,"Tsme","H63",0.246
4.31,"Tsme","H66",0.1125
6.12,"Tsme","H57",0.242
2.43,"Xano","H58",0.1395
2.605,"Xano","H62",0.2495
2.71,"Xano","H59",0.094
3,"Xano","H54",0.228
3.19,"Xano","H56",0.151
3.91,"Xano","H55",0.0795
3.915,"Xano","H60",0.2875
3.995,"Xano","H52",0.18
