"","Tag","Species(neighbor)","ba_sum","Stand","radius","Species","2008","avg_3","avg_5"
"1","B31","Abam",1.72150638036923,"TB13",2.895,"Abam",0.3915,0.406833333333333,0.5048
"2","B31","Psme",1.07521008569111,"TB13",2.895,"Abam",0.3915,0.406833333333333,0.5048
"3","B31","Thpl",9.54173160128089,"TB13",2.895,"Abam",0.3915,0.406833333333333,0.5048
"4","B31","Tshe",8.66310667588817,"TB13",2.895,"Abam",0.3915,0.406833333333333,0.5048
"5","B32","Thpl",11.7573241122618,"TB13",3.325,"Abam",0.2125,0.1955,0.1904
"6","B32","Tshe",9.99431729293867,"TB13",3.325,"Abam",0.2125,0.1955,0.1904
"7","B33","Abam",0.44687584700988,"TB13",2.625,"Abam",0.223,0.4795,0.5751
"8","B33","Thpl",9.14651139147766,"TB13",2.625,"Abam",0.223,0.4795,0.5751
"9","B33","Tshe",5.59987319706054,"TB13",2.625,"Abam",0.223,0.4795,0.5751
