"Tag","Species(neighbor)","ba_sum","Stand","radius","Species","2008","avg_3","avg_5"
"A1","Thpl",25.4469004940773,"TO04",2.45,"Tshe",0.8825,1.8085,1.8889
"A1","Tshe",10.3742850704087,"TO04",2.45,"Tshe",0.8825,1.8085,1.8889
"A10","Abam",0.343069771753639,"TO04",4.82,"Thpl",4.198,4.52783333333333,4.8825
"A10","Acci",0.176746002690962,"TO04",4.82,"Thpl",4.198,4.52783333333333,4.8825
"A10","Thpl",6.95455151123336,"TO04",4.82,"Thpl",4.198,4.52783333333333,4.8825
"A10","Tshe",8.18461069881991,"TO04",4.82,"Thpl",4.198,4.52783333333333,4.8825
"A11","Abam",10.0725115340865,"TO04",5.225,"Abam",0.2515,0.694833333333333,0.5811
"A11","Acci",0.0950331777710912,"TO04",5.225,"Abam",0.2515,0.694833333333333,0.5811
"A11","Thpl",28.3528736986479,"TO04",5.225,"Abam",0.2515,0.694833333333333,0.5811
"A11","Tshe",17.7458830064061,"TO04",5.225,"Abam",0.2515,0.694833333333333,0.5811
"A12","Acci",0.0950331777710912,"TO04",6.57,"Tshe",0.125,0.179,0.2552
"A12","Thpl",19.0644722749708,"TO04",6.57,"Tshe",0.125,0.179,0.2552
"A12","Tshe",5.44388526782817,"TO04",6.57,"Tshe",0.125,0.179,0.2552
"A13","Abam",0.343069771753639,"TO04",4.61,"Thpl",0.3475,1.48,1.7601
"A13","Thpl",7.29867371652595,"TO04",4.61,"Thpl",0.3475,1.48,1.7601
"A13","Tshe",6.97331467335692,"TO04",4.61,"Thpl",0.3475,1.48,1.7601
"A14","Acci",0.0865901475145687,"TO04",3.99,"Thpl",1.9805,3.47083333333333,3.6172
"A14","Tshe",4.60650945397708,"TO04",3.99,"Thpl",1.9805,3.47083333333333,3.6172
"A15","Abam",0.261828185731807,"TO04",4.64,"Tshe",2.1495,2.67766666666667,2.5775
"A15","Acci",0.0933131557932508,"TO04",4.64,"Tshe",2.1495,2.67766666666667,2.5775
