"Plot","Tree Tag #","Species","DBH [cm]","Height [m]","Crown base [m]","Bark Thickness"
"MRS4",7,"PIEN",15.5,7.2,2.4,0.8
"MRS4",29,"PIEN",9,3.7,0.8,0.5
"MRS4",30,"PIEN",16.4,10.7,2,0.6
"MRS4",31,"PIEN",16,10.6,3.1,0.7
"MRS4",33,"PICO",23,11.9,4.2,0.8
"MRS4",34,"PICO",28.9,11,3.1,0.6
"MRS4",36,"PICO",34,15.1,2.6,1.2
"MRS4",37,"PIEN",11.8,6.3,2.1,0.4
"MRS4",38,"PICO",31.8,15.4,6.8,0.6
"MRS4",39,"ABLA",18.7,10.6,1,0.7
"MRS4",40,"ABLA",7.5,4.5,1.1,0.3
"MRS4",66,"PICO",28.7,14.6,2.9,0.7
"MRS4",67,"PIEN",29.7,16.1,1.9,1.3
"MRS4",83,"PICO",31,14.1,5.6,1.2
"MRS4",84,"PICO",20.2,5.1,2.1,0.4
"MRS4",85,"PIEN",7.8,4.5,1.1,0.6
"MRS4",86,"ABLA",18.3,9.3,1,1
"MRS4",87,"ABLA",28,12,0.8,1.7
"MRS4",88,"ABLA",24.3,12.9,0.1,1.1
"MRS4",110,"ABLA",10.7,7.3,0.4,1
"MRS4",113,"PIEN",8.2,6.3,1.1,0.4
"MRS4",116,"ABLA",23.3,13.4,2,1.4
"MRS4",118,"PIEN",30.4,13,1.2,0.9
"MRS4",121,"PIEN",13.3,6.2,1.9,0.4
"MRS4",122,"PIEN",20.3,11.8,5.1,0.7
"MRS4",126,"PIEN",12,7.7,1.8,0.6
"MRS4",458,"PIEN",10.5,5.1,2,0.7
"MRS4",463,"ABLA",16.2,9.7,2.1,0.6
"MRS4",493,"ABLA",31,15.7,1.7,2
"MRS4",495,"PICO",18,11.1,6,1
"MRS4",496,"PIEN",14.1,6.2,1.2,0.7
"MRS4",497,"PIEN",14.3,9.2,1.2,0.7
"MRS4",498,"PIEN",10.2,4,1.3,0.5
"MRS4",503,"ABLA",20.3,9.7,3.6,0.3
"MRS4",504,"ABLA",16,7.8,4.9,0.4
"MRS4",507,"ABLA",23.6,8.9,2.1,1
"MRS4",508,"PICO",18.2,12.2,6.2,0.4
"MRS4",509,"PIEN",16.5,1.3,3.5,0.9
"MRS4",512,"PIEN",19.6,11.6,2.1,0.4
"MRS4",547,"PICO",27.7,13,5.8,1
"MRS4",553,"PIEN",4.7,9,6.3,0.4
"MRS4",554,"PIEN",16.6,9,3.4,0.5
"MRS4",590,"PIEN",33.3,17,3.1,1.2
"MRS4",591,"ABLA",20,12.7,1.4,0.8
"MRS4",592,"PICO",40.9,16.3,5.8,1
"MRS4",593,"ABLA",17.5,7,2.7,1.3
"MRS4",597,"ABLA",28,3.3,1.4,1.8
"MRS4",629,"ABLA",17.8,12.6,1.2,1
"MRS4",630,"ABLA",20.5,10.9,1.8,0.8
"MRS4",634,"ABLA",10.4,10.4,1.7,0.6
"MRS4",635,"ABLA",24.7,9.3,0.9,1.5
"MRS4",636,"PIEN",17.4,8.8,2.4,1.1
"MRS4",13,"PIEN",27,11.6,3.6,1.2
"MRS4",25,"PIEN",26.6,14.5,2.2,1.2
"MRS4",27,"PIEN",26.3,13.6,0.6,1
"MRS4",45,"PIEN",30.7,12.9,2.6,0.9
"MRS4",46,"PIEN",39,16,2.4,0.8
"MRS4",67,"PIEN",NaN,NaN,NaN,1
"MRS4",90,"PIEN",31,12.1,1.1,0.9
"MRS4",118,"PIEN",30,0,0,0
"MRS4",229,"PIEN",31,14.6,1.3,1.2
"MRS4",262,"PIEN",20.5,11.8,1.8,0.8
"MRS4",278,"PIEN",27.9,12.6,2.2,0.9
"MRS4",344,"PIEN",24.9,11.5,5.8,1.4
"MRS4",415,"PIEN",25,12.8,4.1,0.8
"MRS4",416,"PIEN",24.4,12.9,3.5,0.9
"MRS4",437,"PIEN",25,12.3,2.9,1
"MRS4",678,"PIEN",23,9.7,2.4,0.9
"MRS4",257,"PIEN",30.5,14.5,6.2,0.9
"MRS4",73,"ABLA",26.4,13.6,2.8,1.25
"MRS4",64,"ABLA",26.6,13.6,1.4,1.1
"MRS5",342,"PIEN",15.9,8.8,1,0.8
"MRS5",346,"ABLA",40.8,16.1,2.3,1.8
"MRS5",349,"PIEN",22.1,12.4,0.6,0.8
"MRS5",351,"PIEN",36.5,13.6,1.5,1.3
"MRS5",366,"PIEN",12.1,4.7,0.1,0.9
"MRS5",384,"ABLA",19.8,8.9,0.3,0.7
"MRS5",424,"PIEN",50.5,13.3,0,1.7
"MRS5",382,"ABLA",39.6,17.6,1.5,2
