BLOCK,COL,ROW,STATE,PROV,REP,TREE_ID,DBH,HT,VIGOR
1,1,,C,3,4,11C34,12.7,7.2,E
1,1,,C,5,5,11C55,18.5,7.3,E
1,1,,C,10,3,11C103,11.2,6.4,G
1,1,,C,12,3,11C123,13.7,8.6,E
1,1,,C,13,5,11C135,15.5,6.9,G
1,1,,C,14,2,11C142,15.7,8.3,E
1,1,,M,4,5,11M45,17.3,8.8,G
1,1,,M,5,2,11M52,13.2,9.1,E
1,1,,M,7,3,11M73,12.4,7.3,G
1,1,,M,8,4,11M84,13.5,7.8,E
1,2,,C,2,2,12C22,13.7,8.3,G
1,2,,C,7,3,12C73,13.2,8.6,E
1,2,,W,5,1,12W51,9.9,6.2,G
1,3,,C,15,4,13C154,12.4,6.9,G
1,4,,M,9,1,14M91,14.2,6.3,E
1,5,,C,3,4,15C34,12.7,6.3,E
1,5,,C,16,5,15C165,11.9,5.8,F
1,5,,M,7,3,15M73,12.4,6.9,G
1,5,,M,11,3,15M113,17.5,6.5,E
1,6,,M,6,2,16M62,14.2,6.4,G
1,7,,W,4,4,17W44,12.7,6.4,F
1,8,,C,10,1,18C101,12.7,6.9,G
1,8,,C,15,3,18C153,16.3,7.6,E
1,8,,M,1,1,18M11,9.9,4,NA
1,8,,M,12,2,18M122,14.7,7.3,G
1,9,,C,1,1,19C11,10.2,6.8,G
1,9,,C,7,4,19C74,9.9,5.8,G
1,9,,C,11,1,19C111,11.7,6.6,NA
1,10,,C,2,2,110C22,13.7,7.3,G
1,10,,M,5,5,110M55,16,7.5,E
1,10,,M,9,1,110M91,14.2,8.6,E
1,11,,M,1,4,111M14,13.2,7.1,E
1,11,,M,2,3,111M23,19.1,9.3,E
1,11,,M,3,4,111M34,16.5,9.8,E
1,12,,C,9,2,112C92,13,8.2,G
1,12,,C,11,5,112C115,14.7,6.5,F
1,12,,M,8,5,112M85,17,8.8,E
1,12,,M,12,1,112M121,15.5,7.9,G
1,13,,C,6,5,113C65,10.9,6.3,P
1,13,,M,4,3,113M43,16.3,10.1,E
1,14,,C,8,3,114C83,17.5,8.8,G
1,14,,M,11,5,114M115,8.9,6.1,G
1,15,,C,6,2,115C62,16.5,9.2,G
1,15,,C,8,4,115C84,18.8,8.2,E
1,15,,W,2,3,115W23,15.7,7.9,G
1,16,,W,2,5,116W25,11.7,7.8,F
2,1,,C,16,5,21C165,14.7,6.7,F
2,1,,M,7,4,21M74,13,7.7,G
2,1,,W,5,1,21W51,10.9,6.2,P
2,2,,C,4,3,22C43,17.8,8,E
2,2,,M,10,1,22M101,18.5,9.8,E
2,2,,W,4,3,22W43,14.5,7.7,E
2,3,,C,15,3,23C153,20.8,8.3,E
2,3,,M,2,4,23M24,15.7,7.8,F
2,3,,M,5,3,23M53,13.2,8,G
2,3,,M,7,5,23M75,15,8.6,G
2,3,,W,3,3,23W33,16,9.4,E
2,4,,C,1,5,24C15,15.7,7.3,E
2,4,,C,5,5,24C55,18,8.6,G
2,4,,C,10,3,24C103,13.7,7.6,G
2,4,,M,3,1,24M31,15.5,8,G
2,4,,M,5,1,24M51,14.5,8.4,G
2,4,,M,9,1,24M91,15.2,8.3,F
2,4,,M,9,2,24M92,14.5,8,G
2,4,,M,10,5,24M105,19.8,8.7,G
2,4,,M,12,3,24M123,16.3,7.9,E
2,5,,C,1,2,25C12,13.5,7.3,G
2,5,,C,8,3,25C83,11.7,6.4,G
2,5,,C,11,3,25C113,13,7.7,F
2,6,,C,2,3,26C23,12.2,6.8,E
2,6,,C,12,3,26C123,15.5,9,G
2,7,,C,4,2,27C42,16.8,8.6,G
2,7,,M,1,1,27M11,13.7,6.9,G
2,7,,M,3,3,27M33,14.5,8.9,G
2,7,,W,4,4,27W44,12.4,8.3,G
2,8,,C,14,5,28C145,15.7,7.2,G
2,8,,M,6,4,28M64,19.1,11.3,G
