age_CE,LSA01A_raw,LSA01B_raw,LSA01C_raw,LSA01A_raw_outlier_flag,LSA01B_raw_outlier_flag,LSA01C_raw_outlier_flag
825,0.73,0.74,0.78,FALSE,FALSE,FALSE
826,1.07,1,1.04,FALSE,FALSE,FALSE
827,0.8,0.73,0.8,FALSE,FALSE,FALSE
828,0.75,0.69,0.74,FALSE,FALSE,FALSE
829,0.76,0.79,0.81,FALSE,FALSE,FALSE
830,0.88,0.91,0.86,FALSE,FALSE,FALSE
831,0.8,0.84,0.78,FALSE,FALSE,FALSE
832,0.75,0.82,0.77,FALSE,FALSE,FALSE
833,0.41,0.4,0.41,FALSE,FALSE,FALSE
834,0.57,0.58,0.61,FALSE,FALSE,FALSE
835,0.6,0.53,0.55,FALSE,FALSE,FALSE
836,0.72,0.68,0.82,FALSE,FALSE,FALSE
837,1,1,1.01,FALSE,FALSE,FALSE
838,0.73,0.79,0.76,FALSE,FALSE,FALSE
839,0.6,0.72,0.54,FALSE,FALSE,FALSE
840,0.75,0.74,0.75,FALSE,FALSE,FALSE
841,1.12,1.1,1.13,FALSE,FALSE,FALSE
842,0.88,0.84,0.86,FALSE,FALSE,FALSE
843,0.6,0.59,0.68,FALSE,FALSE,FALSE
844,0.73,0.64,0.67,FALSE,FALSE,FALSE
845,0.75,0.87,0.85,FALSE,FALSE,FALSE
846,1.03,1,1.01,FALSE,FALSE,FALSE
847,0.82,0.76,0.83,FALSE,FALSE,FALSE
848,0.53,0.58,0.59,FALSE,FALSE,FALSE
849,0.97,0.92,0.88,FALSE,FALSE,FALSE
850,0.79,0.77,0.79,FALSE,FALSE,FALSE
851,0.81,0.74,0.81,FALSE,FALSE,FALSE
852,0.94,0.9,1,FALSE,FALSE,FALSE
853,0.79,0.74,0.8,FALSE,FALSE,FALSE
854,0.96,0.77,0.94,FALSE,FALSE,FALSE
855,0.77,0.69,0.77,FALSE,FALSE,FALSE
856,0.58,0.55,0.59,FALSE,FALSE,FALSE
857,0.32,0.25,0.31,FALSE,FALSE,FALSE
858,0.53,0.46,0.5,FALSE,FALSE,FALSE
859,0.68,0.62,0.67,FALSE,FALSE,FALSE
860,0.46,0.49,0.46,FALSE,FALSE,FALSE
861,0.53,0.59,0.56,FALSE,FALSE,FALSE
862,0.51,0.54,0.53,FALSE,FALSE,FALSE
863,0.75,0.73,0.75,FALSE,FALSE,FALSE
864,0.45,0.46,0.46,FALSE,FALSE,FALSE
865,0.54,0.56,0.58,FALSE,FALSE,FALSE
866,0.79,0.77,0.76,FALSE,FALSE,FALSE
867,0.76,0.8,0.81,FALSE,FALSE,FALSE
868,0.8,0.91,0.76,FALSE,FALSE,FALSE
869,0.55,0.56,0.54,FALSE,FALSE,FALSE
870,0.58,0.52,0.6,FALSE,FALSE,FALSE
871,0.73,0.63,0.72,FALSE,FALSE,FALSE
872,0.57,0.56,0.6,FALSE,FALSE,FALSE
873,0.53,0.53,0.56,FALSE,FALSE,FALSE
874,0.66,0.61,0.66,FALSE,FALSE,FALSE
875,0.57,0.56,0.63,FALSE,FALSE,FALSE
876,0.65,0.69,0.66,FALSE,FALSE,FALSE
877,0.65,0.66,0.67,FALSE,FALSE,FALSE
878,0.69,0.74,0.67,FALSE,FALSE,FALSE
