"ba_f","Species","Tag","2008"
4.02639080854682,"Abam","F12",0.3805
4.44145802993911,"Abam","F8",0.343
4.60837084762433,"Abam","F4",0.536
5.28101725068444,"Abam","F10",0.424
5.34561624962388,"Abam","F1",0.365
5.87654540808056,"Abam","F27",0.1985
6.0269570103528,"Abam","F17",0.362
6.09595423900727,"Abam","F5",0.8225
6.22113885227119,"Abam","F19",0.737
11.6515702495604,"Abam","F15",0.281
2.88426479933425,"Tsme","F29",0.7285
3.62100754650923,"Tsme","F18",0.453
3.7068358578053,"Tsme","F14",0.5645
3.85945442891669,"Tsme","F30",0.585
4.57234463386929,"Tsme","F23",0.411
6.05450877792478,"Tsme","F2",0.217
7.14803434878632,"Tsme","F21",0.665
8.85806606198832,"Tsme","F20",0.4855
9.19484479445314,"Tsme","F6",0.4545
10.659620223171,"Tsme","F11",0.127
2.03481741571174,"Xano","F28",0.784
2.05083953824505,"Xano","F22",0.8775
2.43668994795895,"Xano","F9",0.6095
2.84631436007889,"Xano","F24",0.371
3.5361845448623,"Xano","F7",0.531
4.64453843304879,"Xano","F16",0.1335
4.96391274221272,"Xano","F3",0.157
5.30680972637041,"Xano","F13",0.5305
NA,"Xano","F25",0.4085
NA,"Xano","F26",0.6425
1.75716345698748,"Abam","C2",0.4565
1.81710504481797,"Abam","C19",0.743
2.13189262870767,"Abam","C1",1.365
2.54281294779721,"Abam","C8",0.495
2.55175863287831,"Abam","C17",0.19
2.73397100678652,"Abam","C12",0.433
3.7068358578053,"Abam","C5",0.8195
3.79366947875052,"Abam","C9",0.769
3.83746328034157,"Abam","C14",0.343
3.98152886545356,"Abam","C20",0.6375
4.28922430392778,"Psme","C18",0.4485
11.1969189607328,"Psme","C15",0.6235
11.9016174628412,"Psme","C13",0.6275
12.3702174230507,"Psme","C33",0.5515
13.7678413087981,"Psme","C32",0.655
14.957122623741,"Psme","C27",0.425
15.5039560950065,"Psme","C25",0.443
16.0381525098229,"Psme","C40",0.375
17.3197966487814,"Psme","C6",0.466
NA,"Psme","C29",0.325
1.84745282985165,"Thpl","C30",0.61
2.34139758879394,"Thpl","C36",0.6575
2.84631436007889,"Thpl","C7",0.663
2.93205627757699,"Thpl","C16",0.7555
2.94166169711534,"Thpl","C34",0.523
3.68528453220168,"Thpl","C38",0.626
4.19686147991224,"Thpl","C26",0.82
4.50071632136744,"Thpl","C21",0.2325
6.47532511387314,"Thpl","C10",0.2895
9.88725181530433,"Thpl","C11",0.2795
1.64748260346902,"Tshe","C37",0.166
2.1400843315519,"Tshe","C22",0.9485
2.27328786006411,"Tshe","C31",0.431
2.84631436007889,"Tshe","C39",1.6505
2.85577840794783,"Tshe","C28",1.251
2.99962408157407,"Tshe","C35",1.1475
3.3695544705159,"Tshe","C23",0.411
5.07693939190725,"Tshe","C3",0.197
6.53250210016847,"Tshe","C24",0.2435
7.25331697258975,"Tshe","C4",1.054
1.97923478768811,"Abam","H17",0.972
2.42794846640034,"Abam","H25",0.556
2.43668994795895,"Abam","H9",0.124
2.56072002592267,"Abam","H19",1.132
2.80861524823581,"Abam","H21",0.7235
2.86525816378003,"Abam","H27",0.3055
3.55729604749443,"Abam","H5",0.496
3.75012700457177,"Abam","H12",0.366
3.97035264958841,"Abam","H1",0.9405
5.05171240289892,"Abam","H30",0.8935
3.06796157577128,"Tshe","H36",1.1505
3.42119439975928,"Tshe","H16",1.609
3.77186682573461,"Tshe","H39",1.3775
3.97035264958841,"Tshe","H20",0.993
4.24291722821386,"Tshe","H41",1.2185
9.55522474172806,"Tshe","H11",0.3435
9.76426631689793,"Tshe","H34",0.7105
10.8803485230122,"Tshe","H23",0.349
11.3852574403156,"Tshe","H14",0.2825
12.6477457180688,"Tshe","H24",0.552
2.14829174235941,"Tsme","H29",0.728
3.58908111116712,"Tsme","H33",0.4485
3.62100754650923,"Tsme","H7",0.4975
4.2776239730544,"Tsme","H6",0.3435
4.56036731187748,"Tsme","H37",0.556
4.83981983239593,"Tsme","H3",0.189
6.46107013720747,"Tsme","H4",0.1025
8.15526822343538,"Tsme","H40",0.2895
8.59316696943762,"Tsme","H26",1.2735
9.07625752576176,"Tsme","H15",0.1315
2.89379167905626,"Xano","H18",0.165
2.91289256239009,"Xano","H38",0.372
3.04835803761288,"Xano","H2",0.8705
3.29791830403242,"Xano","H31",1.2845
3.73928065593525,"Xano","H8",0.783
3.75012700457177,"Xano","H28",0.849
4.60837084762433,"Xano","H22",0.135
5.84940204755354,"Xano","H10",0.157
6.0269570103528,"Xano","H35",1.016
13.1916732161297,"Xano","H13",0.6025
2.20618344098343,"Abam","G15",0.61
2.59672267773281,"Abam","G6",0.4255
2.66033207498637,"Abam","G2",0.174
3.06796157577128,"Abam","G22",1.117
3.19691610021951,"Abam","G18",0.075
4.04891602787306,"Abam","G25",0.1665
4.17392785354103,"Abam","G21",0.524
5.19123838662648,"Abam","G4",0.1465
6.10980080862797,"Abam","G9",0.38
7.08821842466197,"Abam","G28",0.3965
1.36572101235019,"Tsme","G32",1.3555
2.04282062299676,"Tsme","G12",0.115
2.23122978841418,"Tsme","G5",0.666
