"ba_f","Species","Tag","2009"
1.3267024315926,"Abam","F48",0.158
1.41862543263664,"Abam","F44",0.115
2.07499053176952,"Abam","F53",0.0675
2.14829174235941,"Abam","F31",0.071
2.61481825141749,"Abam","F38",0.115
2.74324655909624,"Abam","F45",0.115
4.19686147991224,"Abam","F47",0.145
4.2776239730544,"Abam","F50",0.1255
5.78181853559319,"Abam","F39",0.7215
11.1220233918713,"Abam","F34",0.132
1.56929621630281,"Tsme","F32",0.071
2.65119789434606,"Tsme","F40",0.2685
3.01907054009979,"Tsme","F58",0.196
3.1073571476473,"Tsme","F56",0.1085
3.3695544705159,"Tsme","F51",0.3715
3.37985104043804,"Tsme","F42",0.2445
4.08282166658693,"Tsme","F57",0.184
4.21985793813652,"Tsme","F59",0.1415
4.26603935014429,"Tsme","F36",0.1415
5.68786135330595,"Tsme","F60",0.5575
1.30740519871793,"Xano","F46",0.071
1.5136271944812,"Xano","F54",0.1185
1.62597054777357,"Xano","F35",0.1705
1.81710504481797,"Xano","F49",0.1405
1.88574099031727,"Xano","F52",0.167
1.97923478768811,"Xano","F55",0.1075
2.07499053176952,"Xano","F43",0.131
3.8484510006475,"Xano","F37",0.1365
3.8484510006475,"Xano","F41",0.07
4.32411954432753,"Xano","F33",0.2075
1.18847235483465,"Abam","C65",0.343
1.26923484797681,"Abam","C77",0.407
1.3854423602331,"Abam","C70",0.146
1.39866846530471,"Abam","C66",0.12
1.64748260346902,"Abam","C63",0.2615
1.88574099031727,"Abam","C61",0.4935
2.15651486113018,"Abam","C71",0.2535
2.88426479933425,"Abam","C69",0.2455
2.95128282461696,"Abam","C68",0.1195
4.1510570590229,"Abam","C74",0.87
1.24410210674809,"Abam","H74",0.4075
1.25663706143592,"Abam","H72",0.171
1.32025431267111,"Abam","H77",0.43
1.4119574022294,"Abam","H48",0.272
1.49986701865847,"Abam","H47",0.2325
1.54133604168586,"Abam","H44",0.2555
1.5552847130678,"Abam","H76",0.331
1.67638525588205,"Abam","H49",0.27
2.45422003496598,"Abam","H45",0.23
2.5071872871055,"Abam","H42",0.1755
3.51513587408325,"Tsme","H65",0.155
3.95919214168654,"Tsme","H64",0.0855
3.95919214168654,"Tsme","H67",0.186
4.8521584375429,"Tsme","H61",0.195
5.54176944093239,"Tsme","H63",0.246
5.83585392923494,"Tsme","H66",0.1125
11.7666467884614,"Tsme","H57",0.242
1.85507904601824,"Xano","H58",0.1395
2.13189262870767,"Xano","H62",0.2495
2.30721706072288,"Xano","H59",0.094
2.82743338823081,"Xano","H54",0.228
3.19691610021951,"Xano","H56",0.151
4.80289826473461,"Xano","H55",0.0795
4.81518974599178,"Xano","H60",0.2875
5.01398972911094,"Xano","H52",0.18
6.58993041387609,"Xano","H53",0.04
1.59043128087983,"Abam","G61",0.092
2.1237166338267,"Abam","G60",0.271
2.20618344098343,"Abam","G47",0.147
2.20618344098343,"Abam","G59",0.101
2.37582944427728,"Abam","G58",0.0915
2.75253781936923,"Abam","G55",0.164
5.02654824574367,"Abam","G53",0.1015
5.12758186548312,"Abam","G50",0.112
5.47599234474786,"Abam","G57",0.118
6.56118484109575,"Abam","G52",0.1175
1.22541748444087,"Tsme","G54",0.097
1.36572101235019,"Tsme","G32",0.183
1.42530917100715,"Tsme","G56",0.1645
1.46574146845885,"Tsme","G36",0.198
1.80955736846772,"Tsme","G51",0.152
2.26484482980759,"Tsme","G38",0.295
2.2817465982839,"Tsme","G40",0.099
2.56969712693031,"Tsme","G48",0.098
4.59634640174272,"Tsme","G49",0.1855
6.09595423900727,"Tsme","G34",0.1735
1.23785819134908,"Xano","G37",0.118
1.95564928084128,"Xano","G44",0.1905
1.99503699873566,"Xano","G62",0.0805
2.07499053176952,"Xano","G39",0.097
2.10741176795457,"Xano","G35",0.2585
2.29022104446696,"Xano","G45",0.1675
2.37582944427728,"Xano","G33",0.129
2.41051262717291,"Xano","G41",0.1035
2.56072002592267,"Xano","G42",0.151
3.43156950949776,"Xano","G43",0.0985
0.90792027688745,"Abam","E42",0.083
1.3854423602331,"Abam","E53",0.2755
1.83224752140827,"Abam","E55",0.23
2.02682991638999,"Abam","E43",0.2565
2.27328786006411,"Abam","E45",0.108
2.30721706072288,"Abam","E60",0.2765
2.78050584796782,"Abam","E44",0.46
3.8264912679989,"Abam","E56",0.194
1.35265198691126,"Abam","P1",0.534
1.54830252339519,"Abam","P3",1.5565
1.57632552986521,"Abam","P12",2.685
1.72756965419066,"Abam","P16",1.2585
2.01090204163629,"Abam","P5",0.949
2.02682991638999,"Abam","P41",0.491
2.32427590883187,"Abam","P2",1.1945
2.75253781936923,"Abam","P9",0.753
2.76184478760549,"Abam","P15",1.529
2.99962408157407,"Abam","P11",0.46
3.06796157577128,"Abam","P18",1.1195
3.47322702808437,"Abam","P10",0.8095
3.5361845448623,"Abam","P17",1.1445
3.76098906117156,"Abam","P19",1.299
3.93691824977258,"Abam","P4",0.9885
4.06020219948108,"Abam","P13",2.0055
4.19686147991224,"Abam","P7",0.397
4.59634640174272,"Abam","P14",0.9195
5.29390563454579,"Abam","P8",0.7
5.80880481648753,"Abam","P6",0.6015
1.39866846530471,"Tsme","P35",1.2775
1.71286700057186,"Tsme","P40",1.4525
2.05887416145661,"Tsme","P21",0.2065
2.09928289696341,"Tsme","P36",1.346
2.18956441584594,"Tsme","P31",0.5945
2.22286529797399,"Tsme","P26",0.9595
2.23960998681763,"Tsme","P29",0.9685
2.31573863079574,"Tsme","P37",0.892
2.33282889483127,"Tsme","P25",0.9735
2.34998199071987,"Tsme","P23",0.442
2.51607014033353,"Tsme","P39",0.606
3.09748469273339,"Tsme","P33",0.887
3.49415003515727,"Tsme","P24",0.909
3.65307535352075,"Tsme","P38",0.8125
3.73928065593525,"Tsme","P27",0.927
4.12824909635784,"Tsme","P34",1.081
4.40609155064132,"Tsme","P22",1.243
1.24410210674809,"Xano","P52",0.2795
1.33316625847736,"Xano","P59",0.3715
1.35265198691126,"Xano","P57",0.573
1.48616967468882,"Xano","P60",0.6
1.5136271944812,"Xano","P54",0.6865
1.72021047339963,"Xano","P58",0.885
1.73494454294496,"Xano","P43",0.392
2.115556346909,"Xano","P55",0.646
2.32427590883187,"Xano","P20",0.6565
2.57868993590121,"Xano","P42",0.521
2.68782886468692,"Xano","P46",0.414
2.82743338823081,"Xano","P45",1.068
2.89379167905626,"Xano","P49",0.5175
2.99962408157407,"Xano","P50",0.584
3.15695504166585,"Xano","P53",0.946
3.67453243134477,"Xano","P56",0.572
1.29461891661782,"Abam","A40",0.4215
1.37885286964219,"Abam","A80",0.7545
1.4119574022294,"Abam","A68",0.7375
1.5136271944812,"Abam","A45",0.831
1.53438526793979,"Abam","A42",0.898
1.53438526793979,"Abam","A55",0.2545
1.67638525588205,"Abam","A37",0.585
1.69822717880613,"Abam","A53",0.1665
1.74233513966253,"Abam","A41",0.7415
1.93220514566387,"Abam","A36",0.6415
1.9400041494264,"Abam","A54",0.4465
1.97923478768811,"Abam","A43",0.33
2.00296166620434,"Abam","A56",0.6855
2.36719791846154,"Abam","A79",0.091
3.01907054009979,"Abam","A38",0.7655
