tree,n_missing_total,n_missing_1980_on,n_outliers_total
617011_raw,216,45,3
617012_raw,190,45,2
617021_raw,334,45,0
617022_raw,347,45,0
617032_raw,171,45,3
617041_raw,388,45,3
617051_raw,262,45,2
617052_raw,349,45,0
617061_raw,370,45,0
617062_raw,390,45,1
617071_raw,295,45,4
617091_raw,201,45,1
617092_raw,245,45,3
617101_raw,289,45,0
617102_raw,243,45,0
617121_raw,254,45,2
617122_raw,282,45,1
617142_raw,305,45,1
617151_raw,216,45,3
617152_raw,298,45,1
617162_raw,233,45,0
617171_raw,186,45,2
617182_raw,398,45,0
617192_raw,339,45,0
617202_raw,54,45,6
