# Great Salt Lake, Utah 576 Year Water Level Reconstruction
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:16439
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/northamerica/usa/utah/great-salt-lake2014level.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#--------------------
# Contribution_Date
#	Date: 2014-05-16
#--------------------
# Title
#	Study_Name: Great Salt Lake, Utah 576 Year Water Level Reconstruction
#--------------------
# Investigators
#       Investigators: DeRose, R.J.; Wang, S.-Y.; Buckley, B.M.; Bekker, M.F. 
#--------------------
# Description_and_Notes
#	Description: Reconstruction of Great Salt Lake water level from 1429 to 2005 AD, based on a network of seven tree-ring chronologies 
#	and on the observed Great Salt Lake (GSL) first-differenced water year (September-August) level (cm) for the period 1876-2005.  
#	The seven tree-ring chronologies are included in the International Tree-Ring Data Bank, site codes UT532-UT538. 
#--------------------
# Publication 
#       Authors: R. Justin DeRose, Shih-Yu Wang, Brendan M. Buckley, and Matthew F. Bekker 
#       Published_Date_or_Year: 2014-04-29      
#       Published_Title: Tree-ring reconstruction of the level of Great Salt Lake, USA 
#       Journal_Name: The Holocene
#       Volume: 
#       Edition: 
#       Issue: 
#       Pages: 
#       DOI: 10.1177/0959683614530441 
#       Online_Resource: http://hol.sagepub.com/content/early/2014/04/29/0959683614530441.abstract
#       Full_Citation: 
#       Abstract: Utah's Great Salt Lake (GSL) is a closed-basin remnant of the larger Pleistocene-age Lake Bonneville. The modern instrumental record of the GSL-level (i.e. elevation) change is strongly modulated by Pacific Ocean coupled ocean/atmospheric oscillations at low frequency, and therefore reflects the decadal-scale wet/dry cycles that characterize the region. A within-basin network of seven tree-ring chronologies was developed to reconstruct the GSL water year (September-August) level, based upon the instrumental record of GSL level from 1876 to 2005. The result was a 576-year reconstruction of the GSL level that extends from 1429 to 2005; all calibration-verification tests commonly used in dendroclimatology were passed. The reconstruction explains 48% of the variance in the instrumental GSL level and exhibits significant periodicity at sub-decadal scales over the past six centuries. Meanwhile, predominance of multi-decadal periodicity in the early half of the record shifted to quasi-decadal dominance in the latter half, and this is consistent with that of proxy reconstructions of the Pacific Decadal Oscillation. The GSL-level reconstruction is a crucial component to improving our insight into the possible controls of coupled ocean-atmosphere interactions on precipitation delivery. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Wasatch Dendroclimatology Research (WADR) Group
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Great Salt Lake
#       Location: North America>United States Of America>Utah
#	Country: United States Of America
#	Northernmost_Latitude: 41.8333
# 	Southernmost_Latitude: 40.6667 
# 	Easternmost_Longitude: -111.8333
# 	Westernmost_Longitude: -113.1667 
# 	Elevation: 1282 m  
#------------------
# Data_Collection   
#	Collection_Name: GSL2014level
#	Earliest_Year: 1429
#	Most_Recent_Year: 2005
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Chronology: 
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , water year AD, September-August, , , ,N
##water_level	Water Level, , , cm, water year,reconstruction, first difference, tree rings,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	water_level
1429	-15.527
1430	-1.573
1431	-21.151
1432	-37.534
1433	-77.081
1434	-62.757
1435	-43.469
1436	-50.599
1437	-68.05
1438	-68.584
1439	-41.012
1440	-21.99
1441	32.086
1442	40.09
1443	25.941
1444	13.604
1445	10.254
1446	33.714
1447	50.756
1448	40.789
1449	-0.727
1450	7.115
1451	15.3
1452	38.72
1453	40.927
1454	32.117
1455	47.613
1456	47.929
1457	-33.256
1458	14.293
1459	6.975
1460	-32.29
1461	-56.246
1462	6.649
1463	77.584
1464	89.763
1465	40.547
1466	13.04
1467	-2.557
1468	14.894
1469	8.811
1470	-10.264
1471	-17.151
1472	-3.707
1473	5.843
1474	-53.361
1475	-67.199
1476	-57.034
1477	-7.919
1478	-0.31
1479	-43.874
1480	-36.537
1481	-30.594
1482	-52.212
1483	-12.681
1484	39.884
1485	42.783
1486	21.134
1487	29.184
1488	24.542
1489	4.133
1490	-7.958
1491	5.145
1492	-1.798
1493	-26.556
1494	-25.632
1495	-25.39
1496	-43.896
1497	-38.023
1498	-27.898
1499	-8.715
1500	-51.015
1501	-15.645
1502	51.449
1503	61.674
1504	-0.1
1505	-24.011
1506	-62.981
1507	-55.917
1508	13.905
1509	75.597
1510	75.152
1511	-5.635
1512	-7.102
1513	5.247
1514	13.478
1515	14.43
1516	-12.458
1517	-3.043
1518	-40.393
1519	-36.472
1520	19.276
1521	12.852
1522	18.519
1523	11.551
1524	51.426
1525	65.911
1526	37.021
1527	3.326
1528	6.438
1529	-38.155
1530	-59.753
1531	-11.716
1532	-38.636
1533	-88.404
1534	-3.258
1535	30.281
1536	29.534
1537	24.703
1538	3.107
1539	-1.676
1540	-20.896
1541	-11.612
1542	-24.012
1543	-32.618
1544	-39.019
1545	-37.707
1546	-51.201
1547	16.45
1548	42.126
1549	58.888
1550	54.964
1551	26.732
1552	48.515
1553	24.043
1554	-6.076
1555	-16.046
1556	13.936
1557	32.837
1558	13.735
1559	-5.372
1560	-29.903
1561	-3.573
1562	10.479
1563	41.563
1564	36.199
1565	26.227
1566	15.165
1567	16.442
1568	19.207
1569	34.378
1570	19.421
1571	4.435
1572	3.999
1573	8.232
1574	2.769
1575	-16.082
1576	3.121
1577	5.381
1578	56.495
1579	6.988
1580	-87.283
1581	-114.286
1582	-0.183
1583	18.443
1584	-34.913
1585	-71.903
1586	-61.55
1587	9.557
1588	10.423
1589	-16.36
1590	-22.871
1591	-61.717
1592	-54.173
1593	-61.346
1594	-32.179
1595	-18.906
1596	-0.246
1597	8.019
1598	-31.277
1599	-27.898
1600	-0.585
1601	-24.467
1602	32.274
1603	31.346
1604	16.629
1605	11.644
1606	19.842
1607	27.536
1608	17.478
1609	32.187
1610	72.048
1611	48.502
1612	36.093
1613	48.391
1614	3.359
1615	12.194
1616	64.681
1617	39.431
1618	64.907
1619	50.237
1620	12.236
1621	27.576
1622	46.831
1623	-1.62
1624	15.325
1625	11.353
1626	-0.079
1627	0.267
1628	4.652
1629	2.241
1630	-39.257
1631	-69.603
1632	-69.142
1633	-50.973
1634	-21.946
1635	-61.005
1636	-60.121
1637	-44.187
1638	-56.712
1639	-34.519
1640	-23.413
1641	25.934
1642	14.016
1643	9.616
1644	-11.548
1645	-17.313
1646	-50.132
1647	-25.86
1648	20.124
1649	18.942
1650	8.617
1651	11.018
1652	-25.266
1653	-38.014
1654	2.592
1655	1.676
1656	-28.254
1657	-16.982
1658	-22.921
1659	2.806
1660	-6.277
1661	-13.993
1662	-46.636
1663	11.798
1664	2.141
1665	0.418
1666	7.62
1667	5.595
1668	-22.266
1669	19.992
1670	30.354
1671	15.645
1672	-10.637
1673	9.151
1674	10.255
1675	38.594
1676	45.729
1677	37.89
1678	7.378
1679	14.143
1680	16.662
1681	45.802
1682	18.957
1683	-3.713
1684	-5.161
1685	-8.436
1686	-20.248
