# Weber River, Utah 576 Year Streamflow Reconstruction
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:16416
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/northamerica/usa/utah/weber2014flow.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#--------------------
# Contribution_Date
#	Date: 2014-05-09
#--------------------
# Title
#	Study_Name: Weber River, Utah 576 Year Streamflow Reconstruction
#--------------------
# Investigators
#       Investigators: Bekker, M.F.; DeRose, R.J.; Buckley, B.M.; Kjelgren, R.K.; Gill, N.S. 
#--------------------
# Description_and_Notes
#	Description: Weber River streamflow reconstructed for the past 576 years.  Reconstruction based on
#	pinyon pine and Douglas-fir tree ring chronologies from just east of the crest of the Wasatch Mountains 
#	(Tanner Ridge, TNR and Rattlesnake Mountain, RSM) and from the rain shadow of the Wasatch Range 
#	and south of the Uinta Mountains (Well's Draw Update, WED and Harmon Canyon, HAR).  All collections 
#	are now included in the International Tree-Ring Data Bank (UT528, UT530, UT533, UT534). Multiple linear 
#	regression was used to model and reconstruct streamflow from the tree-ring series, and principal components 
#	analysis to extract the major modes of variability from the chronologies. 
#
# 
#--------------------
# Publication 
#       Authors: Matthew F. Bekker, R. Justin DeRose, Brendan M. Buckley, Roger K. Kjelgren, and Nathan S. Gill 
#       Published_Date_or_Year: 2014-04-30 
#       Published_Title: A 576-Year Weber River Streamflow Reconstruction from Tree Rings for Water Resource Risk Assessment in the Wasatch Front, Utah
#       Journal_Name: Journal of the American Water Resources Association 
#       Volume: 
#       Edition: 
#       Issue: 
#       Pages: 
#       DOI: 10.1111/jawr.12191
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1111/jawr.12191/abstract
#       Full_Citation: 
#       Abstract: We present a 576-year tree-ring-based reconstruction of streamflow for northern Utah's Weber River that exhibits considerable interannual and decadal-scale variability. While the 20th Century instrumental period includes several extreme individual dry years, it was the century with the fewest such years of the entire reconstruction. Extended droughts were more severe in duration, magnitude, and intensity prior to the instrumental record, including the most protracted drought of the record, which spanned 16 years from 1703 to 1718. Extreme wet years and periods are also a regular feature of the reconstruction. A strong early 17th Century pluvial exceeds the early 20th Century pluvial in magnitude, duration, and intensity, and dwarfs the 1980s wet period that caused significant flooding along the Wasatch Front. The long-term hydroclimatology of northern Utah is marked by considerable uncertainty; hence, our reconstruction provides water managers with a more complete record of water resource variability for assessment of the risk of droughts and floods for one of the largest and most rapidly growing population centers in the Intermountain West.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Brigham Young University
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Charles Redd Center for Western Studies
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Bureau of Reclamation
#       Grant: WaterSmart R13AC80039
#------------------
# Site_Information 
#       Site_Name: Weber River USGS10128500
#       Location: North America>United States Of America>Utah
#	Country: USA
#	Northernmost_Latitude: 40.7372
# 	Southernmost_Latitude: 40.7372 
# 	Easternmost_Longitude: -111.2472
# 	Westernmost_Longitude: -111.2472
# 	Elevation: 2024 m  
#------------------
# Data_Collection   
#	Collection_Name: Weber2014Flow
#	Earliest_Year: 1429 
#	Most_Recent_Year: 2004
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Chronology: 
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## age_AD	Age, , , AD, , , , ,N
## flow-rec-local-m3s	Streamflow, , , cubic meters per second, water year, , , reconstructed,N
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: -9999

age_AD	flow-rec-local-m3s
Year	Recon
1429	6.132556056
1430	6.413857134
1431	6.948736947
1432	5.979729207
1433	5.83754955
1434	6.096310296
1435	6.168490329
1436	6.738653124
1437	3.688430835
1438	3.196196424
1439	4.702915677
1440	8.694536631
1441	8.745677133
1442	6.449168433
1443	8.219264103
1444	5.719609245
1445	6.359177007
1446	7.33608519
1447	8.179223865
1448	6.17423868
1449	6.403832916
1450	5.954668662
1451	9.736828767
1452	10.06006732
1453	8.924725524
1454	7.783295571
1455	8.452567866
1456	3.767916654
1457	6.68167932
1458	6.157588284
1459	3.686476962
1460	1.259058771
1461	2.256383511
1462	7.986186876
1463	10.19208118
1464	7.490186304
1465	4.997044356
1466	5.816764872
1467	6.93426696
1468	6.031492683
1469	6.702322413
1470	6.030558222
1471	4.150904079
1472	4.555978764
1473	4.51741101
1474	2.087132802
1475	0.845715522
1476	6.231354069
1477	7.471072329
1478	7.904152527
1479	4.582313574
1480	5.014997334
1481	5.262629499
1482	6.479920695
1483	7.83757926
1484	9.438565806
1485	7.498681404
1486	7.098109122
1487	6.009745227
1488	5.887302519
1489	5.872521045
1490	7.366356063
1491	7.054274406
1492	4.738680048
1493	5.093973447
1494	5.254304301
1495	1.945746021
1496	2.508404811
1497	3.941188377
1498	6.027669888
1499	3.108045603
1500	2.548614951
1501	6.157616601
1502	7.347921696
1503	6.265787541
1504	5.234425767
1505	1.392148671
1506	0.956661528
1507	4.869164784
1508	7.754270646
1509	8.362944561
1510	4.543406016
1511	6.151358544
1512	7.243262064
1513	6.985350828
1514	8.132585766
1515	4.70486955
1516	7.931563383
1517	6.394431672
1518	3.226382346
1519	7.441169577
1520	6.838951938
1521	7.383431214
1522	5.229158805
1523	7.844998314
1524	7.941559284
1525	8.52030213
1526	7.411634946
1527	7.070216877
1528	5.273503227
1529	3.288481527
1530	4.113808809
1531	3.678689787
1532	0.976455111
1533	4.581747234
1534	5.836586772
1535	7.920944508
1536	9.163721004
1537	6.51206049
1538	6.255621738
1539	5.722469262
1540	5.008342839
1541	4.966858434
1542	3.55689837
1543	3.328550082
1544	3.30062952
1545	3.499358226
1546	6.737916882
1547	7.359956421
1548	8.947973781
1549	9.953368866
1550	9.089841951
1551	8.050862904
1552	7.401610728
1553	7.085309838
1554	4.785204879
1555	6.430875651
1556	7.512670002
1557	7.364147337
1558	4.946753364
1559	5.168645376
1560	6.243360477
1561	7.170062619
1562	7.913440503
1563	7.705197285
1564	8.462846937
1565	7.382978142
1566	5.347410597
1567	5.705762232
1568	5.011032954
1569	5.689706493
1570	5.375840865
1571	5.322859758
1572	5.616648633
1573	4.761588501
1574	4.036644984
1575	4.370983803
1576	4.835071116
1577	8.414056746
1578	7.286218953
1579	3.204011916
1580	0.787807257
1581	5.704006578
1582	6.577387809
1583	5.308474722
1584	1.951239519
1585	2.153989239
1586	5.878495932
1587	6.670125984
1588	6.403832916
1589	6.969351723
1590	3.833300607
1591	3.971261031
1592	3.2394648
1593	5.583715962
1594	6.720841731
1595	7.179010791
1596	7.786268856
1597	5.676255918
1598	4.382367237
1599	5.318045868
1600	2.474509362
1601	7.214973381
1602	8.066890326
1603	8.089402341
1604	8.253697575
1605	8.514497145
1606	7.390708683
1607	4.4117886
1608	6.73463211
1609	9.031650516
1610	8.360282763
1611	7.261668114
1612	6.815731998
1613	5.870708757
1614	7.30210479
1615	7.946911197
1616	8.777533758
1617	10.07858664
1618	9.824696418
1619	7.258270074
1620	7.033574679
1621	9.00452283
1622	5.751975576
1623	6.146572971
1624	5.834661216
1625	6.267911316
1626	4.149997935
1627	5.284830027
1628	5.398154661
1629	4.981866444
1630	4.356117378
1631	2.565010494
1632	1.523143113
1633	6.945112371
1634	4.442455911
1635	3.272510739
1636	4.798174065
1637	3.301620615
1638	3.895229886
1639	4.443701859
1640	8.8122504
1641	7.884387261
1642	8.716907061
1643	7.461444549
1644	6.432008331
1645	4.241376894
1646	5.025021552
1647	7.382949825
1648	5.813989806
1649	7.333423392
1650	6.092997207
1651	5.859268689
1652	3.967438236
1653	3.922131036
1654	7.176830382
1655	6.970937475
1656	7.38479043
1657	6.628698213
1658	6.899748537
1659	5.84915952
1660	4.880095146
1661	3.559673436
1662	6.077054736
1663	4.94754624
1664	5.138232918
1665	4.889949462
1666	5.816283483
1667	3.982021491
1668	5.128406919
1669	6.114065055
1670	5.239862631
1671	4.922712231
1672	6.140286597
1673	7.133873493
1674	7.980976548
1675	7.194471873
1676	8.312710203
1677	6.22435977
1678	6.558358785
1679	7.583604087
1680	8.542559292
1681	6.374836308
1682	6.161665932
1683	6.993109686
1684	5.973414516
1685	3.172013706
1686	4.370105976
1687	8.900004783
1688	8.140401258
