age_CE,JR560_raw,JR5611_raw,JR5612_raw,JR566_raw,JR560_raw_outlier_flag,JR5611_raw_outlier_flag,JR5612_raw_outlier_flag,JR566_raw_outlier_flag
1378,2.65,NA,NA,NA,FALSE,NA,NA,NA
1379,2.35,NA,NA,NA,FALSE,NA,NA,NA
1380,1.94,NA,NA,NA,FALSE,NA,NA,NA
1381,1.83,NA,NA,NA,FALSE,NA,NA,NA
1382,2.06,NA,NA,NA,FALSE,NA,NA,NA
1383,1.82,NA,NA,NA,FALSE,NA,NA,NA
1384,2.39,NA,NA,NA,FALSE,NA,NA,NA
1385,2.25,NA,NA,NA,FALSE,NA,NA,NA
1386,1.64,NA,NA,NA,FALSE,NA,NA,NA
1387,1.23,NA,NA,NA,FALSE,NA,NA,NA
1388,1.45,NA,NA,NA,FALSE,NA,NA,NA
1389,1.3,NA,NA,NA,FALSE,NA,NA,NA
1390,1.48,NA,NA,NA,FALSE,NA,NA,NA
1391,1.36,NA,NA,NA,FALSE,NA,NA,NA
1392,2,NA,NA,NA,FALSE,NA,NA,NA
1393,2.03,NA,NA,NA,FALSE,NA,NA,NA
1394,1.53,NA,NA,NA,FALSE,NA,NA,NA
1395,1.68,NA,NA,NA,FALSE,NA,NA,NA
1396,1.45,NA,NA,NA,FALSE,NA,NA,NA
1397,1.4,NA,NA,NA,FALSE,NA,NA,NA
1398,1.72,NA,NA,NA,FALSE,NA,NA,NA
1399,1.57,NA,NA,NA,FALSE,NA,NA,NA
1400,2.17,NA,NA,NA,FALSE,NA,NA,NA
1401,1.43,NA,NA,NA,FALSE,NA,NA,NA
1402,1.41,NA,NA,NA,FALSE,NA,NA,NA
1403,1.07,NA,NA,NA,FALSE,NA,NA,NA
1404,1.57,NA,NA,NA,FALSE,NA,NA,NA
1405,1.43,NA,NA,NA,FALSE,NA,NA,NA
1406,1.56,NA,NA,NA,FALSE,NA,NA,NA
1407,1.45,NA,NA,NA,FALSE,NA,NA,NA
1408,1.06,NA,NA,NA,FALSE,NA,NA,NA
1409,1.48,NA,NA,NA,FALSE,NA,NA,NA
1410,1.58,NA,NA,NA,FALSE,NA,NA,NA
1411,1.08,NA,NA,NA,FALSE,NA,NA,NA
1412,1.72,NA,NA,NA,FALSE,NA,NA,NA
1413,1.6,NA,3.93,NA,FALSE,NA,FALSE,NA
1414,1.4,NA,3.96,NA,FALSE,NA,FALSE,NA
1415,1.54,NA,3.52,NA,FALSE,NA,FALSE,NA
1416,1.19,NA,2.57,NA,FALSE,NA,FALSE,NA
1417,1.07,NA,2.27,NA,FALSE,NA,FALSE,NA
1418,0.96,NA,2.13,NA,FALSE,NA,FALSE,NA
1419,1.35,NA,3.41,NA,FALSE,NA,FALSE,NA
1420,0.77,NA,4.29,NA,FALSE,NA,FALSE,NA
1421,1.09,NA,4.01,NA,FALSE,NA,FALSE,NA
1422,1.02,NA,3.05,NA,FALSE,NA,FALSE,NA
1423,1.25,NA,3.97,NA,FALSE,NA,FALSE,NA
1424,1.34,NA,3.96,NA,FALSE,NA,FALSE,NA
1425,1.31,NA,3.32,NA,FALSE,NA,FALSE,NA
1426,1.34,NA,2.7,NA,FALSE,NA,FALSE,NA
1427,1.33,NA,2.76,NA,FALSE,NA,FALSE,NA
1428,1.51,NA,3.18,NA,FALSE,NA,FALSE,NA
1429,2.28,NA,3.74,NA,FALSE,NA,FALSE,NA
1430,3,NA,4.07,NA,FALSE,NA,FALSE,NA
1431,2.2,3.36,4.07,NA,FALSE,FALSE,FALSE,NA
1432,2.3,2.45,4.11,NA,FALSE,FALSE,FALSE,NA
1433,2.59,1.97,3.22,NA,FALSE,FALSE,FALSE,NA
1434,2.35,2.4,3.72,NA,FALSE,FALSE,FALSE,NA
1435,2.29,3.76,4.57,NA,FALSE,FALSE,FALSE,NA
1436,3.04,2.43,4.3,NA,FALSE,FALSE,FALSE,NA
1437,2.02,2.23,4.64,NA,FALSE,FALSE,FALSE,NA
1438,2.33,2.39,4.54,NA,FALSE,FALSE,FALSE,NA
