tree,n_missing_total,n_missing_1980_on,n_outliers_total
Ham01a_raw,1121,45,7
Ham01b_raw,1153,45,4
Ham01c_raw,1189,45,5
Ham01d_raw,1128,45,5
Ham01e_raw,1128,45,5
Ham01f_raw,1135,45,5
Ham02a_raw,1164,45,0
Ham02b_raw,1161,45,0
Ham02c_raw,1236,45,5
Ham03a_raw,1251,45,7
Ham03b_raw,1261,45,5
Ham03c_raw,1308,45,1
Ham04a_raw,1311,45,0
Ham04b_raw,1320,45,0
Ham05a_raw,1269,45,0
Ham05b_raw,1293,45,0
Ham05d_raw,1195,45,2
Ham05e_raw,1213,45,0
Ham05f_raw,1237,45,2
Ham07a_raw,1266,45,4
Ham08b_raw,1261,45,0
Ham08c_raw,1265,45,1
