age_CE,CRL05A_raw,CRL05B_raw,CRL17A_raw,CRL17B_raw,CRL05A_raw_outlier_flag,CRL05B_raw_outlier_flag,CRL17A_raw_outlier_flag,CRL17B_raw_outlier_flag
1570,NA,NA,2.09,NA,NA,NA,FALSE,NA
1571,NA,NA,1.62,NA,NA,NA,FALSE,NA
1572,NA,NA,2.35,NA,NA,NA,FALSE,NA
1573,NA,NA,3.29,3.23,NA,NA,TRUE,TRUE
1574,NA,NA,3.28,3.26,NA,NA,TRUE,TRUE
1575,NA,NA,3.74,3.69,NA,NA,TRUE,TRUE
1576,NA,NA,2.86,2.85,NA,NA,FALSE,FALSE
1577,NA,NA,2.49,2.53,NA,NA,FALSE,FALSE
1578,NA,NA,2.57,2.59,NA,NA,FALSE,FALSE
1579,NA,NA,2.13,2.1,NA,NA,FALSE,FALSE
1580,NA,NA,1.86,1.88,NA,NA,FALSE,FALSE
1581,NA,NA,1.86,1.74,NA,NA,FALSE,FALSE
1582,NA,NA,2.13,2.04,NA,NA,FALSE,FALSE
1583,NA,NA,2.53,2.54,NA,NA,FALSE,FALSE
1584,NA,NA,2.15,2.17,NA,NA,FALSE,FALSE
1585,NA,NA,2.43,2.39,NA,NA,FALSE,FALSE
1586,NA,NA,1.84,1.68,NA,NA,FALSE,FALSE
1587,NA,NA,1.59,1.58,NA,NA,FALSE,FALSE
1588,NA,NA,1.84,1.84,NA,NA,FALSE,FALSE
1589,NA,NA,1.81,1.91,NA,NA,FALSE,FALSE
1590,NA,NA,2.08,2.14,NA,NA,FALSE,FALSE
1591,NA,NA,1.47,1.56,NA,NA,FALSE,FALSE
1592,NA,NA,2.05,1.97,NA,NA,FALSE,FALSE
1593,NA,NA,1.86,1.71,NA,NA,FALSE,FALSE
1594,NA,NA,1.43,1.3,NA,NA,FALSE,FALSE
1595,NA,NA,1.41,1.41,NA,NA,FALSE,FALSE
1596,NA,NA,1.47,1.38,NA,NA,FALSE,FALSE
1597,NA,NA,1.9,1.74,NA,NA,FALSE,FALSE
1598,NA,NA,1.78,1.74,NA,NA,FALSE,FALSE
1599,2.28,2.37,1.98,1.77,FALSE,FALSE,FALSE,FALSE
1600,1.86,1.92,1.43,1.47,FALSE,FALSE,FALSE,FALSE
1601,2.06,2.26,1.6,1.56,FALSE,FALSE,FALSE,FALSE
1602,2.69,2.82,1.65,1.72,FALSE,FALSE,FALSE,FALSE
1603,2.37,2.36,1.17,1.15,FALSE,FALSE,FALSE,FALSE
1604,2.13,1.99,1.48,1.47,FALSE,FALSE,FALSE,FALSE
1605,1.4,1.2,1.53,1.41,FALSE,FALSE,FALSE,FALSE
1606,1.54,1.56,1.62,1.54,FALSE,FALSE,FALSE,FALSE
1607,2.36,2.35,1.83,1.73,FALSE,FALSE,FALSE,FALSE
1608,3.69,3.6,1.74,1.81,TRUE,TRUE,FALSE,FALSE
1609,2.78,2.7,1.57,1.64,FALSE,FALSE,FALSE,FALSE
1610,2.25,2.22,1.63,1.69,FALSE,FALSE,FALSE,FALSE
1611,4.33,4.64,1.9,1.97,TRUE,TRUE,FALSE,FALSE
1612,3.38,3.44,1.57,1.71,TRUE,TRUE,FALSE,FALSE
1613,2.38,2.55,1.43,1.47,FALSE,FALSE,FALSE,FALSE
1614,1.92,1.96,1.61,1.66,FALSE,FALSE,FALSE,FALSE
1615,1.95,1.87,1.58,1.51,FALSE,FALSE,FALSE,FALSE
1616,2.03,1.96,1.54,1.48,FALSE,FALSE,FALSE,FALSE
1617,1.83,1.67,1.7,1.76,FALSE,FALSE,FALSE,FALSE
1618,1.14,1.1,1.36,1.4,FALSE,FALSE,FALSE,FALSE
