Stand,Treeid,Year,Species(neighbor),Distance(neighbor),DBH(neighbor),Canopy?,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A1,2008,Tshe,6.36,11.1,,canopy never observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A1,2008,Tshe,7.83,17.8,,canopy never observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A1,2008,Tshe,7.59,18.8,,canopy never observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A1,2008,Tshe,8.24,22.7,,canopy never observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A1,2008,Tshe,7.99,30.2,y,"measured @ 5'2"" from ground, tree on stump 2.5' high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A1,2008,Tshe,5.05,34.9,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A1,2008,Tshe,6.9,58.6,,canopy never observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A1,2008,Tshe,8.21,79.6,,canopy never observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A1,2008,Thpl,9.49,180.0,,canopy never observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,6.67,10.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Acci,3.81,10.2,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,8.57,10.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Acci,5.17,11.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,1.09,12.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,3.54,14.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,2.72,16.2,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,2.3,17.2,n,Assumed not in canopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,7.22,18.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,7.9,20.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Abam,6.23,20.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,7.64,25.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,8.02,30.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,6.25,33.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Tshe,5.16,76.0,y,A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A10,2008,Thpl,8.01,94.1,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Abam,5.99,10.2,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,4.58,10.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
