"","years","Tag","Ring_width(mm)"
"1",1866,"SR335201",NA
"2",1866,"SR335202",NA
"3",1866,"SR335204",NA
"4",1866,"SR335208",0.593
"5",1866,"SR335210",NA
"6",1866,"SR335211",NA
"7",1866,"SR335213",NA
"8",1866,"SR335214",NA
"9",1866,"SR335215",NA
"10",1866,"SR335216",NA
"11",1866,"SR335219",NA
"12",1866,"SR335223",NA
"13",1866,"SR335225",NA
"14",1866,"SR335236",NA
"15",1866,"SR335237",NA
"16",1866,"SR342601",NA
"17",1866,"SR342602",NA
"18",1866,"SR342604",NA
"19",1866,"SR342605",NA
"20",1866,"SR342606",NA
"21",1866,"SR342609",NA
"22",1866,"SR342610",NA
"23",1866,"SR342616",NA
"24",1866,"SR342619",NA
"25",1866,"SR342620",NA
"26",1866,"SR342622",NA
"27",1866,"SR434323...29",NA
"28",1866,"SR342624",NA
"29",1866,"SR342627",NA
"30",1866,"SR342628",NA
"31",1866,"SR342632",NA
"32",1866,"SR358702",NA
"33",1866,"SR358711",NA
"34",1866,"SR358723",NA
"35",1866,"SR358724",NA
"36",1866,"SR358726",NA
"37",1866,"SR358728",NA
"38",1866,"SR358730",NA
"39",1866,"SR358739",NA
"40",1866,"SR358742",NA
"41",1866,"SR358746",NA
"42",1866,"SR358748",NA
"43",1866,"SR358750",NA
"44",1866,"SR358751",NA
"45",1866,"SR404701",NA
"46",1866,"SR404702",NA
"47",1866,"SR404704",NA
"48",1866,"SR404707",NA
"49",1866,"SR404709",NA
"50",1866,"SR404710",NA
"51",1866,"SR404713",NA
"52",1866,"SR404715",NA
"53",1866,"SR404716",NA
"54",1866,"SR404717",NA
"55",1866,"SR404718",NA
"56",1866,"SR404724",NA
"57",1866,"SR404729",NA
"58",1866,"SR404730",NA
"59",1866,"SR404731",NA
"60",1866,"SR434307",NA
"61",1866,"SR434308",NA
"62",1866,"SR434309",NA
"63",1866,"SR434312",NA
"64",1866,"SR434315",NA
"65",1866,"SR434316",NA
"66",1866,"SR434318",NA
"67",1866,"SR434323...69",NA
"68",1866,"SR434326",NA
"69",1866,"SR434328",NA
"70",1866,"SR434329",NA
"71",1866,"SR434330",NA
"72",1866,"SR434334",NA
"73",1866,"SR434343",NA
"74",1866,"SR434345",NA
"75",1867,"SR335201",NA
"76",1867,"SR335202",NA
"77",1867,"SR335204",NA
"78",1867,"SR335208",0.757
"79",1867,"SR335210",NA
"80",1867,"SR335211",NA
"81",1867,"SR335213",NA
"82",1867,"SR335214",NA
"83",1867,"SR335215",NA
"84",1867,"SR335216",NA
"85",1867,"SR335219",NA
"86",1867,"SR335223",NA
"87",1867,"SR335225",NA
"88",1867,"SR335236",NA
"89",1867,"SR335237",NA
"90",1867,"SR342601",NA
"91",1867,"SR342602",NA
"92",1867,"SR342604",NA
"93",1867,"SR342605",NA
"94",1867,"SR342606",NA
"95",1867,"SR342609",NA
"96",1867,"SR342610",NA
"97",1867,"SR342616",NA
"98",1867,"SR342619",NA
"99",1867,"SR342620",NA
"100",1867,"SR342622",NA
"101",1867,"SR434323...29",NA
"102",1867,"SR342624",NA
"103",1867,"SR342627",NA
"104",1867,"SR342628",NA
"105",1867,"SR342632",NA
"106",1867,"SR358702",NA
