tree,n_missing_total,n_missing_1980_on,n_outliers_total
RRR018A_raw,120,13,5
RRR011A_raw,112,13,3
RRR012A_raw,184,13,6
RRR022B_raw,126,13,2
RRR024B_raw,79,13,10
RRR021B_raw,256,13,1
RRR001A_raw,15,14,8
RRR004A_raw,153,14,4
RRR005B_raw,140,14,6
RRR006A_raw,236,14,2
RRR007A_raw,182,14,1
RRR003A_raw,153,14,2
RRR008B_raw,66,13,7
RRR010B_raw,87,13,6
RRR017A_raw,81,13,3
RRR013A_raw,117,13,6
RRR026B_raw,139,14,4
RRR029A_raw,118,13,1
RRR017D_raw,100,12,6
RRR024C_raw,100,12,3
RRR024D_raw,111,12,3
RRR016C_raw,222,13,1
RRR001D_raw,16,12,7
RRR001C_raw,12,12,7
RRR019B_raw,98,13,3
RRR020A_raw,180,13,4
RRR030B_raw,195,24,2
RRR009B_raw,159,13,2
RRR009A_raw,43,14,13
RRR014C_raw,158,14,4
