crn,prec,pSignicance_p,Tmax,tmxSignicance_p,Tmin,tmnSignicance_p,summerP,sumpSignicance_p,springP,sppSignicance_p,wsP,wspSignicance_p,FIT6,6Signicance_p,FIT12,12Signicance_p,FIT24,24Signicance_p,FIT48,48Signicance_p
HSUs,0.31,0.00,-0.24,0.05,-0.04,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSUr,0.33,0.00,-0.25,0.03,-0.07,0.44,0.32,0.01,0.34,0.00,0.54,0.00,0.07,0.57,0.12,0.31,0.25,0.04,0.10,0.39
LCUs,-0.12,0.31,-0.12,0.31,-0.39,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCUr,-0.15,0.22,-0.03,0.65,-0.20,0.07,-0.14,0.00,-0.29,0.00,-0.21,0.00,0.02,0.86,0.04,0.77,0.40,0.00,0.46,0.00
VMUs,0.38,0.00,-0.26,0.01,-0.02,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VMUr,0.44,0.00,-0.27,0.01,0.01,0.84,0.49,0.25,0.45,0.01,0.60,0.08,0.11,0.34,0.16,0.18,0.33,0.00,0.23,0.06
MLUs,0.13,0.25,-0.07,0.80,0.25,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLUr,0.28,0.01,-0.08,0.67,0.11,0.28,0.44,0.00,0.26,0.03,0.36,0.00,0.15,0.22,0.13,0.27,0.15,0.21,0.03,0.80
CO635s,-0.05,0.70,-0.03,0.82,-0.17,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO635r,-0.11,0.43,-0.09,0.52,-0.18,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO634s,-0.02,0.86,-0.08,0.48,-0.08,0.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO634r,-0.07,0.60,-0.10,0.38,-0.12,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO633s,-0.09,0.52,0.06,0.64,-0.10,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO633r,-0.12,0.36,0.02,0.92,-0.13,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO622s,0.27,0.04,-0.01,0.98,0.26,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO622r,0.35,0.01,-0.05,0.75,0.18,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO586s,-0.03,0.85,0.00,0.72,-0.43,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO586r,-0.01,0.94,-0.02,0.88,-0.25,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO581s,0.07,0.63,-0.46,0.00,-0.07,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO581r,0.22,0.12,-0.24,0.10,-0.01,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO613s,0.46,0.00,-0.05,0.55,0.16,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO613r,0.49,0.00,-0.08,0.41,0.10,0.63,NA,NA,NA,NA,NA,NA,0.38,0.00,0.41,0.00,0.47,0.00,0.21,0.13
CO598s,0.39,0.00,0.22,0.20,0.46,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO598r,0.44,0.00,0.16,0.36,0.34,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO563s,0.01,0.94,0.23,0.14,0.53,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO563r,0.20,0.13,-0.04,0.64,0.18,0.24,NA,NA,NA,NA,NA,NA,0.27,0.05,0.28,0.04,-0.08,0.58,-0.15,0.29
CO549s,0.11,0.49,-0.01,0.92,0.11,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO549r,-0.04,0.82,-0.04,0.88,-0.12,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO547s,0.27,0.08,0.20,0.30,0.41,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO547r,0.29,0.07,0.12,0.45,0.34,0.02,NA,NA,NA,NA,NA,NA,-0.24,0.13,-0.20,0.22,-0.28,0.08,-0.48,0.00
CO546s,0.09,0.58,0.16,0.54,0.35,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO546r,0.32,0.04,0.05,0.86,0.26,0.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
