age_CE,HHTL01B_raw,HHTL02B_raw,HHTL03B_raw,HHTL04A_raw,HHTL05B_raw,HHTL06B_raw,HHTL07B_raw,HHTL08B_raw,HHTL09B_raw,HHTL10B_raw,HHTL12A_raw,HHTL13B_raw,HHTL14A_raw,HHTL15B_raw,HHTL16B_raw,HHTL17B_raw,HHTL18B_raw,HHTL19B_raw,HHTL20B_raw,HHTL01B_raw_outlier_flag,HHTL02B_raw_outlier_flag,HHTL03B_raw_outlier_flag,HHTL04A_raw_outlier_flag,HHTL05B_raw_outlier_flag,HHTL06B_raw_outlier_flag,HHTL07B_raw_outlier_flag,HHTL08B_raw_outlier_flag,HHTL09B_raw_outlier_flag,HHTL10B_raw_outlier_flag,HHTL12A_raw_outlier_flag,HHTL13B_raw_outlier_flag,HHTL14A_raw_outlier_flag,HHTL15B_raw_outlier_flag,HHTL16B_raw_outlier_flag,HHTL17B_raw_outlier_flag,HHTL18B_raw_outlier_flag,HHTL19B_raw_outlier_flag,HHTL20B_raw_outlier_flag
1765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1767,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1768,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
1769,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1770,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1771,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1772,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1773,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1774,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1775,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1776,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1777,2.21,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1778,2.11,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,2.81,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA
1779,2.12,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,1.07,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1780,2.52,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,2.27,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1781,2.06,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.96,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1782,2.33,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,1.88,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1783,2.78,1.83,2.58,NA,NA,NA,NA,NA,NA,NA,3.12,NA,NA,0.87,2.3,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1784,1.82,1.84,1.91,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,0.94,1.27,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1785,2.2,1.64,1.84,NA,NA,NA,NA,NA,NA,NA,3.07,NA,NA,0.83,1.22,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1786,2.82,1.49,1.31,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,0.54,0.71,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1787,2.34,1.47,1.26,NA,NA,NA,NA,NA,NA,NA,2.38,NA,NA,0.55,0.6,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1788,2.89,1.34,1.37,NA,NA,NA,NA,NA,NA,NA,2.55,NA,NA,0.59,1.5,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1789,2.64,1.19,1.14,NA,NA,NA,NA,NA,NA,NA,2.27,NA,NA,0.49,1.03,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1790,2.27,1.93,1.25,NA,NA,NA,NA,NA,NA,NA,1.93,NA,NA,0.86,1.7,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1791,2.73,2.44,1.5,NA,NA,NA,NA,NA,NA,NA,2.79,NA,NA,0.91,2.63,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,NA
1792,3.09,2,1.43,NA,NA,NA,NA,NA,NA,NA,2.29,NA,NA,0.51,2.13,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1793,2.49,1.99,1.38,NA,NA,1.67,NA,NA,NA,NA,1.95,NA,NA,0.68,2.43,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,NA
1794,2.75,1.8,1.37,NA,NA,1.07,NA,NA,NA,NA,1.29,NA,NA,0.9,1.22,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1795,1.78,1.21,0.97,NA,NA,0.9,NA,NA,NA,NA,0.86,NA,NA,0.85,0.84,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
