age_CE,UTP1101B_raw,UTP1101C_raw,UTP1102A_raw,UTP1102B_raw,UTP1103B_raw,UTP1103C_raw,UTP1104B_raw,UTP1104C_raw,UTP1105A_raw,UTP1105B_raw,UTP1106A_raw,UTP1106B_raw,UTP1107A_raw,UTP1107B_raw,UTP1108A_raw,UTP1108B_raw,UTP1110A_raw,UTP1110B_raw,UTP1111A_raw,UTP1111B_raw,UTP1112A_raw,UTP1112B_raw,UTP1113A_raw,UTP1113B_raw,UTP1114A_raw,UTP1114B_raw,UTP1115A_raw,UTP1115B_raw,UTP1101B_raw_outlier_flag,UTP1101C_raw_outlier_flag,UTP1102A_raw_outlier_flag,UTP1102B_raw_outlier_flag,UTP1103B_raw_outlier_flag,UTP1103C_raw_outlier_flag,UTP1104B_raw_outlier_flag,UTP1104C_raw_outlier_flag,UTP1105A_raw_outlier_flag,UTP1105B_raw_outlier_flag,UTP1106A_raw_outlier_flag,UTP1106B_raw_outlier_flag,UTP1107A_raw_outlier_flag,UTP1107B_raw_outlier_flag,UTP1108A_raw_outlier_flag,UTP1108B_raw_outlier_flag,UTP1110A_raw_outlier_flag,UTP1110B_raw_outlier_flag,UTP1111A_raw_outlier_flag,UTP1111B_raw_outlier_flag,UTP1112A_raw_outlier_flag,UTP1112B_raw_outlier_flag,UTP1113A_raw_outlier_flag,UTP1113B_raw_outlier_flag,UTP1114A_raw_outlier_flag,UTP1114B_raw_outlier_flag,UTP1115A_raw_outlier_flag,UTP1115B_raw_outlier_flag
1890,0.855,0.734,NA,NA,NA,0.813,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.464,1.356,0.072,0.302,NA,NA,0.406,0.378,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1891,0.914,0.709,NA,NA,NA,0.948,0.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845,0.747,0.49,0.189,NA,NA,0.482,0.315,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1892,0.702,0.489,NA,NA,NA,1.064,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825,0.695,0.38,0.26,NA,NA,0.423,0.442,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1893,0.183,0.166,NA,NA,NA,0.192,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,0.171,0,0.413,NA,NA,0.088,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1894,0.667,0.563,NA,NA,NA,0.834,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.861,0.585,0.317,0.317,NA,NA,0.608,0.511,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1895,0.571,0.522,NA,NA,NA,0.874,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.404,0.304,0.273,NA,NA,0.447,0.317,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1896,0.273,0.157,NA,NA,NA,0.442,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098,0.077,0,0.316,NA,NA,0.233,0.1,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1897,0.677,0.679,NA,NA,NA,0.878,0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868,0.845,0.272,0.4,NA,NA,0.776,0.8,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1898,1.246,0.882,NA,NA,1.358,1.09,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.804,0.699,0.327,0.323,NA,NA,0.73,0.536,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
1899,0.225,0.112,NA,NA,0.275,0.071,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.179,0.186,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
