Year,R04,R07,R09,R11,R13,R18,R22,R24,R33,R35,R36,R41,R44,R47,R49,R52,R58,R60,R02
2015,,1.04,0.95,2.525,,,0.9260001,,,,,,,,,,,,0.139
2014,,0.909,1.019,1.632,,,1.146,,,,,,,,,,,,0.159
2013,,1.292,1.182,1.081,,,1.109,,,,,,,,,,,,0.155
2012,,1.642,1.594,1.08,,,0.998,,,,,,,,,,,,0.165
2011,,1.281,1.003,0.93,,,1.014,1.576,1.702,0.457,0.301,0.435,0.649,0.474,0.408,0.266,0.989,0.947,0.081
2010,,1.232,1.615,1.008,,1.325,1.181,1.805,2.197,0.737,0.482,0.532,0.953,0.595,0.569,0.467,1.183,0.813,0.135
2009,1.218,1.176,1.832,1.54,1.907,1.234,1.278,2.035,2.307,0.904,0.537,0.671,0.911,0.818,0.377,0.579,1.149,0.998,0.137
2008,0.988,1.008,1.197,1.245,1.751,1.254,1.126,1.874,2.228,0.61,0.314,0.615,0.5050001,0.68,0.328,0.305,1.049,0.757,0.107
2007,0.779,1.067,1.043,1,1.612,1.122,0.984,1.697,2.475,0.567,0.518,0.451,0.816,0.533,0.338,0.349,1.052,0.807,0.096
2006,0.83,1.319,0.917,1.007,1.555,1.096,0.997,1.267,1.65,0.714,0.445,0.562,0.863,0.58,0.402,0.431,1.191,0.971,0.123
2005,0.841,1.474,0.817,1.798,2.43,1.649,1.038,1.508,1.945,0.61,0.432,0.532,0.479,0.49,0.329,0.402,1.2,1.079,0.093
2004,0.8600001,1.616,1.045,1.732,2.61,1.43,1.252,1.842,2.086,0.546,0.41,0.526,1.104,0.699,0.307,0.306,1.382,1.145,0.124
2003,0.798,1.532,0.93,1.748,2.023,1.253,1.242,1.861,1.671,0.673,0.435,0.536,1.213,0.452,0.36,0.39,1.397,1.258,0.151
2002,0.65,1.064,0.995,1.104,1.273,1.286,1.136,1.103,1.715,0.655,0.426,0.488,0.839,0.619,0.35,0.39,1.246,1.097,0.105
2001,0.8890001,1.411,1.252,1.289,1.698,1.258,0.946,1.379,1.656,0.783,0.415,0.445,0.657,0.627,0.472,0.482,1.355,1.16,0.13
2000,0.872,1.496,1.199,1.53,1.507,1.574,1.169,1.705,1.948,0.55,0.396,0.382,0.724,0.673,0.57,0.55,1.48,1.215,0.12
1999,0.599,1.218,0.969,1.198,1.364,1.278,1.173,1.378,1.381,0.254,0.33,0.289,0.449,0.552,0.315,0.365,1.056,0.99,0.06600001
1998,0.8800001,1.277,1.492,1.41,1.495,1.347,1.15,1.712,1.648,0.55,0.688,0.571,0.807,0.671,0.519,0.413,1.498,1.034,0.146
1997,0.718,1.157,1.108,1.016,1.181,0.995,0.993,1.401,1.666,0.402,0.564,0.436,0.497,0.471,0.349,0.231,1.196,0.819,0.076
1996,0.791,1.082,1.022,0.966,1.184,1.125,0.958,1.365,1.386,0.402,0.661,0.439,0.489,0.712,0.5510001,0.337,1.318,0.747,0.155
1995,0.731,1.023,0.774,0.836,1.22,0.962,0.862,0.993,1.09,0.36,0.535,0.348,0.361,0.52,0.328,0.319,1.399,0.983,0.09100001
1994,0.74,1.085,0.918,0.9520001,1.01,1.058,0.767,1.082,1.412,0.381,0.64,0.272,0.426,0.598,0.36,0.322,1.359,1.122,0.134
1993,0.5280001,0.83,0.56,0.665,0.978,0.824,0.665,1.028,1.208,0.127,0.432,0.16,0.284,0.302,0.195,0.143,1.082,0.871,0.069
1992,0.598,1.003,0.625,0.82,1.118,0.876,0.703,1.432,1.565,0.254,0.462,0.299,0.766,0.471,0.326,0.266,1.416,1.209,0.209
1991,0.522,0.846,0.593,1.087,1.12,0.482,0.564,0.705,1.333,0.233,0.381,0.28,0.808,0.425,0.225,0.2,1.263,1.087,0.173
1990,0.876,1.103,1.461,1.518,1.372,0.375,1.155,1.293,2.161,0.212,0.569,0.181,1.119,0.59,0.412,0.438,1.673,1.341,0.14
1989,0.75,0.97,0.966,1.352,0.987,0.515,1.047,1.169,1.998,0.254,0.5050001,0.18,0.359,0.37,0.225,0.287,1.242,1.103,0.162
1988,0.71,1.033,0.992,1.279,1.838,1.198,1.014,1.666,1.597,0.381,0.289,0.53,0.65,0.642,0.404,0.349,1.418,1.32,0.198
1987,0.905,1.349,0.8800001,1.519,2.397,1.2,1.006,1.351,1.237,0.254,0.552,0.663,0.789,0.68,0.556,0.475,1.489,1.505,0.176
1986,0.8560001,1.552,0.723,1.734,2.543,0.677,0.947,1.497,0.8060001,0.254,0.401,0.454,0.598,0.531,0.672,0.269,1.659,1.42,0.205
1985,0.991,1.585,0.738,1.721,1.79,0.722,1.191,1.417,0.719,0.466,0.367,0.451,0.911,0.811,0.59,0.317,1.25,1.005,0.218
1984,1.085,1.647,1.031,1.967,1.607,0.9060001,1.369,1.718,1.062,0.55,0.431,0.493,0.661,0.868,0.473,0.381,1.456,1.195,0.142
1983,0.948,1.602,1.015,1.973,2.14,1.032,0.9770001,2.012,1.394,0.465,0.187,0.385,0.317,0.553,0.3,0.235,1.16,0.958,0.139
1982,0.659,1.524,0.9810001,1.685,1.576,0.891,0.964,1.598,1.044,0.243,0.236,0.413,0.442,0.646,0.312,0.25,1.33,0.883,0.172
1981,0.823,1.857,1.222,1.68,1.754,1.093,0.978,1.448,1.126,0.307,0.277,0.4,0.445,0.61,0.315,0.3,1.726,0.99,0.151
1980,0.973,1.798,0.966,1.362,1.712,1.073,0.869,1.394,1.086,0.465,0.31,0.486,0.683,0.635,0.321,0.36,1.65,1.063,0.092
1979,0.9020001,1.354,0.75,1.178,1.462,1.088,0.8600001,1.163,0.903,0.349,0.34,0.472,0.601,0.426,0.281,0.402,1.456,0.907,0.102
1978,1.051,1.469,0.665,1.16,1.384,1.101,0.838,1.166,0.62,0.285,0.334,0.596,0.783,0.534,0.354,0.476,1.941,0.943,0.152
1977,1.315,1.788,1.208,1.878,1.922,1.232,1.057,1.421,1.309,0.296,0.472,0.788,0.923,0.7780001,0.458,0.416,2.238,1.246,0.224
1976,0.899,1.318,0.9260001,1.604,1.288,1.119,1.025,0.896,1.24,0.317,0.456,0.615,0.454,0.729,0.265,0.263,1.589,0.753,0.185
1975,0.899,1.218,1.104,1.457,1.404,1.019,0.929,0.9590001,1.308,0.183,0.455,0.598,0.662,0.701,0.406,0.375,1.984,0.896,0.173
1974,0.557,0.741,0.608,0.634,0.974,0.924,0.654,0.751,0.821,0.218,0.335,0.529,0.255,0.489,0.308,0.241,1.847,0.624,0.104
1973,0.85,0.9850001,0.917,0.913,1.335,0.967,0.8340001,0.9,1.196,0.19,0.509,0.524,0.848,0.647,0.589,0.269,2.342,0.982,0.232
1972,0.687,0.962,0.588,0.8060001,1.267,0.9390001,0.788,0.934,0.876,0.243,0.442,0.52,0.444,0.555,0.416,0.214,1.712,0.823,0.17
1971,0.696,0.928,0.853,0.795,1.049,0.859,0.804,1.178,0.697,0.349,0.45,0.358,0.563,0.748,0.7090001,0.262,1.383,0.98,0.119
1970,0.938,0.986,1.12,1.021,1.333,1.129,0.8930001,1.417,0.59,0.296,0.534,0.348,0.842,0.791,1.093,0.381,1.385,1.13,0.198
1969,0.8930001,1.064,0.943,1.12,1.423,1.098,0.914,1.293,0.451,0.296,0.402,0.394,0.586,0.56,0.818,0.304,1.216,0.998,0.162
1968,0.993,1.171,1.081,1.453,1.689,1.326,1.08,1.473,0.7780001,0.401,0.559,0.626,0.8140001,0.698,1.171,0.446,1.52,1.228,0.169
1967,1.317,1.509,1.292,1.762,1.561,1.682,1.272,1.727,0.694,0.507,0.525,0.649,0.804,0.763,1.297,0.485,1.708,1.143,0.081
1966,1.024,1.455,1.246,1.645,1.628,1.373,1.441,1.6,0.967,0.739,0.845,0.555,0.743,0.8520001,1.376,0.329,1.692,1.17,0.175
1965,1.16,1.405,1.292,1.486,1.252,1.317,1.176,1.359,0.917,0.611,0.617,0.75,0.811,0.928,1.013,0.303,1.523,1.123,0.194
1964,0.962,0.969,0.672,1.315,0.9260001,1.084,0.974,0.9770001,0.576,0.549,0.406,0.597,0.293,0.715,0.59,0.229,1.233,0.793,0.09
1963,1.039,0.9850001,0.921,1.541,1.132,1.259,0.895,1.406,0.659,0.464,0.555,0.655,0.656,0.825,0.816,0.338,1.472,1.153,0.16
1962,0.744,0.817,0.798,0.984,1.125,1.015,0.821,1.254,0.419,0.063,0.6,0.715,0.698,0.613,0.562,0.432,1.435,1.091,0.178
1961,1.144,0.911,0.762,1.221,1.556,1.064,0.867,1.626,0.339,0.211,0.7780001,0.664,0.9310001,0.758,0.8060001,0.451,2.047,1.256,0.196
1960,1.171,0.861,0.929,1.724,1.581,1.052,0.804,1.899,0.396,0.316,0.836,0.532,0.762,0.666,1.12,0.436,2.002,1.086,0.153
1959,0.888,0.777,0.8890001,1.504,1.313,1.219,0.964,1.551,0.347,0.401,0.665,0.501,0.626,0.668,0.782,0.481,1.645,0.936,0.121
1958,0.934,0.996,1.397,2.059,2.037,1.494,0.8430001,1.999,0.323,0.6760001,0.859,0.725,1.06,0.717,0.9020001,0.538,2.04,1.546,0.178
1957,0.918,0.974,1.231,1.633,1.776,1.482,0.904,1.258,0.323,0.591,0.809,0.599,0.739,0.697,0.694,0.413,1.546,1.077,0.182
1956,0.665,0.851,1.061,1.246,1.463,1.093,0.812,1.201,0.366,0.463,0.531,0.571,0.615,0.738,0.578,0.222,1.354,0.89,0.197
1955,0.679,0.854,1.058,1.057,1.466,1.16,0.722,1.083,0.254,0.483,0.454,0.606,0.441,0.716,0.341,0.286,1.743,0.945,0.153
1954,0.568,0.78,0.844,0.798,1.606,1.225,0.769,1.351,0.222,0.294,0.427,0.626,0.337,0.591,0.157,0.224,1.749,0.877,0.127
1953,0.867,0.849,1.305,1.6,2.055,1.496,0.9,1.582,0.298,0.4,0.6530001,0.659,0.666,0.701,0.406,0.243,2.193,1.038,0.177
1952,1.347,0.928,1.633,2.133,2.044,1.603,0.897,1.961,0.403,0.462,0.759,0.79,0.881,0.789,0.504,0.361,2.381,1.231,0.236
1951,1.838,1.232,2.438,2.636,1.951,1.676,1.306,2.356,0.712,0.841,0.8,1.177,0.915,0.937,0.661,0.504,2.752,1.367,0.207
1950,1.225,1.276,1.962,2.151,1.622,1.394,0.9520001,1.957,0.399,0.761,0.522,0.886,0.445,0.739,0.527,0.359,2.457,1.142,0.161
1949,0.863,1.213,1.256,1.219,1.285,1.254,0.84,1.546,0.479,0.698,0.574,0.646,0.509,0.688,0.577,0.299,1.984,0.771,0.188
1948,0.85,1.394,1.299,1.657,1.842,1.46,1.179,1.738,0.647,0.826,0.684,0.811,0.9220001,0.947,0.857,0.446,1.865,1.152,0.243
1947,0.873,1.539,1.192,1.379,1.651,1.394,1.143,1.676,0.6530001,0.698,0.759,0.704,0.745,0.783,0.68,0.258,1.325,1.314,0.237
1946,0.916,1.44,0.964,1.25,1.809,1.489,1.117,1.44,0.576,0.634,0.837,0.659,0.637,0.663,0.548,0.389,1.574,1.276,0.185
1945,1.271,1.64,1.131,1.686,2.082,1.702,1.336,1.601,0.477,0.866,0.8100001,0.802,0.8470001,0.692,1.163,0.47,1.48,1.592,0.18
