Year,P01,P02,P03,P11,P12,P13,P14,P15,P16,P18,P19,P41,P04,P05,P06,P07,P08,P09,P10,P17
2015,,,,,,,,,,,,,1.124,1.642,0.8890001,0.913,1.218,1.046,0.895,1.717
2014,,,,,,,,,,,,,1.06,1.353,0.832,0.699,1.04,0.708,0.803,1.523
2013,,,,,,,,,,,,,1.196,1.396,0.729,0.502,0.771,0.553,0.757,1.3
2012,,,,,,,,,,,,,1.433,1.536,0.971,0.512,0.735,0.68,0.903,1.215
2011,,,,,,,,,,,,,1.1,0.855,0.816,0.398,0.619,0.479,0.8600001,0.696
2010,,,,,,,,,,,,,0.946,0.983,0.54,0.382,0.679,0.321,0.954,1.038
2009,,,,,,,,,,,,,1.059,0.91,0.813,0.467,0.762,0.692,1.106,1.138
2008,0.602,1.743,1.671,0.678,3.223,1.789,0.754,1.387,1.568,1.262,1.434,0.424,1.052,0.825,0.658,0.366,0.499,0.594,0.682,0.919
2007,0.569,1.915,1.825,0.634,3.913,2.066,0.956,1.814,1.963,1.039,2.082,0.602,0.777,0.804,0.744,0.392,0.652,0.59,0.632,1.337
2006,0.549,2.301,1.637,0.734,3.682,1.864,1.021,1.608,1.983,1.5,2.283,0.661,0.971,0.697,0.54,0.33,0.563,0.601,0.711,1.318
2005,0.9310001,1.786,2.183,0.702,4.579,2.414,0.934,2.626,2.895,1.538,2.064,0.601,1.267,1.008,0.759,0.501,0.704,1.029,0.723,1.466
2004,0.576,2.426,1.947,0.748,3.935,2.654,0.757,2.682,2.582,1.933,2.666,0.461,0.944,0.9680001,0.786,0.404,0.687,1.078,0.818,1.675
2003,0.695,2.342,2.152,0.399,3.578,2.389,0.8930001,2.068,2.298,1.423,2.606,0.348,1.102,1.091,0.848,0.483,0.835,0.812,0.808,1.343
2002,0.547,2.142,1.341,0.384,3.984,1.962,0.657,1.317,1.59,1.472,2.216,0.191,1.009,0.736,0.742,0.42,0.656,0.721,0.761,0.936
2001,0.808,2.599,1.856,0.591,4.654,2.295,0.921,2.165,2.206,1.511,2.632,0.652,1.19,0.969,1.09,0.707,0.865,0.983,0.884,1.322
2000,0.714,2.545,1.94,0.373,4.636,2.065,0.7320001,1.952,2.311,1.373,2.689,0.945,1.033,0.898,0.844,0.534,0.746,0.914,0.743,1.152
1999,0.418,1.574,1.09,0.325,2.813,1.582,0.396,1.297,1.174,0.8520001,1.944,0.988,0.648,0.464,0.538,0.317,0.418,0.575,0.491,0.486
1998,0.661,2.661,1.782,0.438,4.902,2.656,0.685,2.369,2.239,1.758,4.29,2.507,1.071,0.958,0.613,0.387,0.723,1.03,0.658,0.881
1997,0.45,1.36,1.061,0.272,2.46,1.703,0.52,1.294,1.51,0.751,2.019,0.897,0.782,0.583,0.506,0.335,0.45,0.576,0.464,0.438
1996,0.9220001,2.123,2.049,0.574,3.755,2.828,1.269,2.03,2.789,1.421,3.366,1.645,1.187,1.294,0.937,0.665,0.855,0.745,0.731,1.372
1995,0.686,1.634,1.567,0.467,3.345,2.139,0.811,1.549,2.108,1.108,2.121,1.494,0.967,0.988,0.833,0.546,0.666,0.7550001,0.544,0.98
1994,0.956,2.419,2.331,0.513,3.876,2.777,1.284,2.225,2.629,1.369,2.492,1.9,1.325,1.443,1.16,0.786,0.927,0.988,0.912,1.192
1993,0.628,1.306,1.147,0.422,2.514,1.575,0.804,1.224,1.681,0.781,1.503,1.183,0.857,0.7090001,0.82,0.582,0.71,0.595,0.618,0.738
1992,0.752,1.844,2.368,0.404,3.003,2.549,1.07,1.827,2.46,1.251,3,1.537,1.192,1.016,0.998,0.673,0.932,0.808,0.835,1.022
1991,0.526,1.428,1.38,0.302,2.222,1.776,0.583,1.235,1.812,0.822,2.038,1.086,0.821,0.693,0.618,0.376,0.605,0.532,0.679,0.769
1990,0.9020001,2.849,2.115,0.416,2.057,2.793,1.345,1.576,2.129,1.612,3.659,2,1.325,1.289,0.9020001,0.56,0.85,0.85,1.075,1.145
1989,0.763,1.807,1.233,0.34,1.004,2.143,0.747,1.02,1.488,0.9,2.588,1.1,0.93,1.021,0.618,0.39,0.59,0.548,0.805,0.656
1988,1.05,2.467,2.285,0.708,3.282,2.64,1.118,1.788,2.721,1.27,3.14,1.501,1.359,1.3,1.079,0.616,0.87,0.698,1.178,1.547
1987,1.138,2.814,2.458,0.97,2.729,2.598,1.209,2.32,3.309,1.354,3.391,1.982,1.478,1.453,1.207,0.698,1.019,0.753,1.135,1.615
1986,1.139,2.623,2.089,0.964,2.283,2.13,1.011,2.107,3.123,1.572,3.58,2.585,1.294,1.243,1.021,0.689,0.9,0.8270001,0.9850001,1.419
1985,1.125,2.437,2.301,1.129,3.09,2.37,1.318,2.23,2.291,1.904,3.56,2.63,1.412,1.187,1.205,0.608,1.051,0.995,1.215,1.886
1984,0.97,2.354,2.229,0.691,3.069,2.628,1.139,2.166,2.481,1.613,3.216,2.677,1.469,1.115,1.088,0.535,0.8850001,0.846,0.997,1.647
1983,0.987,1.957,1.745,0.265,2.476,1.607,0.685,1.976,2.387,0.908,2.698,1.995,1.189,1.036,0.818,0.461,0.514,0.608,0.742,0.948
1982,0.765,1.759,1.522,0.407,1.418,1.598,0.649,1.281,1.698,0.82,2.403,1.407,0.996,0.809,0.716,0.424,0.609,0.537,0.575,0.842
1981,1.423,2.986,2.723,0.481,2.483,2.478,1.288,2.173,2.535,1.269,3.49,1.851,1.62,1.755,1.24,0.675,0.961,0.933,0.771,1.669
1980,0.982,2.549,2.585,0.426,2.062,2.093,0.964,1.808,2.21,0.85,2.986,1.433,1.428,1.433,1.161,0.566,0.921,0.713,0.776,1.391
1979,1.007,2.783,2.364,0.416,2.085,2.115,0.9720001,2.148,2.324,0.938,3.795,1.729,1.358,1.37,1.117,0.524,0.797,0.692,0.736,1.508
1978,0.837,2.815,2.248,0.354,2.06,2.211,0.891,2.193,2.413,1.077,3.805,1.686,1.579,1.278,0.743,0.412,0.553,0.614,0.7090001,1.08
