Year,P141,P143,P145,P146,P147,P148,P092,P133,P135,P139
2011,1.811,2.287,0.287,1.811,0.183,0.519,2.092,0.751,0.688,0.761
2010,1.855,2.102,0.372,1.63,0.216,0.666,1.749,0.546,1.044,1.032
2009,2.276,2.466,0.384,1.747,0.235,0.746,1.846,0.625,0.892,1.399
2008,1.959,2.198,0.406,1.732,0.198,0.8470001,2.187,0.541,0.897,1.336
2007,1.806,2.409,0.386,1.494,0.24,0.886,1.907,0.466,0.859,1.114
2006,1.775,2.507,0.425,1.714,0.226,1.217,2.231,0.511,0.796,1.176
2005,2.207,3.075,0.488,1.914,0.357,1.24,2.104,0.618,0.658,1.03
2004,1.86,2.62,0.508,1.671,0.272,0.904,1.99,0.624,0.726,1.043
2003,1.759,2.751,0.403,2.074,0.345,0.984,1.75,0.635,0.751,0.9310001
2002,2.15,2.678,0.482,1.79,0.361,0.832,1.483,0.548,0.775,0.838
2001,2.353,2.819,0.594,1.993,0.337,1.181,1.692,0.629,0.975,0.832
2000,2.178,2.787,0.453,1.652,0.302,1.308,2.171,0.828,1.203,0.878
1999,1.674,2.091,0.291,1.111,0.239,0.77,1.729,0.6070001,0.878,0.538
1998,2.857,2.999,0.431,1.385,0.21,1.065,3.079,0.624,1.096,0.628
1997,2.325,2.677,0.255,0.866,0.169,0.627,2.165,0.352,0.758,0.45
1996,2.225,3.631,0.507,1.262,0.34,1.239,2.598,0.602,0.995,0.672
1995,1.732,3.125,0.453,1.401,0.332,0.8850001,2.139,0.492,0.7320001,0.526
1994,2.151,3.149,0.617,1.354,0.326,1.295,3.002,0.578,0.848,0.836
1993,1.398,2.255,0.393,1.243,0.242,0.512,1.839,0.294,0.636,0.558
1992,1.62,2.399,0.725,1.06,0.277,0.703,1.422,0.562,0.928,0.549
1991,1.197,2.319,0.503,1.07,0.297,0.526,1.105,0.395,0.811,0.331
1990,1.687,2.739,0.741,1.629,0.328,1.655,1.856,0.722,1.093,0.73
1989,1.616,3.223,0.694,1.507,0.318,0.963,1.955,0.599,1.079,0.601
1988,2.003,2.929,0.817,1.763,0.322,1.464,1.678,0.668,1.13,0.716
