Year,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70
2015,0.257,,0.307,0.39,0.247,0.597,0.632,0.137,0.48,2.032,0.308,0.268,1.103,1.349,0.356,1.684,0.94,1.362,1.329,1.662
2014,0.264,,0.255,0.289,0.225,0.561,0.539,0.158,0.483,1.876,0.266,0.259,1.232,1.34,0.413,1.503,0.754,1.362,1.263,1.525
2013,0.259,,0.245,0.305,0.229,0.542,0.511,0.096,0.595,1.837,0.319,0.243,1.078,1.084,0.383,1.073,0.6300001,0.966,1.016,1.29
2012,0.259,,0.339,0.383,0.235,0.612,0.563,0.063,0.721,1.967,0.396,0.33,1.064,1.367,0.413,1.184,0.7090001,1.094,1.533,1.447
2011,0.156,0.113,0.329,0.249,0.163,0.509,0.511,0.335,0.567,1.529,0.318,0.291,0.9390001,1.42,0.386,0.924,0.532,1.003,1.618,1.215
2010,0.189,0.116,0.376,0.301,0.222,0.491,0.597,0.375,0.771,1.602,0.361,0.27,0.96,1.26,0.387,1.126,0.61,1.22,1.565,1.268
2009,0.257,0.127,0.544,0.432,0.298,0.705,0.815,0.62,0.992,1.743,0.44,0.319,1.14,1.338,0.493,1.191,0.619,1.306,1.799,1.419
2008,0.208,0.095,0.664,0.37,0.247,0.571,0.64,0.484,0.738,1.601,0.395,0.281,0.942,1.279,0.363,1.066,0.612,1.069,1.957,1.202
2007,0.192,0.116,0.573,0.305,0.22,0.569,0.598,0.463,0.815,1.446,0.36,0.263,0.842,1.344,0.463,0.9770001,0.594,1.082,1.602,1.161
2006,0.22,0.117,0.6070001,0.352,0.251,0.604,0.963,0.608,0.997,1.609,0.466,0.34,1.134,1.312,0.507,1.043,0.671,1.182,1.523,1.276
2005,0.177,0.127,0.581,0.457,0.223,0.66,0.65,0.571,1.05,1.826,0.507,0.237,1.247,1.546,0.508,0.835,0.689,1.284,1.752,1.259
2004,0.156,0.173,0.656,0.337,0.229,0.564,0.702,0.634,1.115,2.006,0.484,0.209,1.176,1.475,0.517,0.934,0.626,1.23,1.865,1.403
2003,0.227,0.109,0.606,0.457,0.283,0.645,0.731,0.737,1.084,1.888,0.543,0.312,1.073,1.16,0.725,0.942,0.797,1.32,1.548,1.436
2002,0.262,0.13,0.678,0.406,0.276,0.799,0.7780001,0.851,1.125,1.914,0.547,0.348,1.096,1.162,0.642,0.992,0.706,1.266,1.413,1.314
2001,0.247,0.153,0.757,0.554,0.253,0.727,0.832,0.723,1.102,2.294,0.541,0.41,1.135,1.422,0.639,0.942,0.817,1.329,1.728,1.367
2000,0.275,0.155,0.7550001,0.463,0.26,0.752,0.822,0.817,0.9810001,2.165,0.626,0.289,1.552,1.659,0.674,0.9,0.819,1.081,1.66,1.285
1999,0.373,0.138,0.731,0.258,0.22,0.696,0.611,0.588,0.684,1.579,0.611,0.25,1.229,1.346,0.525,0.647,0.58,0.919,1.226,0.934
1998,0.454,0.141,1.1,0.436,0.269,0.701,0.727,0.793,0.91,2.436,0.677,0.278,1.693,1.87,0.639,0.84,0.777,1.262,1.752,1.38
1997,0.291,0.217,0.548,0.206,0.204,0.525,0.706,0.492,0.629,1.421,0.522,0.231,1.358,1.028,0.499,0.563,0.506,0.987,1.07,0.937
