Year,P22,P23,P25,P27,P32,P33,P34,P35,P36,P37,P38,P39,P40,P21,P31,P29,P30,P24,P28,P26
2015,,0.976,1.38,,,1.088,1.543,1.535,0.951,,1.714,,,,,,,,,
2014,,1.293,1.372,,,1.362,1.029,1.39,0.862,,1.709,,,,,,,,,
2013,,1.513,1.247,,,1.093,1.577,1.603,1.106,,1.925,,,,,,,,,
2012,,1.686,1.476,,,1.211,1.226,1.752,2.073,,2.083,,,,,,,,,
2011,,0.637,0.663,,,0.909,0.752,1.365,1.558,,1.307,,,,,,,,,
2010,,0.538,0.811,,,1.02,1.015,1.56,1.478,,1.063,,,,,,,,,
2009,,0.372,0.799,,,0.8850001,1.085,1.416,1.501,,1.362,,,,,,,,,
2008,1.804,0.43,0.722,1.13,0.377,0.877,1.027,1.458,1.548,0.871,1.073,0.553,1.305,0.302,0.619,0.9390001,1.031,0.767,1.847,0.693
2007,2.416,0.635,0.8850001,1.085,0.631,1.02,1.223,1.235,1.646,1.001,1.204,0.739,1.655,0.433,0.794,0.9,1.433,1.157,1.77,1.049
2006,1.959,0.565,0.969,1.266,0.763,1.2,1.378,1.056,1.803,1.244,1.547,1.07,1.975,0.296,0.635,0.866,1.067,1.237,2.237,1.071
2005,1.231,0.527,1.271,1.77,1.526,1.486,1.741,1.352,2.156,1.593,2.004,1.47,2.083,0.341,0.746,0.863,1.441,1.497,2.682,1.345
2004,1.322,0.647,1.289,1.601,1.553,1.407,1.361,1.253,1.996,1.75,1.612,1.292,1.888,0.439,0.76,0.956,1.181,1.643,2.493,1.278
2003,1.726,0.776,1.501,1.315,1.453,0.799,1.201,1.218,1.866,1.607,1.198,1.164,1.653,0.429,0.728,0.962,1.254,1.555,2.569,1.177
2002,2.201,0.799,1.197,1.323,1.195,1.096,1.211,1.077,1.53,1.883,1.531,0.837,1.271,0.32,0.649,0.916,0.964,1.472,2.558,1.034
2001,2.046,0.915,1.108,1.296,1.309,1.447,1.325,1.343,1.739,1.843,1.203,1.064,1.703,0.519,0.5840001,1.067,1.018,1.308,2.394,1.095
2000,1.555,0.936,1.389,1.366,1.508,1.45,1.626,1.171,1.579,2.171,1.636,1.056,1.801,0.423,0.504,0.973,1.156,1.485,2.514,0.91
1999,0.924,0.77,1.233,1.122,1.219,0.957,1.287,0.634,1.151,1.892,1.395,0.539,1.283,0.191,0.314,0.802,1.454,1.278,2.399,0.693
1998,1.115,0.945,1.424,1.6,1.543,1.048,1.562,0.997,1.994,1.961,1.611,0.833,1.744,0.404,0.36,0.884,1.634,1.557,2.7,0.876
1997,0.858,0.565,0.895,1.24,0.916,0.716,1.051,0.698,1.563,1.229,1.074,0.312,1.04,0.191,0.345,0.76,1.261,1.144,1.653,0.742
1996,1.105,0.763,1.155,1.807,1.582,0.984,1.18,1.064,1.92,1.15,1.376,0.677,0.995,0.313,0.672,0.877,1.181,1.492,1.934,0.8890001
1995,1.063,0.6,1.11,1.418,1.292,1.153,1.296,1.011,1.581,0.828,1.278,0.68,1.075,0.334,0.671,0.909,0.874,1.441,1.888,0.942
1994,1.072,0.625,0.9350001,1.612,1.32,1.359,1.356,1.449,1.801,0.783,1.206,0.73,1.241,0.404,0.484,0.771,1.581,1.609,2.019,1.126
1993,0.606,0.471,0.756,1.08,1.059,1.362,1.038,0.754,1.654,0.519,0.882,0.435,1.04,0.211,0.391,0.645,1.06,1.24,1.534,0.956
1992,0.728,0.661,0.875,1.787,1.11,1.37,1.138,1.052,1.911,1.557,0.91,0.562,1.278,0.368,0.283,0.719,1.399,1.476,1.853,0.871
1991,0.714,0.526,0.654,1.148,0.704,1.133,0.8270001,0.704,1.325,0.782,0.61,0.443,0.823,0.332,0.173,0.74,0.672,1.196,1.334,0.712
1990,1.665,0.978,1.271,1.681,1.134,1.516,1.369,0.964,1.98,0.967,1.092,0.482,1.56,0.369,0.472,1.013,0.751,1.486,2.25,1.543
1989,1.04,0.741,1.118,1.219,1.156,1.388,1.205,0.761,1.743,0.648,0.835,0.291,1.306,0.245,0.504,0.793,0.716,1.091,1.639,1.162
1988,1.173,1.093,0.994,1.356,1.082,1.514,1.383,0.907,1.96,0.989,1.034,0.9020001,1.263,0.54,0.678,1.026,0.873,1.158,1.711,1.307
1987,1.215,1.161,1.152,1.384,1.168,1.54,1.514,0.976,2.245,1.349,1.172,1.193,1.488,0.664,0.631,1.118,1.139,1.306,1.734,1.465
1986,1.039,0.794,0.98,1.253,1.107,1.311,1.382,1.161,2.453,1.657,1.26,0.9060001,1.719,0.4,0.5840001,0.97,0.757,1.442,2.232,1.623
1985,1.169,0.883,0.928,1.178,1.156,1.315,1.477,1.002,1.853,1.489,1.326,1.027,1.333,0.523,0.553,1.043,1.043,1.35,1.922,1.096
1984,1.177,0.624,0.792,1.223,1.093,1.478,1.724,0.995,1.675,1.182,1.518,0.881,1.232,0.54,0.317,0.729,1.067,1.54,1.62,1.319
1983,1.151,0.853,0.9260001,1.395,1.215,1.541,1.642,0.967,2.156,1.015,1.576,0.649,1.715,0.428,0.158,0.881,1.134,1.553,1.903,1.787
1982,0.752,0.652,0.844,1.088,0.948,0.862,1.208,0.652,1.235,0.958,1.211,0.555,1.238,0.3,0.301,0.745,0.498,1.335,1.542,0.938
1981,1.012,1.052,1.301,1.702,1.348,1.15,1.743,1.321,1.852,1.492,1.774,0.969,1.431,0.64,0.508,0.979,0.932,1.76,1.951,0.861
1980,0.923,1.055,1.447,1.364,1.164,1.41,1.566,1.091,1.602,1.514,1.623,0.93,1.362,0.743,0.429,0.9350001,1.348,1.407,1.569,0.842
1979,0.773,0.951,1.27,1.388,1.309,1.204,1.385,0.955,1.674,1.435,1.505,0.861,1.781,0.663,0.413,0.786,1.483,1.346,1.407,0.841
1978,0.905,0.9060001,1.014,1.07,1.223,1.216,1.467,1.107,1.725,1.018,1.454,0.699,1.673,0.851,0.444,0.783,1.203,1.231,1.462,0.747
