Year,R05,R15,R21,R23,R25,R26,R28,R30,R32,R39,R40,R48,R51,R53,R55,R59,R29,R34,R46,R27
2015,0.652,,1.523,0.516,1.037,1.388,0.222,1.263,,,,,,,,,0.838,,,0.745
2014,0.641,,1.567,0.595,1.054,1.586,0.343,1.34,,,,,,,,,0.744,,,0.766
2013,0.355,,1.657,0.417,0.976,1.593,0.222,1.3,,,,,,,,,0.588,,,0.58
2012,0.313,,1.013,0.29,0.526,0.928,0.241,0.8600001,,,,,,,,,0.545,,,0.553
2011,0.23,,0.971,0.279,0.373,0.794,0.203,0.998,0.374,0.199,0.693,0.45,0.327,0.874,0.615,0.424,0.507,0.231,0.151,0.446
2010,0.384,,1.059,0.423,0.516,1.433,0.227,1.143,0.464,0.395,1.066,0.639,0.468,1.066,0.68,0.668,0.665,0.37,0.342,0.468
2009,0.638,0.392,1.085,0.356,0.62,1.597,0.149,1.229,0.539,0.415,0.8800001,0.645,0.448,1.149,0.747,0.689,0.698,0.619,0.331,0.496
2008,0.609,0.266,0.944,0.36,0.481,1.094,0.206,1.029,0.565,0.452,0.629,0.541,0.415,1.057,0.826,0.45,0.384,0.396,0.192,0.439
2007,0.664,0.257,0.963,0.428,0.547,1.279,0.185,1.087,0.557,0.35,1.001,0.484,0.387,1.226,0.907,0.498,0.424,0.537,0.3,0.535
2006,0.487,0.237,0.903,0.332,0.548,1.283,0.196,0.987,0.375,0.46,0.94,0.405,0.409,1.318,0.697,0.523,0.399,0.446,0.266,0.552
2005,0.447,0.239,0.934,0.504,0.556,1.296,0.185,1.155,0.365,0.421,1.252,0.542,0.302,1.602,0.9350001,0.499,0.523,0.484,0.273,0.549
2004,0.7090001,0.345,1.36,0.66,0.699,1.555,0.212,1.388,0.549,0.419,1.508,0.795,0.39,1.813,1.294,0.803,0.8430001,0.695,0.313,0.754
2003,0.696,0.288,1.119,0.51,0.623,1.888,0.244,1.29,0.6070001,0.588,1.172,0.662,0.479,1.5,0.719,0.605,0.519,0.8060001,0.375,0.658
2002,0.568,0.293,0.819,0.496,0.549,1.113,0.162,1.224,0.522,0.336,0.881,0.664,0.416,1.136,0.636,0.496,0.624,0.547,0.191,0.633
2001,0.629,0.276,1.203,0.571,0.757,1.472,0.205,1.342,0.577,0.435,1.248,0.828,0.422,1.602,0.912,0.716,0.707,0.804,0.326,0.737
2000,0.591,0.393,1.222,0.626,0.623,1.262,0.315,1.188,0.446,0.437,1.061,0.77,0.517,1.72,1.177,0.71,0.67,0.6760001,0.266,0.733
1999,0.376,0.249,0.7550001,0.469,0.369,0.85,0.193,0.879,0.304,0.245,0.721,0.529,0.301,0.941,0.764,0.377,0.535,0.365,0.069,0.545
1998,0.555,0.384,1.248,0.741,0.696,1.197,0.265,1.176,0.541,0.28,1.249,0.79,0.476,1.447,0.823,0.61,0.714,0.67,0.235,0.518
1997,0.313,0.312,0.751,0.313,0.289,1.075,0.12,0.807,0.437,0.193,0.703,0.563,0.38,1.008,0.54,0.364,0.435,0.333,0.077,0.38
1996,0.536,0.281,0.963,0.484,0.495,1.649,0.303,0.982,0.579,0.349,1.027,0.742,0.477,1.259,1.005,0.634,0.466,0.604,0.304,0.56
1995,0.609,0.315,0.9810001,0.521,0.448,1.747,0.294,0.951,0.701,0.493,0.917,0.745,0.463,1.249,0.654,0.6070001,0.482,0.665,0.331,0.615
1994,0.554,0.361,1.167,0.5050001,0.511,1.761,0.275,0.892,0.724,0.515,0.933,0.77,0.486,1.242,0.689,0.624,0.5050001,0.616,0.287,0.561
1993,0.4,0.22,0.833,0.441,0.319,1.216,0.145,0.735,0.535,0.221,0.75,0.636,0.317,1.069,0.533,0.493,0.362,0.359,0.212,0.49
1992,0.641,0.292,1.439,0.501,0.568,2.503,0.246,1.165,0.587,0.595,1.059,0.779,0.497,1.617,0.951,0.8520001,0.533,0.611,0.35,0.7550001
1991,0.5,0.266,1.077,0.415,0.442,1.888,0.236,0.948,0.406,0.316,0.775,0.754,0.47,1.036,0.775,0.669,0.426,0.381,0.117,0.677
1990,0.58,0.345,1.507,0.555,0.54,1.875,0.301,1.409,0.522,0.368,0.966,1.082,0.534,1.376,0.892,0.967,0.565,0.481,0.308,0.8800001
1989,0.603,0.277,1.266,0.448,0.407,1.788,0.283,1.067,0.557,0.28,0.783,1.035,0.51,1.575,0.8600001,0.725,0.643,0.434,0.313,0.769
1988,0.582,0.322,1.218,0.443,0.462,2.207,0.306,1.241,0.405,0.344,0.624,0.864,0.588,1.392,0.89,0.656,0.51,0.484,0.358,0.788
1987,0.57,0.298,1.062,0.404,0.403,1.646,0.237,0.9810001,0.341,0.348,0.588,0.727,0.629,1.187,0.606,0.506,0.471,0.443,0.384,0.731
1986,0.612,0.246,1.17,0.463,0.388,2.075,0.211,1.049,0.455,0.372,0.44,0.706,0.602,1.1,0.565,0.511,0.397,0.352,0.357,0.619
1985,0.616,0.339,0.984,0.516,0.387,1.884,0.323,1.045,0.478,0.316,0.594,0.768,0.617,1.076,0.7,0.591,0.513,0.445,0.28,0.718
1984,0.531,0.244,1.04,0.42,0.391,1.104,0.332,1.097,0.388,0.311,0.622,0.8100001,0.697,1.035,0.73,0.621,0.467,0.445,0.266,0.781
1983,0.568,0.237,0.928,0.432,0.401,1.377,0.211,0.923,0.511,0.273,0.632,0.903,0.617,1.247,0.554,0.545,0.538,0.374,0.3,0.826
1982,0.595,0.233,0.785,0.375,0.341,1.388,0.167,0.953,0.373,0.285,0.598,0.753,0.692,1.152,0.669,0.423,0.428,0.282,0.235,0.828
1981,0.64,0.23,1.073,0.533,0.519,1.704,0.203,1.187,0.538,0.317,0.833,1.043,0.721,1.123,0.784,0.695,0.42,0.462,0.372,0.8340001
1980,0.674,0.177,0.861,0.356,0.395,1.454,0.256,1.079,0.443,0.298,0.725,0.9020001,0.609,1.016,0.751,0.6,0.412,0.438,0.305,0.735
1979,0.715,0.217,0.776,0.343,0.462,1.431,0.208,1.2,0.36,0.269,0.703,0.831,0.621,1.236,0.774,0.494,0.376,0.345,0.256,0.725
1978,0.751,0.193,0.761,0.32,0.371,1.466,0.251,0.94,0.3,0.293,0.788,0.924,0.561,0.9390001,0.661,0.534,0.384,0.395,0.317,0.821
1977,0.628,0.217,1.015,0.217,0.455,1.416,0.259,1.134,0.406,0.295,0.888,0.879,0.6300001,1.123,0.654,0.717,0.429,0.409,0.361,0.8930001
1976,0.539,0.196,0.714,0.223,0.283,0.831,0.256,0.877,0.263,0.189,0.493,0.659,0.508,0.907,0.518,0.605,0.488,0.354,0.237,0.716
1975,0.739,0.239,0.7550001,0.271,0.331,1.104,0.304,1.012,0.176,0.338,0.508,0.713,0.625,1.077,0.629,0.543,0.449,0.423,0.277,0.73
1974,0.463,0.268,0.611,0.161,0.216,0.851,0.244,0.74,0.096,0.213,0.5050001,0.471,0.515,0.598,0.406,0.386,0.297,0.27,0.086,0.563
1973,0.652,0.205,0.671,0.206,0.417,1.003,0.257,0.804,0.191,0.39,0.744,0.742,0.6070001,1.159,0.55,0.59,0.397,0.522,0.228,0.663
1972,0.729,0.31,0.692,0.276,0.458,0.746,0.243,0.928,0.25,0.357,0.641,0.695,0.513,1.016,0.506,0.543,0.46,0.414,0.071,0.5050001
1971,1.06,0.313,0.802,0.425,0.498,1.116,0.274,1.295,0.24,0.431,0.975,0.759,0.665,0.953,0.636,0.694,0.588,0.461,0.148,0.696
1970,0.982,0.26,0.914,0.406,0.527,1.021,0.25,0.991,0.248,0.418,0.989,0.948,0.625,1.306,0.613,0.641,0.614,0.545,0.218,0.875
1969,0.811,0.191,0.903,0.428,0.547,1.141,0.235,0.937,0.284,0.332,0.92,0.692,0.555,1.364,0.636,0.677,0.646,0.491,0.296,0.828
1968,0.786,0.188,1.263,0.492,0.539,1.553,0.235,1.07,0.237,0.463,0.913,0.711,0.513,1.504,0.598,0.8430001,0.477,0.635,0.273,0.823
1967,0.777,0.257,1.278,0.567,0.517,1.667,0.218,1.205,0.285,0.405,0.817,0.868,0.6760001,1.333,0.669,0.666,0.51,0.55,0.144,0.8340001
1966,0.686,0.317,1.158,0.619,0.604,1.63,0.255,1.332,0.482,0.565,0.998,0.897,0.58,1.589,0.938,0.896,0.592,0.5,0.291,0.941
1965,0.96,0.308,1.259,0.563,0.701,1.466,0.301,1.524,0.561,0.627,1.108,0.923,0.618,1.854,0.999,1.141,0.684,0.577,0.314,0.954
1964,0.592,0.163,0.787,0.378,0.273,0.526,0.141,0.698,0.345,0.332,0.6,0.477,0.326,0.838,0.679,0.656,0.373,0.31,0.102,0.565
1963,0.911,0.217,1.318,0.369,0.629,1.189,0.22,1.335,0.351,0.482,0.903,0.435,0.537,1.434,0.796,1.055,0.552,0.593,0.268,0.646
1962,0.8520001,0.215,0.888,0.41,0.6300001,1.307,0.321,1.487,0.295,0.351,0.882,0.401,0.515,1.311,0.782,0.95,0.409,0.527,0.296,0.482
1961,1.118,0.209,1.286,0.502,0.745,1.706,0.318,1.966,0.339,0.562,0.898,0.478,0.75,1.851,0.762,0.973,0.65,0.644,0.357,0.477
1960,0.958,0.31,1.427,0.543,0.695,1.82,0.464,1.629,0.645,0.537,1.233,0.6,0.576,1.669,0.808,1.062,0.625,0.626,0.316,0.482
1959,0.687,0.186,0.915,0.382,0.432,1.1,0.297,1.578,0.334,0.359,0.929,0.416,0.229,0.921,0.546,0.563,0.442,0.374,0.191,0.294
1958,0.978,0.272,1.087,0.537,0.614,1.527,0.325,1.778,0.481,0.503,1.104,0.485,0.39,0.839,0.666,0.73,0.581,0.629,0.363,0.506
1957,0.497,0.185,0.699,0.408,0.32,0.7780001,0.216,0.99,0.408,0.266,0.681,0.316,0.301,0.425,0.521,0.635,0.309,0.26,0.183,0.338
1956,0.761,0.244,0.797,0.441,0.509,1.093,0.304,0.919,0.446,0.233,0.8800001,0.413,0.248,0.85,0.643,0.758,0.46,0.365,0.147,0.449
1955,0.8,0.183,0.89,0.413,0.532,0.818,0.156,1.246,0.597,0.5280001,0.993,0.678,0.487,0.978,0.592,0.595,0.435,0.408,0.094,0.471
1954,0.707,0.187,0.915,0.356,0.412,0.766,0.233,0.897,0.547,0.182,0.978,0.517,0.455,0.9520001,0.722,0.593,0.511,0.291,0.106,0.467
1953,1.112,0.253,1.005,0.477,0.662,1.657,0.356,1.47,0.725,0.388,1.372,0.622,0.562,1.201,1.053,0.672,0.544,0.473,0.201,0.529
