Year,R01,R03,R06,R08,R10,R12,R14,R16,R19,R31,R37,R38,R42,R43,R45,R50,R54,R56,R57
2015,0.92,1.165,0.288,1.22,1.382,1.249,,,,1.482,,,,,,,,,
2014,0.832,1.265,0.275,1.547,1.295,1.048,,,,1.653,,,,,,,,,
2013,0.59,0.84,0.201,1.306,0.8100001,0.799,,,,0.947,,,,,,,,,
2012,0.582,0.69,0.23,1.356,0.864,0.745,,,,0.915,,,,,,,,,
2011,0.481,0.716,0.194,1.024,0.578,0.798,,,,0.795,0.316,0.733,0.137,0.553,0.315,0.31,0.14,0.46,1.279
2010,0.55,0.913,0.261,1.087,0.8470001,1.006,,,1.839,0.997,0.329,0.632,0.124,0.649,0.38,0.538,0.128,0.544,2.154
2009,0.562,0.745,0.38,1.054,0.798,1.163,0.508,0.76,1.9,1.102,0.382,0.726,0.177,0.738,0.429,0.536,0.172,0.537,1.84
2008,0.534,0.497,0.297,0.91,0.642,0.974,0.36,0.727,1.473,0.831,0.265,0.7,0.159,0.448,0.281,0.43,0.156,0.509,1.551
2007,0.5840001,0.545,0.296,0.846,0.8,0.717,0.744,0.96,2.047,0.955,0.328,0.83,0.175,0.581,0.376,0.545,0.222,0.592,2.073
2006,0.673,0.695,0.378,1.237,1.004,0.848,1.013,1.139,2.528,1.145,0.504,1.84,0.239,0.802,0.502,0.629,0.231,0.799,2.379
2005,0.674,0.741,0.382,1.261,1.101,0.663,0.892,0.955,2.185,1.166,0.374,1.297,0.245,0.769,0.405,0.715,0.156,0.807,2.762
2004,0.669,0.761,0.319,0.993,1.03,0.69,0.82,0.706,2.378,1.136,0.353,1.122,0.24,0.836,0.336,0.548,0.212,0.769,2.645
2003,0.751,0.8890001,0.361,1.159,0.859,0.94,0.845,0.606,2.023,1.139,0.416,1.268,0.229,0.862,0.407,0.7090001,0.273,0.756,2.267
2002,0.689,0.568,0.334,1.27,0.809,0.8340001,0.619,0.603,1.675,1.058,0.397,1.174,0.28,0.786,0.414,0.522,0.275,0.646,1.969
2001,0.825,0.673,0.373,1.304,1.024,0.845,0.805,0.761,2.134,1.318,0.437,1.384,0.255,1.037,0.506,0.611,0.271,0.788,2.275
2000,0.766,0.714,0.364,1.454,0.947,0.794,0.8270001,0.8600001,1.457,1.271,0.485,1.346,0.249,1.084,0.54,0.48,0.266,0.651,1.975
1999,0.612,0.408,0.225,0.9390001,0.624,0.737,0.503,0.699,2.048,0.966,0.286,0.537,0.193,0.336,0.29,0.336,0.136,0.415,1.588
