Year,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79
2015,2.352,0.326,2.626,0.678,0.692,0.172,1.381,1.525,0.451,0.302,1.521,0.154,2.793,1.542,0.056,2.87,1.529,0.851,0.43
2014,1.991,0.314,2.352,0.636,0.613,0.169,1.016,1.767,0.544,0.249,1.38,0.216,2.861,1.464,0.035,3.946,1.188,0.715,0.442
2013,1.642,0.288,2.087,0.521,0.601,0.213,0.683,1.913,0.521,0.235,1.262,0.237,2.788,1.47,0.042,3.816,1.111,0.502,0.372
2012,1.801,0.264,2.349,0.619,0.624,0.186,1.003,1.547,0.611,0.196,1.585,0.221,2.848,1.469,0.134,3.176,1.08,0.546,0.26
2011,1.547,0.222,2.187,0.5280001,0.508,0.158,0.711,1.505,0.564,0.188,1.107,0.142,2.405,1.308,0.274,1.827,1.173,0.371,0.26
2010,1.899,0.304,2.666,0.691,0.564,0.18,1.044,1.467,0.6760001,0.329,1.263,0.212,2.617,1.565,0.419,1.753,1.364,0.532,0.403
2009,1.867,0.318,2.228,0.514,0.933,0.245,1.226,1.458,0.742,0.413,1.286,0.167,2.837,1.859,0.236,1.64,2.148,0.402,0.474
2008,1.557,0.245,1.626,0.519,0.624,0.18,0.923,0.942,0.6,0.3,1.048,0.207,2.433,1.159,0.113,1.49,1.863,0.25,0.416
2007,1.687,0.402,1.938,0.609,0.603,0.219,1.445,1.081,0.715,0.419,1.219,0.219,3.089,1.404,0.12,2.203,1.794,0.56,0.366
2006,1.694,0.426,1.927,0.745,0.659,0.255,1.96,1.218,0.989,0.596,1.645,0.288,3.306,2.063,0.188,2.279,1.881,0.835,0.487
2005,1.783,0.334,2.1,0.64,0.506,0.24,1.164,1.065,1.005,0.458,1.959,0.218,3.387,1.394,0.173,2.155,1.746,0.461,0.469
2004,1.535,0.383,2.047,0.698,0.536,0.245,1.065,0.883,0.908,0.506,1.854,0.308,3.171,1.738,0.161,1.929,1.489,0.741,0.412
2003,1.79,0.463,1.955,0.687,0.606,0.275,1.114,1.132,1.061,0.623,1.489,0.445,3.056,1.833,0.322,2.354,1.89,0.887,0.53
2002,1.454,0.41,2.089,0.646,0.645,0.279,0.947,1.152,1.182,0.448,1.611,0.453,3.208,1.79,0.275,1.97,1.799,0.7,0.448
2001,2.223,0.444,3.062,0.783,0.549,0.382,1.51,1.231,1.668,0.5840001,2.317,0.536,3.915,1.949,0.435,2.759,2.19,1.059,0.831
2000,1.893,0.416,3.094,0.762,0.485,0.32,1.639,1.001,1.589,0.495,2.202,0.383,3.682,1.903,0.41,2.582,2.363,0.722,0.963
1999,1.029,0.211,2.44,0.49,0.382,0.135,0.986,0.558,1.294,0.259,1.537,0.287,3.118,0.98,0.178,1.909,1.654,0.409,0.507
1998,1.677,0.391,2.909,0.699,0.411,0.285,1.62,1.145,1.907,0.585,2.35,0.376,4.41,2.08,0.487,2.656,2.751,0.8060001,1.278
1997,0.881,0.249,1.821,0.6070001,0.336,0.195,0.545,0.79,1.334,0.294,1.332,0.204,2.654,1.459,0.245,1.704,2.17,0.342,0.513
1996,1.562,0.335,2.746,0.9310001,0.426,0.389,1.098,0.858,1.582,0.7320001,1.934,0.404,3.421,1.864,0.533,2.287,2.539,0.501,0.695
1995,1.836,0.41,2.526,0.8,0.52,0.408,1.38,0.904,1.508,0.9590001,1.956,0.419,3.251,1.598,0.538,2.383,2.139,0.67,0.706
1994,1.657,0.484,3.17,0.769,0.752,0.466,1.712,1.195,1.661,1.08,2.338,0.47,3.081,1.532,0.757,2.43,2.653,0.632,1.044
1993,1.477,0.336,2.936,0.593,0.858,0.242,0.9,0.913,1.324,0.872,2.275,0.41,3.115,1.158,0.518,2.015,1.911,0.419,0.576
1992,1.352,0.347,2.834,0.662,0.975,0.329,0.948,0.969,1.593,0.857,2.593,0.514,3.465,1.35,0.521,2.261,1.727,0.385,0.497
1991,1.193,0.33,2.344,0.655,0.846,0.281,0.499,0.957,1.319,0.675,2.606,0.466,3.125,1.193,0.464,2.261,2.115,0.33,0.592
1990,1.533,0.449,3.572,0.989,1.415,0.321,0.873,1.372,1.8,1.002,3.343,0.8270001,3.291,1.496,0.817,3.031,3.079,0.642,1.102
1989,1.233,0.372,2.526,0.718,1.104,0.276,0.652,1.266,1.621,1.137,2.791,0.674,2.66,1.085,0.527,2.414,2.372,0.314,0.655
1988,1.297,0.465,2.502,0.811,1.35,0.299,0.721,1.183,1.683,1.176,2.709,0.842,2.562,1.095,0.742,2.479,2.976,0.489,0.953
1987,1.21,0.421,2.591,0.738,1.433,0.306,0.822,1.128,1.602,1.361,2.975,0.9810001,2.671,0.822,0.809,2.812,2.954,0.487,0.9020001
1986,1.174,0.391,2.415,0.703,1.161,0.366,0.782,1.011,1.793,1.398,2.367,0.8560001,2.24,0.645,0.668,1.997,2.324,0.468,0.757
