Sample_ID,Plot_ID,Spp,Stand_down,Diam
J01-D01,J01,POTR5,D,20.5
J01-D02,J01,POTR5,D,19.5
J01-D03,J01,POTR5,S,20
J01-D05,J01,POTR5,D,22
J01-D06,J01,POTR5,D,22.5
J01-D07,J01,POTR5,D,21
J01-D08,J01,POTR5,S,9
J01-D09,J01,POTR5,D,19
J01-D10,J01,POTR5,S,22
J01-D11,J01,POTR5,S,19
J01-D12,J01,POTR5,D,17.5
J01-D13,J01,POTR5,D,25.5
J01-D14,J01,POTR5,D,13
J01-D15,J01,POTR5,D,26.5
J01-D16,J01,POTR5,D,22
J01-D17,J01,POTR5,S,24
J01-D18,J01,POTR5,S,28
J01-D19,J01,POTR5,D,22
J01-D20,J01,POTR5,D,16
J01-D21,J01,POTR5,D,23
J01-D22,J01,POTR5,D,11
J01-D24,J01,POTR5,D,15
J01-D25,J01,POTR5,S,25.5
J01-D26,J01,POTR5,S,22
J01-D27,J01,POTR5,S,28
J01-D28,J01,POTR5,S,8
J01-D29,J01,POTR5,D,18
J01-D30,J01,POTR5,D,7.5
J02-D01,J02,POTR5,D,7.5
J02-D02,J02,POTR5,S,15.5
J02-D03,J02,POTR5,S,18
J02-D04,J02,POTR5,D,10
J02-D05,J02,POTR5,D,10.5
J02-D06,J02,POTR5,S,8
J02-D09,J02,POTR5,D,14
J02-D10,J02,POTR5,S,10
J02-D11,J02,POTR5,D,13.5
J02-D12,J02,POTR5,D,11.5
J02-D13,J02,POTR5,S,8.5
J02-D14,J02,POTR5,S,11
J02-D15,J02,POTR5,S,11.5
J02-D17,J02,POTR5,D,13
J02-D18,J02,POTR5,S,12.5
J02-D19,J02,POTR5,S,14
J02-D20,J02,POTR5,S,9
J02-D21,J02,POTR5,S,10
J02-D22,J02,POTR5,S,12.5
J02-D23,J02,POTR5,S,13.5
J02-D24,J02,POTR5,S,10
J02-D25,J02,POTR5,S,9
J02-D26,J02,POTR5,S,14
J02-D27,J02,POTR5,D,8.5
J02-D28,J02,POTR5,D,11.5
J02-D29,J02,POTR5,S,9.5
J02-D31,J02,POTR5,S,14.5
J02-D32,J02,POTR5,D,11
J02-D34,J02,POTR5,S,11.5
J02-D35,J02,POTR5,S,8
J02-D36,J02,POTR5,S,21
J02-D37,J02,POTR5,D,20
J02-D38,J02,POTR5,S,13.5
J03-D01,J03,POTR5,S,17.5
J03-D02,J03,POTR5,D,19.5
J03-D03,J03,POTR5,S,10.5
J03-D04,J03,POTR5,S,22
J03-D05,J03,POTR5,S,23.5
J03-D06,J03,POTR5,S,18
J03-D07,J03,POTR5,S,22.5
J03-D08,J03,POTR5,D,11
J03-D09,J03,POTR5,S,13
J03-D10,J03,POTR5,D,14
J03-D11,J03,POTR5,D,11
J03-D12,J03,POTR5,D,11.5
J03-D13,J03,POTR5,S,15.5
J03-D14,J03,POTR5,S,16.5
J03-D15,J03,POTR5,S,8
J03-D16,J03,POTR5,S,10.5
J03-D17,J03,POTR5,D,10.5
J03-D18,J03,POTR5,S,13
J03-D19,J03,POTR5,S,13
J03-D20,J03,POTR5,S,8
J03-D21,J03,POTR5,S,19.5
J03-D22,J03,POTR5,S,16
J03-D23,J03,POTR5,D,13
J03-D24,J03,POTR5,S,20
J03-D25,J03,POTR5,S,17
J03-D26,J03,POTR5,S,18.5
J03-D27,J03,POTR5,D,15.5
J03-D28,J03,POTR5,S,17
J03-D29,J03,POTR5,S,13.5
J03-D30,J03,POTR5,S,19
J03-D31,J03,POTR5,D,16
J03-D32,J03,POTR5,S,11.5
J03-D33,J03,POTR5,S,9
J03-D34,J03,POTR5,S,9.5
J03-D35,J03,POTR5,S,18.5
J03-D36,J03,POTR5,S,14.5
J03-D37,J03,POTR5,S,26
J03-D38,J03,POTR5,D,21
