Sample_ID,Plot_ID,Spp,Avg_diam,Height (cm),Out_of_plot,Year_origin,Year_origin_est
J01-S01,J01,POTR5,0.38,12,N,2009,
J01-S02,J01,POTR5,2.14,50,N,2001,
J01-S03,J01,POTR5,,160,N,,
J01-S04,J01,POTR5,0.3,25,N,2011,
J01-S05,J01,POTR5,1.88,137,N,1991,
J01-S06,J01,POTR5,1.96,140,N,1999,
J01-S07,J01,POTR5,2.15,180,Y,2006,
J01-S08,J01,POTR5,1.88,155,Y,1985,
J01-S09,J01,POTR5,5.56,300,Y,1987,
J01-S10,J01,POTR5,1.86,120,Y,1999,
J02-S01,J02,POTR5,1.17,71,N,2007,
J02-S02,J02,POTR5,0.34,45,N,2010,
J02-S03,J02,POTR5,0.58,63,N,2009,
J02-S04,J02,POTR5,2.64,215,N,2003,
J02-S05,J02,POTR5,6.21,500,N,1982,
J02-S06,J02,POTR5,0.96,47,N,2003,
J02-S07,J02,POTR5,0.6,135,N,2011,
J02-S08,J02,POTR5,2.18,245,N,2000,
J02-S09,J02,POTR5,1.04,102,N,2002,
J02-S10,J02,POTR5,2.99,300,N,2001,
J02-S11,J02,POTR5,0.54,55,N,2008,
J02-S12,J02,POTR5,3.53,260,N,1990,
J02-S13,J02,POTR5,0.8,50,N,2007,
J02-S14,J02,POTR5,2.45,245,N,2001,
J02-S15,J02,POTR5,1.2,77,N,2005,
J03-S01,J03,POTR5,1.92,170,N,2001,
J03-S02,J03,POTR5,3.8,240,N,1997,
J03-S03,J03,POTR5,3.64,330,N,1992,
J03-S04,J03,POTR5,3.42,170,N,1988,
J03-S05,J03,POTR5,1.29,105,N,2001,
J03-S06,J03,POTR5,2.75,260,N,1997,
J03-S07,J03,POTR5,0.72,84,N,2003,
J03-S08,J03,POTR5,,66,N,,
J03-S09,J03,POTR5,2.16,44,N,2004,
J03-S10,J03,POTR5,5.32,390,N,1993,
J03-S11,J03,POTR5,,310,N,,
J03-S12,J03,POTR5,4.54,320,N,1995,
J03-S13,J03,POTR5,3,280,N,2001,
J03-S14,J03,POTR5,2.41,210,N,1998,
J03-S15,J03,POTR5,1.86,160,N,1989,
J03-S16,J03,POTR5,5.56,300,N,1986,
J03-S17,J03,POTR5,5.57,400,N,1987,
J03-S18,J03,POTR5,,215,N,,
J03-S19,J03,POTR5,,250,N,,
J03-S20,J03,POTR5,,350,N,,
J04-S01,J04,POTR5,0.36,45,N,2010,
J04-S02,J04,POTR5,0.64,60,N,2008,
J04-S03,J04,POTR5,0.92,61,N,2007,
J04-S04,J04,POTR5,2.58,200,N,1992,
J04-S05,J04,POTR5,,17,N,2011,
J04-S06,J04,POTR5,0.43,27,N,2010,
J04-S07,J04,POTR5,0.34,45,N,2011,
J04-S08,J04,POTR5,0.94,71,N,2008,
J04-S09,J04,POTR5,0.38,44,N,2010,
J04-S10,J04,POTR5,1.23,105,N,2007,
J04-S11,J04,POTR5,2.48,240,N,1994,
J04-S12,J04,POTR5,0.92,175,N,1991,
J04-S13,J04,POTR5,1.24,115,N,2007,
J04-S14,J04,POTR5,0.52,50,N,2007,
J04-S15,J04,POTR5,4.58,405,N,1989,
J04-S16,J04,POTR5,2.14,215,N,1999,
J04-S17,J04,POTR5,,37,N,2011,
J04-S18,J04,POTR5,0.6,59,N,2009,
J04-S19,J04,POTR5,0.5,54,N,2008,
J04-S20,J04,POTR5,,41,N,,
J04-S21,J04,POTR5,,56,N,,
J04-S22,J04,POTR5,,46,N,,
J04-S23,J04,POTR5,,71,N,,
J04-S24,J04,POTR5,,25,N,,
J04-S25,J04,POTR5,,195,N,,
J04-S26,J04,POTR5,,86,N,,
J04-S27,J04,POTR5,,220,N,,
J04-S28,J04,POTR5,,135,N,,
J04-S29,J04,POTR5,,70,N,,
J04-S30,J04,POTR5,,65,N,,
J04-S31,J04,POTR5,,74,N,,
J04-S32,J04,POTR5,,95,N,,
J04-S33,J04,POTR5,,98,N,,
J04-S34,J04,POTR5,,100,N,,
J04-S35,J04,POTR5,,320,N,,
J04-S36,J04,POTR5,,91,N,,
J04-S37,J04,POTR5,,62,N,,
J04-S38,J04,POTR5,,60,N,,
J04-S39,J04,POTR5,,85,N,,
J04-S40,J04,POTR5,,75,N,,
J04-S41,J04,POTR5,,71,N,,
J04-S42,J04,POTR5,,72,N,,
J04-S43,J04,POTR5,,46,N,,
J04-S44,J04,POTR5,,74,N,,
J04-S45,J04,POTR5,,75,N,,
J04-S46,J04,POTR5,,330,N,,
J04-S47,J04,POTR5,,75,N,,
J04-S48,J04,POTR5,,55,N,,
J04-S49,J04,POTR5,,66,N,,
J04-S50,J04,POTR5,,67,N,,
J04-S51,J04,POTR5,,26,N,,
J04-S52,J04,POTR5,,190,N,,
J04-S53,J04,POTR5,,80,N,,
J04-S54,J04,POTR5,,132,N,,
J04-S55,J04,POTR5,,136,N,,
J04-S56,J04,POTR5,,105,N,,
J04-S57,J04,POTR5,,152,N,,
J04-S58,J04,POTR5,,71,N,,
J04-S59,J04,POTR5,,155,N,,
J04-S60,J04,POTR5,,170,N,,
J04-S61,J04,POTR5,,84,N,,
J04-S62,J04,POTR5,,62,N,,
J04-S63,J04,POTR5,,105,N,,
J04-S64,J04,POTR5,,95,N,,
