tree,n_missing_total,n_missing_1980_on,n_outliers_total
BKR01AAU_raw,132,6,3
BKR01BBU_raw,125,6,4
BKR02AAU_raw,145,6,3
BKR02BBU_raw,172,6,1
BKR03AAU_raw,143,6,0
BKR03BBU_raw,136,6,2
BKR04AAU_raw,101,6,4
BKR04BBU_raw,113,6,3
BKR05AAU_raw,61,6,5
BKR05BBU_raw,106,6,5
BKR06AAU_raw,82,6,6
BKR06BBU_raw,47,6,8
BKR07BBU_raw,193,6,3
BKR07New_raw,198,6,2
BKR08AAU_raw,94,6,6
BKR08BBU_raw,127,6,5
BKR09AAU_raw,35,6,12
BKR09BBU_raw,136,6,6
BKR10AAU_raw,107,6,5
BKR10BBU_raw,152,6,0
BKR11AAU_raw,67,6,4
BKR11BBU_raw,29,7,4
BKR12AAU_raw,75,6,5
BKR12BBU_raw,100,6,5
BKR13AAU_raw,78,6,4
BKR14AAU_raw,103,6,4
BKR15AAU_raw,30,6,6
BKR16AAU_raw,50,6,7
BKR17AAU_raw,14,6,7
BKR17BBU_raw,21,6,4
BKR18AAU_raw,151,6,2
BKR18BBU_raw,120,6,5
BKR19AAU_raw,96,6,1
BKR19BBU_raw,129,6,2
BKR20AAU_raw,76,6,4
BKR20BBU_raw,27,6,8
BKR21AAU_raw,91,6,7
BKR21BBU_raw,107,6,2
BKR22AAU_raw,111,6,7
BKR22BBU_raw,92,6,4
BKR23AAU_raw,96,6,7
BKR23BBU_raw,93,6,2
BKR24AAU_raw,95,6,7
BKR24BBU_raw,124,6,4
BKR25AAU_raw,109,6,4
BKR27AAU_raw,6,6,5
BKR28AAU_raw,68,6,5
