"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885"
"51","MT","ABLA","H","10C","ABLA-H-10C",0.462,0.8665,0.9195,0.7235,0.8345,0.546,0.4645,0.6725,0.6755,0.3585,0.719,0.659,1.129,1.585,1.033,1.288,1.098,1.137,0.9815,1.79,1.2215,1.2905,1.2345,0.989,1.421,1.859,1.6305,1.164,0.8085,1.2855,1.447,1.23,1.696,1.2045,1.3155,1.768,1.5445,1.0275,0.424,0.37,0.782,0.589,0.718,0.8735,0.758,0.5415,0.4455,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","MT","ABLA","H","10N","ABLA-H-10N",0.605,0.7795,0.76,0.7495,0.825,0.9525,1.047,0.7325,0.6245,0.4465,0.738,0.7355,0.7545,1.0075,0.938,1.253,1.313,1.313,0.792,1.18,0.8005,1.032,1.164,1.0915,0.881,0.994,0.8555,0.866,0.5725,0.8375,0.6855,0.6425,0.713,0.59,0.6575,0.5655,0.5805,0.5555,0.463,0.307,0.523,0.4815,0.581,0.9195,0.587,0.534,0.623,0.6875,0.5675,0.589,0.8275,0.5935,0.4815,0.35,0.453,0.621,0.587,0.1695,0.531,0.4055,0.4885,0.497,1.1545,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","MT","ABLA","H","11C","ABLA-H-11C",0.3805,0.508,0.581,0.4735,0.467,0.37,0.4125,0.4965,0.455,0.4335,0.5175,0.4435,0.5705,0.624,0.423,0.497,0.4115,0.5285,0.4415,0.9265,0.763,0.9535,0.396,0.8535,0.462,0.8495,0.6925,0.648,0.447,0.6435,0.529,0.5205,0.5935,0.4585,0.5935,0.737,0.6445,0.763,0.5425,0.522,0.4365,0.4815,0.462,0.567,0.515,0.3355,0.798,0.786,0.838,0.6295,0.829,0.693,0.6,0.6435,0.685,0.716,0.704,0.5755,1.1215,0.811,0.7,0.598,0.661,0.714,0.748,0.7905,0.7375,0.5995,0.588,0.68,0.63,0.619,0.555,0.5375,0.533,0.557,0.617,0.84,0.5835,0.79,0.532,0.5425,0.3865,0.5355,0.601,0.5965,0.324,0.4905,0.4815,0.6575,0.3955,0.5405,0.4565,0.4345,0.796,0.5295,0.4025,0.368,0.5025,0.637,0.5225,0.7525,0.481,0.3975,0.552,0.6555,0.6415,0.623,0.5,0.477,0.3755,0.381,0.5345,0.76,0.4235,0.358,0.63,0.563,0.399,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","MT","ABLA","H","11N","ABLA-H-11N",0.5945,0.651,0.879,0.722,0.8685,0.606,0.667,0.874,0.9045,0.479,0.689,0.5455,0.774,0.7845,0.7505,1.0315,0.521,0.7745,0.5195,1.0685,0.899,0.855,0.688,1.0025,0.701,0.8955,1.019,0.6655,0.465,0.7525,0.8195,0.6915,0.7425,0.7435,0.876,0.903,1.008,1.261,0.819,0.379,0.822,0.758,1.032,1.14,1.161,0.76,0.803,1.289,1.311,1.121,1.354,1.185,1.079,1.883,1.818,1.773,2.195,0.929,1.45,1.095,0.906,0.653,0.718,0.76,1.583,1.013,0.783,1.163,1.266,1.654,1.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","MT","ABLA","H","12C","ABLA-H-12C",0.3505,0.34,0.312,0.3265,0.331,0.221,0.247,0.303,0.3285,0.2315,0.415,0.3315,0.44,0.49,0.494,0.608,0.2825,0.494,0.3045,0.8955,0.6305,0.6355,0.4425,0.6385,0.5365,0.614,0.6485,0.3865,0.3595,0.65,0.629,0.538,0.9275,0.728,0.804,1.0125,0.9595,0.833,0.5405,0.3685,0.5405,0.4085,0.4055,0.3785,0.4665,0.255,0.4655,0.8065,0.7865,0.555,0.604,0.399,0.442,0.6285,0.536,0.408,0.478,0.313,0.4035,0.308,0.323,0.2615,0.573,0.5865,0.4735,0.6265,0.762,0.6265,0.6465,0.6115,0.785,0.773,0.6515,0.626,0.698,0.878,0.8135,1.1895,1.101,1.2205,0.867,0.5045,0.587,0.679,0.8445,0.883,0.8365,1.4875,1.518,0.838,0.875,0.8235,0.6575,0.642,0.9475,1.1385,0.896,0.511,0.6915,0.779,0.8505,1.122,1.164,1.322,1.3435,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","MT","ABLA","H","12N","ABLA-H-12N",0.2375,0.2885,0.346,0.3225,0.3385,0.276,0.2905,0.337,0.378,0.253,0.3765,0.3505,0.314,0.425,0.5055,0.48,0.4025,0.5205,0.3885,0.6145,0.3835,0.4615,0.462,0.678,0.558,0.5095,0.5655,0.4435,0.301,0.4385,0.4285,0.43,0.414,0.359,0.4035,0.455,0.4045,0.419,0.3985,0.281,0.475,0.217,0.194,0.264,0.2915,0.194,0.385,0.4795,0.4635,0.4425,0.4755,0.295,0.252,0.396,0.4345,0.3685,0.354,0.2785,0.478,0.322,0.3435,0.1965,0.25,0.261,0.2345,0.2495,0.379,0.2715,0.377,0.3355,0.3555,0.278,0.303,0.227,0.299,0.349,0.4055,0.507,0.46,0.407,0.3545,0.37,0.3755,0.328,0.362,0.1055,0.299,0.386,0.558,0.4255,0.4445,0.4285,0.3335,0.4125,0.4125,0.349,0.4655,0.36,0.3755,0.46,0.4495,0.4705,0.4175,0.407,0.418,0.5975,0.5125,0.449,0.4855,0.612,0.5805,0.586,0.595,0.716,0.521,0.7355,0.651,0.7115,0.6955,0.579,0.5,0.5285,0.705,0.633,0.4935,0.704,0.434,0.5275,0.585
"57","MT","ABLA","H","1C","ABLA-H-1C",0.247,0.909,1.096,1.136,1.051,1.03,1.409,1.577,0.505,0.463,0.484,0.442,0.463,0.715,0.652,0.862,0.591,0.507,0.443,0.946,0.441,0.629,0.671,1.028,1.007,0.989,0.507,0.295,0.273,0.564,0.544,0.608,0.629,0.587,0.629,1.003,0.899,0.73,0.708,0.604,0.666,0.416,0.626,0.648,0.547,0.379,0.652,0.965,1.128,1.073,1.536,1.003,0.982,0.333,0.566,0.566,0.923,0.44,1.145,0.865,0.963,0.285,0.981,1.031,0.488,0.326,0.387,0.32,0.6,0.582,1.004,1.092,0.307,0.247,0.33,0.371,0.247,0.373,0.228,0.352,0.308,0.326,0.667,0.222,0.301,0.219,0.294,0.396,0.412,0.353,0.412,0.475,0.558,0.623,0.712,0.915,0.329,0.27,0.347,0.463,0.528,0.565,0.364,0.252,0.474,0.394,0.377,0.308,0.432,0.574,0.826,0.528,0.635,0.812,1.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","MT","ABLA","H","1N","ABLA-H-1N",0.6175,1.7885,1.697,1.7625,1.9835,1.2075,1.146,1.1875,0.9185,0.771,0.9115,0.7625,1.0045,1.481,1.8865,2.9765,1.876,1.6125,0.9875,1.264,0.5825,1.0675,0.999,1.402,1.5845,1.874,1.2215,0.953,0.61,1.001,0.864,0.9465,1.1445,1.134,1.272,1.1425,1.315,1.3585,1.092,0.8335,1.097,0.8285,1.2345,1.908,0.775,1.0125,0.759,1.119,1.0725,0.8925,1.1265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","MT","ABLA","H","2C","ABLA-H-2C",0.206,0.457,0.5895,0.456,0.5005,0.2705,0.3025,0.4165,0.413,0.3675,0.3755,0.396,0.354,0.4035,0.3305,0.419,0.2465,0.3545,0.411,0.5425,0.2555,0.408,0.319,0.5465,0.5395,0.623,0.633,0.529,0.309,0.745,0.706,0.8785,0.862,0.8475,1.0545,0.9885,0.633,0.74,0.711,0.7205,0.4845,0.45,0.4815,0.4355,0.564,0.5375,0.5595,0.505,0.537,0.371,0.569,0.3095,0.538,0.5555,0.5245,0.72,0.7035,0.443,0.905,0.956,1.206,0.64,0.9455,1.355,0.977,1.4615,1.67,1.42,1.032,0.7755,0.784,0.5845,0.422,0.466,0.494,0.501,0.5625,0.6325,0.517,0.393,0.327,0.2725,0.27,0.3855,0.358,0.323,0.4785,0.4865,0.621,0.5775,0.569,0.379,0.3355,0.358,0.3085,0.302,0.336,0.2895,0.267,0.391,0.3985,0.372,0.383,0.46,0.5165,0.403,0.372,0.3105,0.441,0.511,0.557,0.3155,0.464,0.622,0.5335,0.649,0.4845,0.4565,0.363,0.265,0.193,0.2505,0.3385,0.348,0.2365,0.5205,0.3155,0.294,NA
"60","MT","ABLA","H","2N","ABLA-H-2N",0.341,1.277,1.156,1.227,1.576,1.163,1.2265,1.153,0.793,0.7405,1.0265,1.0575,1.395,1.616,1.3025,1.394,0.881,1.134,0.7985,1.312,0.651,1.0165,0.796,1.0005,1.032,1.238,1.1205,0.984,0.888,0.926,0.9345,0.7595,1.4915,1.4305,1.5745,1.424,1.753,1.6155,1.1955,1.048,1.1085,1.071,1.148,1.3525,0.694,0.596,0.581,1.009,0.741,0.8795,1.037,0.962,1.148,1.2355,0.7145,0.841,1.1295,0.878,1.328,1.154,1.59,1.0365,0.86,1.114,0.905,1.325,0.836,0.791,1.031,1.464,0.568,1.124,0.83,0.772,0.927,0.61,1.182,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
