"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895"
"23","WA","TSHE","H","10C","TSHE-H-10C",NA,NA,NA,NA,NA,1.861,1.013,0.613,0.55,0.529,0.601,0.9155,0.6125,0.899,0.6865,0.8855,0.962,0.896,0.8455,0.7285,0.8225,1.409,0.909,0.7705,0.569,0.6745,0.9025,0.852,0.978,1.0495,1.1395,0.863,1.241,1.0445,0.9715,0.607,0.788,0.8885,0.6865,1.1115,0.888,1.3,1.1945,0.972,0.8865,1.0355,0.813,0.983,0.886,1.311,1.7505,1.562,1.27,1.039,0.5475,0.938,0.653,0.6745,1.084,1.118,1.2965,1.353,0.6965,0.687,0.729,0.781,0.8245,0.94,0.929,0.95,0.992,0.833,0.918,0.9485,1.2555,0.5595,0.739,0.8755,0.7395,1.025,0.877,0.6225,0.8125,0.686,0.5905,0.6645,0.8905,0.93,1.353,1.2795,0.8765,0.748,0.8425,1.093,1.2215,0.8945,1.0945,1.1345,1.094,1.136,1.1295,1.3125,1.326,1.0725,1.2395,1.1655,1.0625,1.372,1.766,1.038,1.372,1.1505,1.3035,1.768,1.404,1.6685,1.456,1.0785,1.669
"24","WA","TSHE","H","10N","TSHE-H-10N",0.362,0.586,0.43,0.555,0.899,1.282,0.677,0.333,0.258,0.347,0.651,0.609,0.581,1.092,0.982,1.02,0.997,1.157,0.637,0.654,0.49,1.142,1.271,1.144,0.634,1.227,1.126,1.428,0.804,1.437,1.351,0.948,1.386,1.377,1.065,1.076,0.933,1.154,0.72,1.105,0.99,1.22,1.171,1.212,1.324,1.24,1.076,1.259,1.076,1.241,1.06,0.65,0.508,0.739,0.658,1.241,0.736,1.047,1.208,1.573,2.314,2.171,1.299,1.503,0.925,1.083,1.056,1.606,1.112,1.157,1.347,1.755,1.708,1.452,1.187,0.859,1.518,1.369,1.443,2.335,1.749,1.173,1.21,1.172,0.941,1.21,1.373,1.051,1.338,1.144,1.238,1.027,1.587,1.371,1.675,1.173,1.33,1.36,1.613,1.753,2.191,2.285,1.961,2.112,2.159,1.986,2.104,1.894,2.408,2.363,2.619,2.131,1.789,2.104,1.868,1.896,2.112,1.929,2.064
"25","WA","TSHE","H","11C","TSHE-H-11C",0.9765,1.2495,0.999,1.0545,1,1.4,1.379,1.0225,1.439,0.9585,1.136,1.521,1.761,2.2765,2.147,1.306,1.132,1.57,1.3435,1.3985,1.4605,2.016,2.1,1.5025,1.3765,1.5725,0.9905,1.369,1.3885,1.6705,1.534,1.7555,1.941,1.6075,1.5255,1.486,1.3605,1.558,1.04,1.362,1.492,1.669,1.301,1.4355,1.2615,1.2385,1.231,1.4645,1.3805,1.531,1.499,1.5235,1.367,1.8395,1.778,1.337,1.756,1.372,1.694,1.4785,1.322,1.298,0.985,0.987,0.7505,1.1055,1.0155,1.087,1.2005,1.227,1.445,1.4765,1.539,1.534,1.768,1.574,1.6975,1.668,1.438,0.9985,1.345,0.9625,0.891,1.435,0.8935,1.2295,1.757,2.9495,2.557,2.4,2.56,2.072,2.825,2.7665,3.435,2.326,2.182,1.8465,2.082,2.5485,2.74,1.6225,2.274,2.253,2.247,1.869,2.152,2.625,2.776,2.379,3.074,2.105,3.064,2.39,2.433,3.617,2.953,2.948,2.984
"26","WA","TSHE","H","11N","TSHE-H-11N",2.114,2.039,1.759,1.605,1.6455,2.5135,1.7785,1.3415,0.9925,0.8245,0.8345,0.835,1.0675,1.4375,1.437,1.345,1.01,1.4605,1.6645,1.835,1.5655,1.803,1.6445,1.444,1.4215,1.9555,1.621,1.284,1.62,3.0115,3.2845,2.359,3.027,2.125,1.5645,2.4965,2.078,2.194,1.8065,1.9975,2.5175,2.813,2.153,1.915,2.1445,1.793,1.766,2.4315,3.138,3.4,2.9635,1.8515,1.567,1.5205,1.3485,1.2545,1.7205,1.5935,1.628,1.893,2.292,2.369,1.581,1.8225,1.9835,1.696,1.941,2.184,1.96,2.246,2.3375,3.137,2.6335,2.469,2.671,2.013,2.8865,3.0455,2.0445,1.7825,1.536,1.2645,1.4255,1.5085,1.878,2.511,2.592,2.6445,2.407,1.795,1.732,1.561,2.054,1.8945,2.2325,1.63,1.8605,2.7765,2.1515,1.699,1.8495,1.5315,1.934,1.4655,1.482,2.248,2.548,2.157,3.1545,3.5605,1.2835,2.23,2.142,2.484,2.001,2.039,1.448,0.952,3.151
"27","WA","TSHE","H","12C","TSHE-H-12C",0.336,0.379,0.2635,0.3375,0.3805,0.918,0.8435,0.559,0.347,0.6755,0.4645,0.6205,0.568,1.105,1.101,0.6515,0.867,1.0025,0.759,0.693,0.4805,1.033,0.8895,0.73,0.644,0.654,0.5835,0.6665,0.8425,1,1.0795,1.1515,1.644,1.544,0.8295,0.953,0.5485,0.8775,0.7805,0.9505,1.1085,1.616,1.101,1.0995,1.2955,0.7005,0.94,1.177,1.531,1.861,1.546,1.2525,0.971,0.748,0.529,1.118,1.661,0.9155,1.5845,1.412,1.59,1.4115,0.965,1.44,1.157,1.2285,1.2275,1.063,1.1665,1.174,1.6715,1.4775,1.5555,1.2045,1.5385,0.847,1.4265,1.2885,1.186,1.7535,1.707,1.135,1.187,1.5435,1.682,1.5515,1.1985,1.237,2.161,2.0615,1.9195,1.6025,2.012,2.233,2.3935,2.429,2.457,2.648,3.408,3.148,3.924,3.685,2.298,2.293,2.7,2.568,2.267,2.634,2.601,1.826,2.658,2.07,3.063,2.547,1.96,2,1.516,1.389,1.542
"28","WA","TSHE","H","12N","TSHE-H-12N",0.9,0.9695,0.495,0.9655,0.8525,1.114,1.036,0.533,0.548,0.6195,0.367,0.629,0.6405,0.8515,0.673,0.8105,0.431,0.5265,0.514,0.5235,0.6945,0.736,0.284,0.4925,0.346,0.662,0.7155,0.8195,1.008,1.4365,1.739,0.995,1.6235,0.9635,0.9185,1.0905,0.9945,0.764,0.6075,0.9035,1.018,1.113,1.1535,1.1535,0.9785,0.974,0.867,0.905,1.1975,1.5435,1.6665,1.1395,0.724,0.797,0.5695,0.8505,0.9795,0.659,1.0495,1.2795,1.133,1.04,0.847,0.773,0.719,0.5735,0.5835,0.7195,1.0105,0.9055,1.0635,0.699,0.8695,1.0495,1.551,1.1805,1.667,1.556,1.521,2.3985,1.838,1.1915,1.2195,1.3255,1.3865,1.435,1.6795,1.457,2.0365,1.92,1.8275,1.214,1.573,1.4055,1.2165,0.8565,1.248,1.8725,2.2835,2.6215,2.5875,2.587,2.6375,2.8435,3.266,3.0765,3.047,3.566,5.101,3.653,4.677,3.604,3.756,4.18,3.3175,3.361,2.597,3.116,3.5505
"29","WA","TSHE","H","1C","TSHE-H-1C",0.891,1.122,0.979,1.1005,0.8975,1.9195,2.199,1.536,0.7195,0.883,1.0265,0.9415,0.835,1.3185,1.2145,1.471,1.5735,1.2855,1.301,1.237,1.129,1.95,2.041,1.546,1.0405,1.5765,1.442,1.8545,1.8555,2.537,2.6895,2.1795,2.879,1.5445,1.447,1.585,1.773,2.115,1.53,1.9195,1.887,2.427,1.8895,1.953,2.2645,1.9055,1.674,1.534,2.3945,3.02,3.694,2.5195,1.453,1.4825,1.1675,1.768,1.853,1.441,2.042,2.287,2.4085,1.8525,1.1915,1.413,1.1265,1.855,1.4075,1.636,1.5045,1.7315,1.8465,2.3575,1.581,2.048,2.9085,1.2805,2.326,2.153,1.7095,2.946,2.5285,1.926,2.9205,2.4825,2.4025,1.2115,1.122,1.185,1.925,1.256,1.43,1.047,1.147,2.123,1.496,1.107,1.614,2.27,2.534,2.971,2.743,3.343,3.063,2.15,2.195,2.863,2.647,3.534,3.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","WA","TSHE","H","1N","TSHE-H-1N",1.375,1.172,0.8935,1.169,0.7675,0.9485,0.739,1.3265,0.848,1.074,1.0995,1.288,1.37,1.603,1.036,1.5115,1.0265,1.1465,1.2245,1.266,0.8955,1.346,1.2655,1.541,1.2765,1.2465,1.329,1.4555,1.379,1.758,1.7835,1.174,1.6705,1.5765,1.3855,1.193,1.1085,1.3845,1.4805,1.523,1.576,1.9145,2.2705,1.997,1.9455,1.7345,2.674,1.862,2.208,2.515,2.7905,2.0095,1.9985,2.4285,1.342,2.3255,2.197,1.7585,2.3205,2.494,2.523,2.8495,2.38,2.2845,2.176,2.6295,2.6355,3.015,2.361,1.79,1.924,2.7465,2.6825,2.503,2.435,2.564,2.357,2.405,2.328,3.344,2.722,2.639,2.48,2.4815,2.6355,3.4475,3.1555,2.566,3.0305,2.7765,3.554,3.4985,3.924,2.698,3.999,3.086,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","WA","TSHE","H","2C","TSHE-H-2C",2.244,1.523,0.929,1.036,0.9935,1.661,1.908,1.7325,1.118,1.0645,1.527,1.348,1.7565,2.101,2.1765,1.79,1.578,1.6745,1.362,1.325,1.196,1.921,2.076,2.1585,1.4535,0.4915,1.4015,1.1715,1.3425,1.6365,1.9365,1.6485,2.0095,1.495,1.4015,1.5775,0.8415,1.0745,0.9685,1.3445,1.2425,1.43,1.297,1.377,1.904,1.604,1.7985,2.0065,1.567,2.106,2.4085,2.0665,1.838,1.5635,1.066,1.1175,1.044,0.7385,1.7095,2.1855,2.009,1.566,1.058,1.6505,1.5605,1.409,1.289,1.5515,1.4525,1.4015,1.9205,1.886,1.904,2.242,2.784,1.47,2.391,2.69,1.909,2.8455,2.1435,1.5655,1.6605,2.188,2.595,3.401,2.9955,3.4165,3.681,3.1515,4.57,3.5535,3.772,3.341,3.4905,2.957,3.133,3.8235,3.4885,3.7695,3.9625,4.075,3.914,4.2685,3.816,3.696,4.4365,3.7465,4.244,3.785,3.854,3.202,4.684,2.067,0.657,0.622,0.54,0.548,0.623
"32","WA","TSHE","H","2N","TSHE-H-2N",1.175,1.216,0.9245,0.8015,0.7625,1.1015,1.137,1.167,1.5995,1.054,1.238,1.456,2.0195,1.89,1.7295,1.782,1.881,1.4185,1.536,2.0525,3.05,3.263,3.655,1.953,1.4035,1.9605,2.238,2.554,2.84,3.3585,3.0595,2.251,2.2235,1.84,1.629,2.1455,1.3825,1.69,1.368,2.2505,1.77,1.9925,2.067,1.5735,1.9245,1.6295,1.3305,1.9885,1.778,2.423,2.39,2.4235,1.6995,1.379,1.3375,1.233,1.5135,0.81,1.886,2.449,1.957,1.489,0.931,1.339,1.007,1.3755,1.5,1.4485,0.926,1.02,1.3035,1.8675,1.901,1.4955,1.6365,0.811,1.096,1.3955,0.8335,1.1355,1.015,0.865,0.7585,1.0225,1.2955,1.6015,1.612,1.5785,1.4585,1.1055,1.6675,1.0665,1.0645,0.972,1.058,0.6915,1.031,1.7025,1.837,1.442,1.666,1.959,1.6575,0.829,1.673,1.384,1.361,1.502,2.382,1.205,1.527,1.36,1.272,1.588,1.566,1.79,1.456,1.794,1.677
