age_CE,DP0701A_raw,DP0702A_raw,DP0703B_raw,DP0705B_raw,DP0706B_raw,DP0707B_raw,DP0708B_raw,DP0709A_raw,DP0710B_raw,DP0713A_raw,DP0714A_raw,DP0715A_raw,DP0717B_raw,DP0718A_raw,DP0721B_raw,DP0722B_raw,DP0723A_raw,DP0724B_raw,DP0725B_raw,DP0726A_raw,DP0727A_raw,DP0728A_raw,DP0729A_raw,DP0731A_raw,DP0732B_raw,DP0733A_raw,DP0701A_raw_outlier_flag,DP0702A_raw_outlier_flag,DP0703B_raw_outlier_flag,DP0705B_raw_outlier_flag,DP0706B_raw_outlier_flag,DP0707B_raw_outlier_flag,DP0708B_raw_outlier_flag,DP0709A_raw_outlier_flag,DP0710B_raw_outlier_flag,DP0713A_raw_outlier_flag,DP0714A_raw_outlier_flag,DP0715A_raw_outlier_flag,DP0717B_raw_outlier_flag,DP0718A_raw_outlier_flag,DP0721B_raw_outlier_flag,DP0722B_raw_outlier_flag,DP0723A_raw_outlier_flag,DP0724B_raw_outlier_flag,DP0725B_raw_outlier_flag,DP0726A_raw_outlier_flag,DP0727A_raw_outlier_flag,DP0728A_raw_outlier_flag,DP0729A_raw_outlier_flag,DP0731A_raw_outlier_flag,DP0732B_raw_outlier_flag,DP0733A_raw_outlier_flag
1857,NA,NA,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,NA,NA,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,NA,NA,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,NA,NA,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862,NA,NA,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863,NA,NA,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,NA,NA,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,NA,2.1,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
