age_CE,SS578_raw,SS580_raw,CC5821_raw,CC5822_raw,SS7761_raw,SS7772_raw,SS578_raw_outlier_flag,SS580_raw_outlier_flag,CC5821_raw_outlier_flag,CC5822_raw_outlier_flag,SS7761_raw_outlier_flag,SS7772_raw_outlier_flag
1291,NA,NA,NA,NA,NA,2.95,NA,NA,NA,NA,NA,TRUE
1292,NA,NA,NA,NA,NA,3.05,NA,NA,NA,NA,NA,TRUE
1293,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,TRUE
1294,NA,NA,NA,NA,NA,3.04,NA,NA,NA,NA,NA,TRUE
1295,NA,NA,NA,NA,NA,2.73,NA,NA,NA,NA,NA,TRUE
1296,NA,NA,NA,NA,NA,3.13,NA,NA,NA,NA,NA,TRUE
1297,NA,NA,NA,NA,NA,3.17,NA,NA,NA,NA,NA,TRUE
1298,NA,NA,NA,NA,NA,2.94,NA,NA,NA,NA,NA,TRUE
1299,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,TRUE
1300,NA,NA,NA,NA,NA,2.52,NA,NA,NA,NA,NA,TRUE
1301,NA,NA,NA,NA,NA,1.98,NA,NA,NA,NA,NA,FALSE
1302,NA,NA,NA,NA,NA,1.96,NA,NA,NA,NA,NA,FALSE
1303,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,TRUE
1304,NA,NA,NA,NA,NA,1.97,NA,NA,NA,NA,NA,FALSE
1305,NA,NA,NA,NA,NA,1.85,NA,NA,NA,NA,NA,FALSE
1306,NA,NA,NA,NA,NA,1.74,NA,NA,NA,NA,NA,FALSE
1307,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,FALSE
1308,NA,NA,NA,NA,NA,1.54,NA,NA,NA,NA,NA,FALSE
1309,NA,NA,NA,NA,NA,1.74,NA,NA,NA,NA,NA,FALSE
1310,NA,NA,NA,NA,NA,1.61,NA,NA,NA,NA,NA,FALSE
1311,NA,NA,NA,NA,NA,1.57,NA,NA,NA,NA,NA,FALSE
1312,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,FALSE
1313,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,FALSE
1314,NA,NA,NA,NA,NA,1.35,NA,NA,NA,NA,NA,FALSE
1315,NA,NA,NA,NA,NA,1.31,NA,NA,NA,NA,NA,FALSE
1316,NA,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,FALSE
1317,NA,NA,NA,NA,NA,1.47,NA,NA,NA,NA,NA,FALSE
1318,NA,NA,NA,NA,NA,1.93,NA,NA,NA,NA,NA,FALSE
1319,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,FALSE
1320,NA,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,FALSE
1321,NA,NA,NA,NA,NA,1.16,NA,NA,NA,NA,NA,FALSE
1322,NA,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,FALSE
1323,NA,NA,NA,NA,NA,1.26,NA,NA,NA,NA,NA,FALSE
1324,NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,NA,FALSE
1325,NA,NA,NA,NA,NA,1.16,NA,NA,NA,NA,NA,FALSE
1326,NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,FALSE
1327,NA,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,FALSE
1328,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,FALSE
1329,NA,NA,NA,NA,NA,1.42,NA,NA,NA,NA,NA,FALSE
1330,NA,NA,NA,NA,NA,1.19,NA,NA,NA,NA,NA,FALSE
1331,NA,NA,NA,NA,NA,1.23,NA,NA,NA,NA,NA,FALSE
1332,NA,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,FALSE
1333,NA,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,FALSE
1334,NA,NA,NA,NA,NA,1.47,NA,NA,NA,NA,NA,FALSE
1335,NA,NA,NA,NA,NA,1.88,NA,NA,NA,NA,NA,FALSE
1336,NA,NA,NA,NA,NA,1.36,NA,NA,NA,NA,NA,FALSE
1337,NA,NA,NA,NA,NA,1.21,NA,NA,NA,NA,NA,FALSE
1338,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,FALSE
1339,1.71,NA,NA,NA,NA,1.2,FALSE,NA,NA,NA,NA,FALSE
1340,1.81,NA,NA,NA,NA,0.77,FALSE,NA,NA,NA,NA,FALSE
1341,2.68,NA,NA,NA,NA,0.79,FALSE,NA,NA,NA,NA,FALSE
1342,2.8,NA,NA,NA,NA,1.42,FALSE,NA,NA,NA,NA,FALSE
1343,3.24,NA,NA,NA,NA,1.66,TRUE,NA,NA,NA,NA,FALSE
1344,2.13,NA,NA,NA,NA,0.66,FALSE,NA,NA,NA,NA,FALSE
1345,2.19,NA,NA,NA,NA,0.86,FALSE,NA,NA,NA,NA,FALSE
1346,2.59,NA,NA,NA,NA,1.07,FALSE,NA,NA,NA,NA,FALSE
1347,2.34,NA,NA,NA,NA,0.97,FALSE,NA,NA,NA,NA,FALSE
1348,2.66,NA,NA,NA,NA,1.12,FALSE,NA,NA,NA,NA,FALSE
1349,2.58,NA,NA,NA,NA,1.16,FALSE,NA,NA,NA,NA,FALSE
1350,2.5,NA,NA,NA,NA,1.5,FALSE,NA,NA,NA,NA,FALSE
1351,1.44,NA,NA,NA,NA,0.94,FALSE,NA,NA,NA,NA,FALSE
1352,2.35,NA,NA,NA,NA,1.28,FALSE,NA,NA,NA,NA,FALSE
1353,2.77,NA,NA,NA,NA,1.13,FALSE,NA,NA,NA,NA,FALSE
1354,2.36,NA,NA,NA,NA,1.07,FALSE,NA,NA,NA,NA,FALSE
1355,2.08,NA,NA,NA,NA,0.79,FALSE,NA,NA,NA,NA,FALSE
1356,1.77,NA,NA,NA,NA,0.93,FALSE,NA,NA,NA,NA,FALSE
1357,1.6,NA,NA,NA,NA,0.95,FALSE,NA,NA,NA,NA,FALSE
1358,1.82,NA,NA,NA,NA,1.02,FALSE,NA,NA,NA,NA,FALSE
1359,1.79,NA,NA,NA,NA,1.01,FALSE,NA,NA,NA,NA,FALSE
1360,2.35,NA,NA,NA,NA,1.07,FALSE,NA,NA,NA,NA,FALSE
1361,2.45,NA,NA,NA,NA,1.08,FALSE,NA,NA,NA,NA,FALSE
1362,2.41,NA,NA,NA,NA,0.88,FALSE,NA,NA,NA,NA,FALSE
1363,2.05,NA,NA,NA,NA,0.86,FALSE,NA,NA,NA,NA,FALSE
1364,1.85,NA,NA,NA,NA,0.96,FALSE,NA,NA,NA,NA,FALSE
1365,1.72,NA,NA,NA,NA,0.51,FALSE,NA,NA,NA,NA,FALSE
1366,1.84,NA,NA,NA,NA,0.67,FALSE,NA,NA,NA,NA,FALSE
1367,1.97,NA,NA,NA,NA,0.66,FALSE,NA,NA,NA,NA,FALSE
1368,2.06,NA,NA,NA,NA,0.68,FALSE,NA,NA,NA,NA,FALSE
1369,2,NA,NA,NA,NA,0.7,FALSE,NA,NA,NA,NA,FALSE
1370,2.13,NA,NA,NA,NA,0.81,FALSE,NA,NA,NA,NA,FALSE
1371,2.12,NA,NA,NA,NA,1.09,FALSE,NA,NA,NA,NA,FALSE
1372,2.11,NA,NA,NA,NA,1.08,FALSE,NA,NA,NA,NA,FALSE
1373,1.93,NA,NA,NA,NA,1.06,FALSE,NA,NA,NA,NA,FALSE
1374,1.71,NA,NA,NA,NA,1.02,FALSE,NA,NA,NA,NA,FALSE
1375,1.46,NA,NA,NA,NA,1.17,FALSE,NA,NA,NA,NA,FALSE
1376,1.37,NA,NA,NA,NA,1.12,FALSE,NA,NA,NA,NA,FALSE
1377,1.02,NA,NA,NA,NA,1.03,FALSE,NA,NA,NA,NA,FALSE
1378,1.28,NA,NA,NA,NA,1.13,FALSE,NA,NA,NA,NA,FALSE
1379,1.82,NA,NA,NA,NA,1.06,FALSE,NA,NA,NA,NA,FALSE
1380,1.82,NA,NA,NA,NA,0.83,FALSE,NA,NA,NA,NA,FALSE
1381,2.14,NA,NA,NA,NA,0.81,FALSE,NA,NA,NA,NA,FALSE
1382,2.06,NA,NA,NA,NA,0.86,FALSE,NA,NA,NA,NA,FALSE
