Year,RWI
1880,0.769935175
1881,0.923458617
1882,0.953675738
1883,0.997875053
1884,0.950920089
1885,1.008442716
1886,1.108413108
1887,0.788562676
1888,1.020511711
1889,1.130726546
1890,1.136451619
1891,1.477748782
1892,1.014269381
1893,1.055448795
1894,0.684368021
1895,1.161898979
1896,0.744190267
1897,0.977205244
1898,1.264379378
1899,0.418777129
1900,0.929747041
1901,1.210623844
1902,1.055150972
1903,0.916952216
1904,1.106063035
1905,1.019563377
1906,0.741882762
1907,1.258978645
1908,1.121211685
1909,0.867397355
1910,0.909066204
1911,1.060791371
1912,0.885224987
1913,0.853373003
1914,1.125050308
1915,1.098799894
1916,0.778352599
1917,0.812944948
1918,0.966075881
1919,0.954887936
1920,1.083763414
1921,0.838898535
1922,1.019183873
1923,0.856066048
1924,0.966439083
1925,1.023140282
1926,0.934152712
1927,0.889200332
1928,1.018193223
1929,1.003792289
1930,1.06945122
1931,1.143777327
1932,1.071608602
1933,0.94538917
1934,0.857561437
1935,1.153686314
1936,1.006970505
1937,0.925715634
1938,1.097618784
1939,1.007721427
1940,1.12131933
1941,1.101930586
1942,1.127818232
1943,0.810596869
1944,1.10535153
1945,1.18913008
1946,1.03041149
1947,0.957852529
1948,1.197710441
1949,0.99146254
1950,0.874165277
1951,1.027860082
1952,1.00617404
1953,0.988602781
1954,0.720365875
1955,1.046690058
1956,0.856498607
1957,0.753190014
1958,1.203571169
1959,0.76880154
1960,1.025211448
1961,0.9323378
1962,0.900565518
1963,1.048616829
1964,0.635003454
1965,1.134221481
1966,1.129567871
1967,1.106218378
1968,1.028547875
1969,1.018226062
1970,1.153210299
1971,0.9661489
1972,0.709687206
1973,1.212591701
1974,0.729544112
1975,1.021889441
1976,0.903404285
1977,1.339283889
1978,1.008744936
1979,0.95351121
1980,1.017539958
1981,1.13262227
1982,0.79669621
1983,0.82031666
1984,0.980317147
1985,0.958358741
1986,0.88085029
1987,1.02548946
1988,1.05277488
1989,0.859875679
1990,1.270135644
1991,0.875448455
1992,0.992649942
1993,0.834530012
1994,1.165810205
1995,1.061953226
1996,1.146464432
1997,0.659024254
1998,1.296935816
1999,0.681636514
2000,1.078436519
2001,1.275975869
2002,0.954337644
2003,1.08579753
2004,0.963703522
2005,0.904252453
2006,1.096348201
2007,1.002942488
2008,0.76030117
2009,0.989264088
2010,1.03073099
2011,0.778525965
2012,0.967298075
2013,0.933603604
2014,0.999547867
2015,0.861286201
