Year,RWI
1880,0.62189964
1881,1.046152258
1882,0.779570167
1883,1.175091315
1884,1.07324033
1885,1.072620173
1886,1.36008584
1887,0.835291708
1888,1.0109277
1889,1.427635398
1890,0.995511031
1891,0.858259678
1892,0.803397298
1893,0.85598165
1894,0.703294798
1895,1.132911728
1896,0.838259118
1897,1.01420983
1898,1.315792973
1899,0.499788888
1900,0.981862745
1901,1.097311726
1902,0.989183132
1903,0.897253436
1904,1.198470082
1905,1.245639539
1906,0.88052276
1907,1.057441596
1908,1.060316953
1909,0.846716788
1910,1.018832643
1911,1.061587065
1912,1.016121619
1913,0.910741854
1914,1.18656929
1915,1.101602862
1916,0.796439866
1917,0.873192054
1918,1.061024238
1919,1.019358672
1920,1.090125028
1921,0.862350236
1922,0.933111141
1923,0.890493521
1924,1.022310972
1925,1.027940944
1926,1.099877285
1927,0.864300653
1928,0.914310877
1929,0.918647802
1930,1.109260539
1931,1.04157804
1932,0.902657588
1933,0.939554319
1934,1.113398692
1935,1.116755809
1936,1.103905812
1937,0.902065748
1938,1.022271836
1939,0.942391425
1940,1.131929376
1941,1.261630188
1942,0.913211549
1943,0.941298519
1944,1.167095143
1945,1.120007107
1946,0.92563823
1947,0.950378173
1948,1.136164831
1949,0.854827493
1950,0.898242336
1951,1.313953002
1952,1.11887585
1953,1.022103833
1954,0.771411517
1955,0.843258577
1956,0.828841808
1957,0.936287177
1958,1.202622508
1959,0.882937864
1960,0.98950333
1961,1.072809507
1962,0.856300362
1963,1.042264151
1964,0.740926448
1965,1.049853427
1966,1.118842925
1967,1.173402091
1968,1.136529263
1969,0.894029555
1970,1.050862202
1971,0.893476701
1972,0.825806806
1973,1.06239387
1974,0.674640478
1975,1.026849509
1976,0.880468729
1977,1.28434394
1978,0.995881054
1979,0.881316059
1980,1.019471413
1981,1.032433843
1982,0.907188711
1983,0.943876392
1984,1.136865124
1985,1.062922154
1986,0.991750642
1987,1.156853855
1988,1.116777059
1989,0.842050866
1990,1.188398487
1991,0.800277312
1992,0.998682397
1993,0.659069169
1994,0.963336577
1995,0.848453602
1996,1.006690377
1997,0.836774198
1998,1.193616453
1999,0.808098194
2000,1.110645846
2001,1.09142688
2002,0.944279254
2003,1.072070405
2004,1.105268716
2005,1.024135882
2006,1.016656175
2007,0.932589458
2008,0.901567313
2009,1.180330305
2010,1.157136012
2011,0.800164441
2012,1.25892153
2013,1.029288469
2014,0.9625339
2015,NA
