Year,RWI
1880,1.250266969
1881,0.66969123
1882,0.649333468
1883,0.894662291
1884,0.853183508
1885,0.95587936
1886,1.011858526
1887,1.090291828
1888,1.296107239
1889,0.918691804
1890,1.218362792
1891,0.810983162
1892,1.148515837
1893,0.96638178
1894,1.031584127
1895,0.883512021
1896,1.228657608
1897,1.206461196
1898,1.059224296
1899,0.673517915
1900,0.865209934
1901,1.335537303
1902,0.976927508
1903,0.928657886
1904,0.944815372
1905,0.991095249
1906,1.10952779
1907,0.993666803
1908,1.000940302
1909,1.18942521
1910,0.667689378
1911,0.98346927
1912,0.943242785
1913,0.964723707
1914,1.042507963
1915,1.050070156
1916,0.845425637
1917,1.221359787
1918,1.014453077
1919,0.856897162
1920,1.013631926
1921,0.867638562
1922,1.058698979
1923,0.827730906
1924,0.893847102
1925,0.89691837
1926,0.941132719
1927,0.871020676
1928,0.985650676
1929,1.089955939
1930,1.03708706
1931,1.155435865
1932,1.026823898
1933,1.090840408
1934,0.99122679
1935,0.910821966
1936,0.824144035
1937,1.039489557
1938,1.105408299
1939,0.923092571
1940,1.117141244
1941,1.10502216
1942,1.003612209
1943,0.929043663
1944,1.090741599
1945,1.230928489
1946,0.977992916
1947,0.808125232
1948,1.178991036
1949,0.923296736
1950,1.147435015
1951,0.909341382
1952,1.07261639
1953,0.993964076
1954,0.845365794
1955,1.153972676
1956,0.77739681
1957,0.803938416
1958,1.246833497
1959,0.70477386
1960,1.024194732
1961,0.891326367
1962,0.888496613
1963,1.008836205
1964,0.933010602
1965,1.042297229
1966,1.04982532
1967,1.185041752
1968,1.053788553
1969,1.10844429
1970,1.197039662
1971,1.071344263
1972,0.899393569
1973,0.934872332
1974,0.744357295
1975,0.940239952
1976,0.813891115
1977,1.250938938
1978,0.881506382
1979,1.070095123
1980,0.838653753
1981,1.191893198
1982,0.997106189
1983,0.737839635
1984,0.969266588
1985,1.127985868
1986,0.986903177
1987,1.217417751
1988,1.030171568
1989,0.95757615
1990,1.179360011
1991,0.731008009
1992,0.915822081
1993,0.689785818
1994,1.116097612
1995,0.88790433
1996,1.177750249
1997,0.724001174
1998,1.108683466
1999,0.776954039
2000,1.106400191
2001,1.125545123
2002,0.989195037
2003,1.035339701
2004,0.982892656
2005,1.157254481
2006,1.063007509
2007,0.98091397
2008,1.017205532
2009,1.086241662
2010,0.997316208
2011,0.618693326
