Year,RWI
1880,0.840297882
1881,1.176498151
1882,1.008991667
1883,1.082429033
1884,0.882143104
1885,0.930856307
1886,1.099760482
1887,0.852419403
1888,1.083634259
1889,0.970317809
1890,1.03371788
1891,1.102257223
1892,0.90941265
1893,0.911793621
1894,0.824005654
1895,1.024176541
1896,0.876713481
1897,0.986546954
1898,1.058842486
1899,0.734452016
1900,1.020054854
1901,1.127193364
1902,0.991565014
1903,0.871428152
1904,1.232989036
1905,1.090313013
1906,1.03221416
1907,1.217679162
1908,1.211612747
1909,0.945035582
1910,1.049344407
1911,1.176049267
1912,0.979864071
1913,0.883245273
1914,1.219333322
1915,1.241284387
1916,0.671818546
1917,1.00572784
1918,1.036177914
1919,0.862317659
1920,1.067571828
1921,0.748353876
1922,1.17732254
1923,0.910954929
1924,0.905178981
1925,0.863353435
1926,0.786257148
1927,0.850495888
1928,0.901738746
1929,0.933628257
1930,0.981001361
1931,1.019304433
1932,0.88882283
1933,1.010998979
1934,0.946523504
1935,1.178851036
1936,0.967705765
1937,0.969980781
1938,1.027722262
1939,0.937603683
1940,1.042297759
1941,1.072869225
1942,1.044259627
1943,0.880486628
1944,1.076516679
1945,1.077661207
1946,0.999987972
1947,0.928005172
1948,1.247503943
1949,0.982061898
1950,1.14577812
1951,1.044160778
1952,1.058783525
1953,0.94257789
1954,0.866157061
1955,1.135259829
1956,0.967920681
1957,0.971137257
1958,1.174528776
1959,0.776277424
1960,1.130982116
1961,0.939888271
1962,0.973254604
1963,1.004873041
1964,0.90594867
1965,1.086375194
1966,1.081847887
1967,1.067390707
1968,0.974641687
1969,0.932016046
1970,1.05907524
1971,0.983349872
1972,0.796323728
1973,1.132758191
1974,0.831775238
1975,0.976624411
1976,0.980779457
1977,1.21595509
1978,0.988170825
1979,0.926670573
1980,0.908903699
1981,1.222074982
1982,0.895855889
1983,0.718027306
1984,1.084082539
1985,1.162098129
1986,1.048365678
1987,1.008819608
1988,0.922595572
1989,0.719487379
1990,1.12214779
1991,0.816572165
1992,0.959044015
1993,0.764125778
1994,1.132821381
1995,0.982863539
1996,1.382844114
1997,0.710547142
1998,1.11088095
1999,0.810056292
2000,1.053017899
2001,1.084310569
2002,1.040306958
2003,1.046335496
2004,1.004255327
2005,1.001295847
2006,1.030379825
2007,0.918886043
2008,0.911853458
2009,1.159596699
2010,0.978883399
2011,0.868919712
2012,1.075278885
2013,0.917789819
2014,0.994193057
2015,1.278092434
