Year,RWI
1880,0.725031234
1881,1.043022794
1882,0.673662295
1883,1.156300167
1884,1.020587187
1885,1.07780357
1886,1.16839847
1887,0.966598909
1888,0.983029781
1889,1.298557297
1890,0.997311857
1891,1.107150069
1892,0.870083432
1893,1.044335983
1894,0.658794207
1895,0.959872021
1896,0.884825389
1897,1.085494416
1898,1.250496222
1899,0.495080826
1900,0.968350858
1901,0.958041238
1902,1.009637966
1903,0.916788838
1904,1.240687947
1905,1.205658753
1906,1.009761682
1907,1.29453102
1908,1.186277259
1909,0.9397167
1910,1.139578145
1911,1.026778713
1912,1.041905109
1913,0.757578845
1914,1.106297394
1915,1.013108678
1916,0.889660564
1917,0.755193994
1918,1.06172654
1919,1.145837982
1920,1.19769133
1921,0.802762644
1922,0.952629867
1923,0.78265481
1924,1.080898359
1925,1.087439312
1926,0.954825091
1927,0.862371127
1928,1.001903807
1929,0.90821715
1930,1.032859459
1931,1.044226944
1932,0.934164951
1933,0.759363426
1934,0.86571312
1935,0.9520035
1936,0.898882119
1937,0.841877639
1938,1.216145881
1939,1.148222831
1940,1.059224269
1941,1.212932916
1942,1.146689924
1943,0.922002786
1944,1.005134786
1945,1.239572211
1946,1.017522592
1947,0.945772916
1948,0.964108098
1949,0.970236386
1950,0.728236478
1951,1.024427684
1952,1.241270065
1953,1.176905843
1954,0.84876081
1955,0.950163568
1956,0.970595347
1957,0.662549723
1958,1.175183271
1959,0.732912522
1960,1.22944431
1961,1.255279015
1962,0.989138188
1963,1.156930542
1964,0.601969897
1965,1.249660536
1966,1.20978638
1967,1.054165732
1968,1.064580257
1969,0.98953093
1970,1.047295915
1971,1.086157823
1972,0.892638725
1973,0.995055302
1974,0.652486808
1975,0.967359878
1976,0.779816024
1977,1.041097531
1978,0.932300702
1979,0.945965911
1980,0.932599888
1981,1.133847938
1982,0.88094486
1983,0.969893511
1984,0.966769353
1985,1.041763722
1986,0.965644659
1987,0.930028406
1988,1.064295629
1989,1.02825308
1990,1.218932448
1991,0.882713308
1992,1.276128237
1993,0.751647407
1994,1.066931622
1995,1.057935114
1996,1.134245507
1997,0.657591043
1998,1.199193454
1999,0.701470299
2000,1.121213643
2001,1.203739493
2002,0.901161121
2003,1.060191818
2004,1.278728449
2005,0.981189262
2006,0.892272147
2007,0.990345829
2008,0.856980726
2009,1.051080106
2010,1.066594084
2011,0.782758177
2012,0.738365126
2013,0.995870882
2014,1.208246403
2015,1.016795032
