Year,RWI
1880,0.781842305
1881,1.04266009
1882,0.88392989
1883,1.106773778
1884,0.921160148
1885,1.09341205
1886,1.140441423
1887,0.877047518
1888,1.001508073
1889,1.019298801
1890,1.090411336
1891,1.184136752
1892,1.004545407
1893,0.933433837
1894,0.806704542
1895,0.994251111
1896,0.865715442
1897,0.873084025
1898,1.034356485
1899,0.704769368
1900,0.962477561
1901,1.079564149
1902,1.057000318
1903,0.923561928
1904,1.149065939
1905,1.09988827
1906,1.197153772
1907,1.038876938
1908,1.145696131
1909,0.979310287
1910,1.016293743
1911,1.064758163
1912,1.001346091
1913,0.852170107
1914,1.178200298
1915,1.186861556
1916,0.759427342
1917,0.922798492
1918,1.060533082
1919,0.918018939
1920,1.086976228
1921,0.74367313
1922,1.111650272
1923,0.903731421
1924,0.911423263
1925,0.918171915
1926,0.964303561
1927,0.892937872
1928,0.911129053
1929,0.900497819
1930,1.025781527
1931,0.98940547
1932,0.946161134
1933,0.88289618
1934,1.008318373
1935,1.087846431
1936,0.956911981
1937,0.985760524
1938,1.106938703
1939,1.046266916
1940,1.13414664
1941,1.113390138
1942,1.193766556
1943,0.932529888
1944,1.089308216
1945,1.197943068
1946,0.95778102
1947,0.894935815
1948,1.182753015
1949,0.911097062
1950,1.03151156
1951,1.023211513
1952,1.053066474
1953,1.004085336
1954,0.871425122
1955,1.055192973
1956,0.81144986
1957,0.868772962
1958,1.143306406
1959,0.81339839
1960,1.148466419
1961,1.055877177
1962,0.912050968
1963,1.064225039
1964,0.856833938
1965,1.085154741
1966,1.025948183
1967,1.13322071
1968,1.090956894
1969,0.860236546
1970,1.039102558
1971,1.09302139
1972,0.730400434
1973,1.093362044
1974,0.707908113
1975,0.946852519
1976,0.799474845
1977,1.177422855
1978,0.996352335
1979,1.001006814
1980,0.989747051
1981,1.159044781
1982,0.840903316
1983,0.798326345
1984,1.080749856
1985,1.085611152
1986,0.965175511
1987,1.077000364
1988,0.929357051
1989,0.764149227
1990,1.239073297
1991,0.891878233
1992,1.096489923
1993,0.821003815
1994,1.283121214
1995,0.917210582
1996,1.1644888
1997,0.780538509
1998,1.209143773
1999,0.780047655
2000,1.041687516
2001,1.069648327
2002,0.969332933
2003,1.0351418
2004,1.0226077
2005,1.077503224
2006,1.088899014
2007,0.948627255
2008,0.906641613
2009,1.136986565
2010,0.935893777
2011,0.823494314
2012,1.063064503
2013,0.968723015
2014,1.079989619
2015,NA
