Year,RWI
1880,0.685948136
1881,1.100965592
1882,0.769159627
1883,0.999544164
1884,0.880034259
1885,0.973839676
1886,1.181538585
1887,0.815063109
1888,0.985157425
1889,1.277863866
1890,1.214803142
1891,1.111890048
1892,1.106108513
1893,0.908995308
1894,0.859863639
1895,1.115038627
1896,0.8276062
1897,1.034122955
1898,1.209003747
1899,0.697865706
1900,1.010688161
1901,1.095935721
1902,1.002844951
1903,0.843338445
1904,1.091657073
1905,1.22103339
1906,1.104099799
1907,1.060678374
1908,1.02828527
1909,0.769923993
1910,1.123361475
1911,1.057919234
1912,1.037841629
1913,0.867336919
1914,1.160476019
1915,1.26074238
1916,0.6690158
1917,0.896116457
1918,0.996898842
1919,0.937562858
1920,1.135675286
1921,0.702891372
1922,1.039942888
1923,0.890812478
1924,1.068657497
1925,0.935572399
1926,1.007032138
1927,0.821578678
1928,0.892423329
1929,0.900936862
1930,1.002208755
1931,0.962442079
1932,0.879225364
1933,0.895049006
1934,0.929583107
1935,1.14795975
1936,1.098129953
1937,0.937914747
1938,1.02111975
1939,1.090373233
1940,1.12086421
1941,1.160221957
1942,1.141471505
1943,0.941361866
1944,1.03924027
1945,1.107004492
1946,0.795720017
1947,0.895946508
1948,1.180105592
1949,0.968423634
1950,1.046006969
1951,1.174367609
1952,1.201937662
1953,1.012546563
1954,0.83988402
1955,1.002330088
1956,0.797399398
1957,0.944746131
1958,1.256527942
1959,0.893311928
1960,1.116576615
1961,1.038817673
1962,0.904793006
1963,0.991086217
1964,0.882539211
1965,1.057708655
1966,1.014176398
1967,1.193156172
1968,1.051773642
1969,0.850226407
1970,1.070071446
1971,0.974514632
1972,0.734729236
1973,1.099138807
1974,0.617719837
1975,1.009901819
1976,0.893615232
1977,1.244042979
1978,0.992520215
1979,0.883693055
1980,0.949904353
1981,1.088156522
1982,0.760228592
1983,0.919634726
1984,0.962260465
1985,1.017861912
1986,0.926633804
1987,1.176442696
1988,0.98425855
1989,0.776915582
1990,1.21494719
1991,0.726315289
1992,1.144234233
1993,0.82828157
1994,1.274517523
1995,0.918621378
1996,1.087472193
1997,0.840077903
1998,1.12591434
1999,0.823848436
2000,1.107661259
2001,1.249809807
2002,1.162802934
2003,1.055901919
2004,1.084513254
2005,1.054308953
2006,1.103245378
2007,0.948109156
2008,0.906029488
2009,0.97068725
2010,0.930315871
2011,0.752887607
2012,1.030151952
2013,0.905874013
2014,0.912517379
2015,0.782190344
