Year,RWI
1880,0.804970677
1881,0.817126834
1882,0.896733792
1883,1.066556534
1884,0.895648587
1885,1.073841998
1886,1.299244209
1887,0.963953076
1888,0.928283408
1889,1.026723066
1890,1.102928097
1891,1.242876528
1892,0.949188107
1893,0.882443394
1894,0.681609213
1895,1.144715367
1896,1.017645608
1897,0.997896306
1898,1.205702701
1899,0.615106958
1900,1.001670999
1901,1.148799447
1902,1.088737021
1903,0.796623149
1904,1.089597565
1905,1.04543866
1906,1.042154958
1907,1.077567586
1908,1.162662795
1909,0.778586439
1910,0.929354833
1911,1.228381019
1912,0.975336957
1913,0.831548677
1914,1.191457684
1915,1.3171734
1916,0.578650893
1917,0.697802042
1918,1.009039111
1919,0.961018657
1920,1.25311146
1921,0.702184748
1922,1.123325126
1923,0.946973795
1924,1.101725911
1925,0.909390055
1926,1.151810969
1927,0.80969638
1928,0.985322752
1929,1.006447383
1930,1.117106082
1931,1.082465693
1932,0.723767121
1933,0.924855134
1934,1.124432974
1935,1.036991179
1936,0.97429564
1937,0.938459767
1938,1.073104737
1939,0.967664544
1940,1.140946316
1941,1.173023892
1942,1.197283437
1943,0.883077919
1944,1.112741484
1945,1.231166219
1946,0.95517363
1947,0.798878652
1948,1.098421426
1949,0.928863128
1950,0.911318351
1951,1.159371717
1952,1.108374704
1953,0.930516439
1954,0.697738796
1955,0.932078641
1956,0.739474233
1957,0.893804403
1958,1.124442104
1959,0.883533667
1960,1.426600437
1961,1.07111964
1962,0.898204002
1963,1.201492938
1964,0.739615844
1965,0.970402319
1966,1.184724533
1967,1.050100849
1968,1.268059997
1969,0.982349922
1970,0.999716561
1971,0.861913617
1972,0.671309867
1973,1.170935923
1974,0.659231848
1975,0.807910878
1976,0.710914985
1977,1.159739421
1978,0.952932638
1979,1.035129154
1980,0.986561304
1981,1.280659675
1982,0.76042721
1983,0.836577795
1984,1.098530949
1985,1.261024406
1986,1.127344439
1987,1.242075981
1988,1.212087334
1989,0.732762324
1990,1.200236299
1991,0.706487872
1992,1.116881261
1993,0.723706334
1994,1.259143579
1995,0.880167706
1996,1.255755023
1997,0.640005694
1998,1.166293153
1999,0.64843189
2000,1.000484659
2001,1.181005997
2002,0.861900565
2003,1.060952837
2004,1.080536596
2005,1.136690447
2006,0.956760347
2007,0.959131748
2008,0.822046288
2009,1.054774435
2010,0.88019908
2011,0.818347681
2012,1.132144753
2013,0.964100827
2014,1.091834762
2015,NA
