Year,RWI
1880,0.679077346
1881,0.913779189
1882,0.690933384
1883,0.977414821
1884,0.952406447
1885,1.235335063
1886,1.162985234
1887,0.93300937
1888,0.91313003
1889,1.294288593
1890,1.01289234
1891,1.134802506
1892,1.027287453
1893,0.940369954
1894,0.755074206
1895,1.258662306
1896,0.798906151
1897,1.117708323
1898,1.225084097
1899,0.537716676
1900,0.964331967
1901,1.0948962
1902,0.998203925
1903,0.799870475
1904,1.145816244
1905,1.395175801
1906,0.975135601
1907,1.091452577
1908,1.169777003
1909,0.74764698
1910,1.120612681
1911,0.960273004
1912,0.971891985
1913,0.767450126
1914,1.309248082
1915,1.181434134
1916,0.650989859
1917,0.838211107
1918,1.014151779
1919,1.081936143
1920,1.223689491
1921,0.843043694
1922,0.978401938
1923,0.869473505
1924,1.132947595
1925,0.991755859
1926,1.145856656
1927,0.796275924
1928,0.914656786
1929,0.882370305
1930,1.018648865
1931,1.034640824
1932,0.831332721
1933,0.893162358
1934,1.141895696
1935,0.907959788
1936,1.111277525
1937,0.891160764
1938,0.99798066
1939,0.945457498
1940,1.116875772
1941,1.132982604
1942,0.987608685
1943,0.865361511
1944,0.980388591
1945,1.050969429
1946,0.858120998
1947,1.052475247
1948,1.005695885
1949,0.919561025
1950,0.921455372
1951,1.239906421
1952,1.204697306
1953,0.973079305
1954,0.772150618
1955,1.030208631
1956,0.745538845
1957,1.043921769
1958,1.277683185
1959,0.929953965
1960,1.222652856
1961,1.229950437
1962,0.902918905
1963,1.098054867
1964,0.777653311
1965,0.936961664
1966,1.091502735
1967,1.074658419
1968,1.126948505
1969,0.997127617
1970,0.977450733
1971,0.813681695
1972,0.817513302
1973,1.169938274
1974,0.672416076
1975,0.903244023
1976,0.790096556
1977,1.105326987
1978,0.978122614
1979,1.011261873
1980,1.043010841
1981,1.241402626
1982,0.786817602
1983,1.067276325
1984,0.977219453
1985,1.032352863
1986,1.040135418
1987,1.147466814
1988,1.094829255
1989,0.842901644
1990,1.193736304
1991,0.702083746
1992,1.012375238
1993,0.754028366
1994,1.025497715
1995,0.939703577
1996,1.076720248
1997,0.718111853
1998,1.208116975
1999,0.830727499
2000,1.112358873
2001,1.109793943
2002,0.966769523
2003,1.069517327
2004,1.102045102
2005,1.250409194
2006,1.007334999
2007,1.002872686
2008,0.843578716
2009,0.911663507
2010,0.927939371
2011,0.688971492
2012,1.258548207
2013,1.147326778
2014,1.030506101
2015,NA
